wl,n,k
2,3.469867218,4.26E-08
2.01,3.469867186,4.33E-08
2.02,3.469867154,4.39E-08
2.03,3.469867122,4.46E-08
2.04,3.46986709,4.53E-08
2.05,3.469867057,0.000000046
2.06,3.469867025,4.67E-08
2.07,3.469866992,4.74E-08
2.08,3.469866959,4.81E-08
2.09,3.469866926,4.88E-08
2.1,3.469866893,4.95E-08
2.11,3.46986686,5.03E-08
2.12,3.469866826,0.000000051
2.13,3.469866792,5.18E-08
2.14,3.469866758,5.25E-08
2.15,3.469866724,5.33E-08
2.16,3.46986669,5.41E-08
2.17,3.469866655,5.48E-08
2.18,3.469866621,5.56E-08
2.19,3.469866586,5.64E-08
2.2,3.469866551,5.72E-08
2.21,3.469866516,0.000000058
2.22,3.46986648,5.88E-08
2.23,3.469866445,5.97E-08
2.24,3.469866409,6.05E-08
2.25,3.469866373,6.14E-08
2.26,3.469866337,6.22E-08
2.27,3.469866301,6.31E-08
2.28,3.469866265,6.39E-08
2.29,3.469866228,6.48E-08
2.3,3.469866191,6.57E-08
2.31,3.469866154,6.66E-08
2.32,3.469866117,6.75E-08
2.33,3.46986608,6.84E-08
2.34,3.469866042,6.93E-08
2.35,3.469866005,7.02E-08
2.36,3.469865967,7.12E-08
2.37,3.469865929,7.21E-08
2.38,3.469865891,7.31E-08
2.39,3.469865852,0.000000074
2.4,3.469865814,0.000000075
2.41,3.469865775,0.000000076
2.42,3.469865736,0.000000077
2.43,3.469865697,0.000000078
2.44,3.469865658,0.000000079
2.45,3.469865618,0.00000008
2.46,3.469865579,0.000000081
2.47,3.469865539,0.000000082
2.48,3.469865499,8.31E-08
2.49,3.469865458,8.41E-08
2.5,3.469865418,8.52E-08
2.51,3.469865378,8.63E-08
2.52,3.469865337,8.74E-08
2.53,3.469865296,8.84E-08
2.54,3.469865255,8.95E-08
2.55,3.469865213,9.07E-08
2.56,3.469865172,9.18E-08
2.57,3.46986513,9.29E-08
2.58,3.469865088,0.000000094
2.59,3.469865046,9.52E-08
2.6,3.469865004,9.64E-08
2.61,3.469864962,9.75E-08
2.62,3.469864919,9.87E-08
2.63,3.469864876,9.99E-08
2.64,3.469864833,1.011E-07
2.65,3.46986479,1.023E-07
2.66,3.469864747,1.035E-07
2.67,3.469864703,1.048E-07
2.68,3.46986466,0.000000106
2.69,3.469864616,1.072E-07
2.7,3.469864572,1.085E-07
2.71,3.469864527,1.098E-07
2.72,3.469864483,1.111E-07
2.73,3.469864438,1.124E-07
2.74,3.469864393,1.137E-07
2.75,3.469864348,0.000000115
2.76,3.469864303,1.163E-07
2.77,3.469864258,1.176E-07
2.78,3.469864212,0.000000119
2.79,3.469864166,1.204E-07
2.8,3.46986412,1.217E-07
2.81,3.469864074,1.231E-07
2.82,3.469864028,1.245E-07
2.83,3.469863981,1.259E-07
2.84,3.469863934,1.273E-07
2.85,3.469863887,1.287E-07
2.86,3.46986384,1.302E-07
2.87,3.469863793,1.316E-07
2.88,3.469863745,1.331E-07
2.89,3.469863697,1.346E-07
2.9,3.469863649,1.361E-07
2.91,3.469863601,1.376E-07
2.92,3.469863553,1.391E-07
2.93,3.469863504,1.406E-07
2.94,3.469863456,1.421E-07
2.95,3.469863407,1.437E-07
2.96,3.469863357,1.452E-07
2.97,3.469863308,1.468E-07
2.98,3.469863259,1.484E-07
2.99,3.469863209,0.00000015
3,3.469863159,1.516E-07
3.01,3.469863109,1.532E-07
3.02,3.469863058,1.548E-07
3.03,3.469863008,1.565E-07
3.04,3.469862957,1.581E-07
3.05,3.469862906,1.598E-07
3.06,3.469862855,1.615E-07
3.07,3.469862804,1.632E-07
3.08,3.469862752,1.649E-07
3.09,3.4698627,1.666E-07
3.1,3.469862649,1.683E-07
3.11,3.469862596,1.701E-07
3.12,3.469862544,1.719E-07
3.13,3.469862491,1.736E-07
3.14,3.469862439,1.754E-07
3.15,3.469862386,1.772E-07
3.16,3.469862333,0.000000179
3.17,3.469862279,1.809E-07
3.18,3.469862226,1.827E-07
3.19,3.469862172,1.846E-07
3.2,3.469862118,1.864E-07
3.21,3.469862064,1.883E-07
3.22,3.469862009,1.902E-07
3.23,3.469861954,1.921E-07
3.24,3.4698619,1.941E-07
3.25,3.469861845,0.000000196
3.26,3.469861789,0.000000198
3.27,3.469861734,1.999E-07
3.28,3.469861678,2.019E-07
3.29,3.469861622,2.039E-07
