item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id,support_by,direct_supported_weight
G4_车型1_010_0001,G4,oriented,0,0,0,80,60,50,25,1,LWH,车型1_010,,25.0
G1_车型1_010_0001,G1,standard,0,60,0,40,60,30,12,3,WLH,车型1_010,,12.0
G1_车型1_010_0002,G1,standard,0,120,0,40,60,30,12,3,WLH,车型1_010,,12.0
G1_车型1_010_0003,G1,standard,40,60,0,40,60,30,12,3,WLH,车型1_010,,12.0
G1_车型1_010_0004,G1,standard,40,120,0,40,60,30,12,3,WLH,车型1_010,,12.0
G1_车型1_010_0005,G1,standard,0,60,30,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0001,12.0
G1_车型1_010_0006,G1,standard,0,120,30,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0002,12.0
G1_车型1_010_0007,G1,standard,40,60,30,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0003,12.0
G1_车型1_010_0008,G1,standard,40,120,30,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0004,12.0
G1_车型1_010_0009,G1,standard,0,60,60,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0005,10.285714
G1_车型1_010_0010,G1,standard,0,120,60,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0006,6.857143
G1_车型1_010_0011,G1,standard,40,60,60,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0007,7.714286
G1_车型1_010_0012,G1,standard,40,120,60,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0008,5.142857
G3_车型1_010_0001,G3,fragile,0,60,90,70,50,40,15,1,LWH,车型1_010,G1_车型1_010_0009;G1_车型1_010_0010;G1_车型1_010_0011;G1_车型1_010_0012,0.0
G3_车型1_010_0002,G3,fragile,0,110,90,70,50,40,15,1,LWH,车型1_010,G1_车型1_010_0009;G1_车型1_010_0010;G1_车型1_010_0011;G1_车型1_010_0012,0.0
G4_车型1_010_0002,G4,oriented,80,0,0,80,60,50,25,1,LWH,车型1_010,,25.0
G1_车型1_010_0013,G1,standard,80,60,0,40,60,30,12,3,WLH,车型1_010,,12.0
G1_车型1_010_0014,G1,standard,80,120,0,40,60,30,12,3,WLH,车型1_010,,12.0
G1_车型1_010_0015,G1,standard,120,60,0,40,60,30,12,3,WLH,车型1_010,,12.0
G1_车型1_010_0016,G1,standard,120,120,0,40,60,30,12,3,WLH,车型1_010,,12.0
G1_车型1_010_0017,G1,standard,80,60,30,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0013,12.0
G1_车型1_010_0018,G1,standard,80,120,30,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0014,12.0
G1_车型1_010_0019,G1,standard,120,60,30,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0015,12.0
G1_车型1_010_0020,G1,standard,120,120,30,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0016,12.0
G1_车型1_010_0021,G1,standard,80,60,60,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0017,10.285714
G1_车型1_010_0022,G1,standard,80,120,60,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0018,6.857143
G1_车型1_010_0023,G1,standard,120,60,60,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0019,7.714286
G1_车型1_010_0024,G1,standard,120,120,60,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0020,5.142857
G3_车型1_010_0003,G3,fragile,80,60,90,70,50,40,15,1,LWH,车型1_010,G1_车型1_010_0021;G1_车型1_010_0022;G1_车型1_010_0023;G1_车型1_010_0024,0.0
G3_车型1_010_0004,G3,fragile,80,110,90,70,50,40,15,1,LWH,车型1_010,G1_车型1_010_0021;G1_车型1_010_0022;G1_车型1_010_0023;G1_车型1_010_0024,0.0
G4_车型1_010_0003,G4,oriented,160,0,0,80,60,50,25,1,LWH,车型1_010,,25.0
G1_车型1_010_0025,G1,standard,160,60,0,40,60,30,12,3,WLH,车型1_010,,12.0
G1_车型1_010_0026,G1,standard,160,120,0,40,60,30,12,3,WLH,车型1_010,,12.0
G1_车型1_010_0027,G1,standard,200,60,0,40,60,30,12,3,WLH,车型1_010,,12.0
G1_车型1_010_0028,G1,standard,200,120,0,40,60,30,12,3,WLH,车型1_010,,12.0
G1_车型1_010_0029,G1,standard,160,60,30,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0025,12.0
G1_车型1_010_0030,G1,standard,160,120,30,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0026,12.0
G1_车型1_010_0031,G1,standard,200,60,30,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0027,12.0
G1_车型1_010_0032,G1,standard,200,120,30,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0028,12.0
G1_车型1_010_0033,G1,standard,160,60,60,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0029,10.285714
G1_车型1_010_0034,G1,standard,160,120,60,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0030,6.857143
G1_车型1_010_0035,G1,standard,200,60,60,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0031,7.714286
G1_车型1_010_0036,G1,standard,200,120,60,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0032,5.142857
G3_车型1_010_0005,G3,fragile,160,60,90,70,50,40,15,1,LWH,车型1_010,G1_车型1_010_0033;G1_车型1_010_0034;G1_车型1_010_0035;G1_车型1_010_0036,0.0
G3_车型1_010_0006,G3,fragile,160,110,90,70,50,40,15,1,LWH,车型1_010,G1_车型1_010_0033;G1_车型1_010_0034;G1_车型1_010_0035;G1_车型1_010_0036,0.0
G4_车型1_010_0004,G4,oriented,240,0,0,80,60,50,25,1,LWH,车型1_010,,25.0
G1_车型1_010_0037,G1,standard,240,60,0,40,60,30,12,3,WLH,车型1_010,,12.0
G1_车型1_010_0038,G1,standard,240,120,0,40,60,30,12,3,WLH,车型1_010,,12.0
G1_车型1_010_0039,G1,standard,280,60,0,40,60,30,12,3,WLH,车型1_010,,12.0
G1_车型1_010_0040,G1,standard,280,120,0,40,60,30,12,3,WLH,车型1_010,,12.0
G1_车型1_010_0041,G1,standard,240,60,30,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0037,12.0
G1_车型1_010_0042,G1,standard,240,120,30,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0038,12.0
G1_车型1_010_0043,G1,standard,280,60,30,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0039,12.0
G1_车型1_010_0044,G1,standard,280,120,30,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0040,12.0
G1_车型1_010_0045,G1,standard,240,60,60,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0041,10.285714
G1_车型1_010_0046,G1,standard,240,120,60,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0042,6.857143
G1_车型1_010_0047,G1,standard,280,60,60,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0043,7.714286
G1_车型1_010_0048,G1,standard,280,120,60,40,60,30,12,3,WLH,车型1_010,G1_车型1_010_0044,5.142857
G3_车型1_010_0007,G3,fragile,240,60,90,70,50,40,15,1,LWH,车型1_010,G1_车型1_010_0045;G1_车型1_010_0046;G1_车型1_010_0047;G1_车型1_010_0048,0.0
G3_车型1_010_0008,G3,fragile,240,110,90,70,50,40,15,1,LWH,车型1_010,G1_车型1_010_0045;G1_车型1_010_0046;G1_车型1_010_0047;G1_车型1_010_0048,0.0
G4_车型1_010_0005,G4,oriented,320,0,0,80,60,50,25,1,LWH,车型1_010,,25.0
G4_车型1_010_0006,G4,oriented,320,60,0,80,60,50,25,1,LWH,车型1_010,,25.0
G4_车型1_010_0007,G4,oriented,320,120,0,80,60,50,25,1,LWH,车型1_010,,25.0
G1_车型1_010_0049,G1,standard,0,180,0,60,30,40,12,2,LHW,车型1_010,,12.0
G1_车型1_010_0050,G1,standard,80,180,0,60,30,40,12,2,LHW,车型1_010,,12.0
G1_车型1_010_0051,G1,standard,160,180,0,60,30,40,12,2,LHW,车型1_010,,12.0
G1_车型1_010_0052,G1,standard,240,180,0,60,30,40,12,2,LHW,车型1_010,,12.0
G1_车型1_010_0053,G1,standard,320,180,0,60,30,40,12,2,LHW,车型1_010,,12.0
G4_车型1_010_0008,G4,oriented,0,0,50,80,60,50,25,1,LWH,车型1_010,G4_车型1_010_0001,25.0
G4_车型1_010_0009,G4,oriented,0,0,100,80,60,50,25,1,LWH,车型1_010,G4_车型1_010_0008,25.0
G4_车型1_010_0010,G4,oriented,0,0,150,80,60,50,25,1,LWH,车型1_010,G4_车型1_010_0009,0.0
G4_车型1_010_0011,G4,oriented,80,0,50,80,60,50,25,1,LWH,车型1_010,G4_车型1_010_0002,25.0
G4_车型1_010_0012,G4,oriented,80,0,100,80,60,50,25,1,LWH,车型1_010,G4_车型1_010_0011,25.0
G4_车型1_010_0013,G4,oriented,80,0,150,80,60,50,25,1,LWH,车型1_010,G4_车型1_010_0012,0.0
G4_车型1_010_0014,G4,oriented,160,0,50,80,60,50,25,1,LWH,车型1_010,G4_车型1_010_0003,25.0
