vehicle_id,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3
车型2_001,0.788137,0.3748,0.672403,"{'G4': 112, 'G3': 4, 'G5': 28, 'G1': 32}",3748.0,32432000
车型2_002,0.310205,0.1932,0.277444,"{'G2': 12, 'G3': 36, 'G5': 48, 'G1': 36}",1932.0,12765000
车型2_003,0.344543,0.213,0.307711,"{'G2': 24, 'G3': 30, 'G1': 124}",2130.0,14178000
车型2_004,0.446134,0.3104,0.408128,"{'G2': 70, 'G3': 16, 'G5': 64, 'G1': 96}",3104.0,18358500
车型2_005,0.428345,0.2536,0.379417,"{'G2': 54, 'G3': 24, 'G1': 112, 'G4': 16}",2536.0,17626500
车型2_006,0.549031,0.3606,0.496271,"{'G2': 109, 'G3': 14, 'G5': 60, 'G4': 16, 'G1': 87}",3606.0,22592750
车型2_007,0.473643,0.2646,0.415111,"{'G2': 86, 'G3': 22, 'G4': 32, 'G1': 69}",2646.0,19490500
车型2_008,0.573448,0.3566,0.512731,"{'G2': 42, 'G5': 100, 'G3': 14, 'G4': 32, 'G1': 35}",3566.0,23597500
车型2_009,0.420217,0.2485,0.372136,"{'G2': 96, 'G3': 27, 'G4': 16, 'G1': 76}",2485.0,17292000
车型2_010,0.484688,0.2755,0.426115,"{'G2': 76, 'G3': 21, 'G5': 16, 'G4': 32, 'G1': 62}",2755.0,19945000
车型2_011,0.549098,0.3348,0.489095,"{'G2': 50, 'G3': 16, 'G5': 80, 'G4': 32, 'G1': 39}",3348.0,22595500
车型2_012,0.45699,0.2813,0.407797,"{'G2': 203, 'G3': 27, 'G4': 16, 'G1': 32}",2813.0,18805250
车型2_013,0.832177,0.4488,0.724831,"{'G4': 96, 'G5': 88, 'G2': 63}",4488.0,34244250
车型2_014,0.259956,0.1571,0.231156,"{'G3': 37, 'G5': 16, 'G2': 91}",1571.0,10697250
车型2_015,0.066342,0.0372,0.058182,"{'G3': 12, 'G2': 24}",372.0,2730000
