record_type,item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id,support_by,direct_supported_weight,template_name
item,G1_车型2_001_0001,G1,standard,0,0,0,60,40,30,12,1,LWH,车型2_001,,18.0,
item,G1_车型2_001_0002,G1,standard,0,40,0,60,40,30,12,1,LWH,车型2_001,,18.0,
item,G1_车型2_001_0003,G1,standard,60,0,0,60,40,30,12,1,LWH,车型2_001,,18.0,
item,G3_车型2_001_0001,G3,fragile,60,40,0,50,70,40,15,2,WLH,车型2_001,,0.0,
item,G5_车型2_001_0001,G5,oriented,60,180,0,40,40,60,18,1,LWH,车型2_001,,18.0,
item,G2_车型2_001_0001,G2,standard,60,220,0,35,25,50,8,4,WHL,车型2_001,,8.0,
item,G1_车型2_001_0004,G1,standard,120,0,0,60,40,30,12,1,LWH,车型2_001,,18.0,
item,G3_车型2_001_0002,G3,fragile,120,40,0,50,70,40,15,2,WLH,车型2_001,,0.0,
item,G5_车型2_001_0002,G5,oriented,120,180,0,40,40,60,18,1,LWH,车型2_001,,18.0,
item,G2_车型2_001_0002,G2,standard,120,220,0,35,25,50,8,4,WHL,车型2_001,,8.0,
item,G1_车型2_001_0005,G1,standard,180,0,0,60,40,30,12,1,LWH,车型2_001,,18.0,
item,G3_车型2_001_0003,G3,fragile,180,40,0,50,70,40,15,2,WLH,车型2_001,,0.0,
item,G5_车型2_001_0003,G5,oriented,180,180,0,40,40,60,18,1,LWH,车型2_001,,18.0,
item,G2_车型2_001_0003,G2,standard,180,220,0,35,25,50,8,4,WHL,车型2_001,,8.0,
item,G1_车型2_001_0006,G1,standard,240,0,0,60,40,30,12,1,LWH,车型2_001,,18.0,
item,G3_车型2_001_0004,G3,fragile,240,40,0,50,70,40,15,2,WLH,车型2_001,,0.0,
item,G5_车型2_001_0004,G5,oriented,240,180,0,40,40,60,18,1,LWH,车型2_001,,18.0,
item,G2_车型2_001_0004,G2,standard,240,220,0,35,25,50,8,4,WHL,车型2_001,,8.0,
item,G1_车型2_001_0007,G1,standard,300,0,0,60,40,30,12,1,LWH,车型2_001,,18.0,
item,G1_车型2_001_0008,G1,standard,300,40,0,60,40,30,12,1,LWH,车型2_001,,18.0,
item,G4_车型2_001_0001,G4,oriented,360,0,0,80,60,50,25,1,LWH,车型2_001,,25.0,
item,G5_车型2_001_0005,G5,oriented,440,0,0,40,40,60,18,1,LWH,车型2_001,,18.0,
item,G5_车型2_001_0006,G5,oriented,440,40,0,40,40,60,18,1,LWH,车型2_001,,18.0,
item,G5_车型2_001_0007,G5,oriented,440,80,0,40,40,60,18,1,LWH,车型2_001,,18.0,
item,G5_车型2_001_0008,G5,oriented,440,120,0,40,40,60,18,1,LWH,车型2_001,,18.0,
item,G5_车型2_001_0009,G5,oriented,440,160,0,40,40,60,18,1,LWH,车型2_001,,18.0,
item,G5_车型2_001_0010,G5,oriented,440,200,0,40,40,60,18,1,LWH,车型2_001,,18.0,
item,G4_车型2_001_0002,G4,oriented,480,0,0,80,60,50,25,1,LWH,车型2_001,,25.0,
item,G5_车型2_001_0011,G5,oriented,560,0,0,40,40,60,18,1,LWH,车型2_001,,18.0,
item,G4_车型2_001_0003,G4,oriented,600,0,0,80,60,50,25,1,LWH,车型2_001,,25.0,
item,G5_车型2_001_0012,G5,oriented,560,40,0,40,40,60,18,1,LWH,车型2_001,,18.0,
item,G5_车型2_001_0013,G5,oriented,560,80,0,40,40,60,18,1,LWH,车型2_001,,18.0,
item,G5_车型2_001_0014,G5,oriented,560,120,0,40,40,60,18,1,LWH,车型2_001,,18.0,
item,G5_车型2_001_0015,G5,oriented,560,160,0,40,40,60,18,1,LWH,车型2_001,,18.0,
item,G5_车型2_001_0016,G5,oriented,560,200,0,40,40,60,18,1,LWH,车型2_001,,18.0,
item,G5_车型2_001_0017,G5,oriented,440,0,60,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0005,18.0,
item,G5_车型2_001_0018,G5,oriented,440,0,120,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0017,18.0,
item,G5_车型2_001_0019,G5,oriented,440,0,180,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0018,0.0,
item,G5_车型2_001_0020,G5,oriented,560,0,60,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0011,18.0,
item,G5_车型2_001_0021,G5,oriented,560,0,120,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0020,18.0,
item,G5_车型2_001_0022,G5,oriented,560,0,180,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0021,0.0,
item,G5_车型2_001_0023,G5,oriented,440,40,60,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0006,18.0,
item,G5_车型2_001_0024,G5,oriented,440,40,120,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0023,18.0,
