vehicle_id,truck_type,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3,module_count
车型2_001,车型2,0.654286,0.4184,0.588238,"{'G1': 172, 'G3': 24, 'G2': 80, 'G5': 40, 'G4': 16}",4184.0,26924000,0
车型2_002,车型2,0.699492,0.4404,0.626946,"{'G2': 111, 'G3': 24, 'G4': 24, 'G1': 147, 'G5': 44}",4404.0,28784250,0
车型2_003,车型2,0.729134,0.4153,0.64126,"{'G4': 56, 'G1': 114, 'G3': 15, 'G2': 64, 'G5': 36}",4153.0,30004000,0
车型2_004,车型2,0.712275,0.4712,0.644774,"{'G5': 148, 'G3': 16, 'G2': 119, 'G4': 28, 'G1': 13}",4712.0,29310250,0
车型2_005,车型2,0.707311,0.3936,0.619472,"{'G4': 64, 'G2': 184, 'G3': 16, 'G5': 24, 'G1': 16}",3936.0,29106000,0
车型2_006,车型2,0.623138,0.3307,0.541255,"{'G3': 21, 'G2': 119, 'G5': 12, 'G1': 27, 'G4': 60}",3307.0,25642250,0
车型2_007,车型2,0.410423,0.2618,0.368809,"{'G3': 38, 'G2': 124, 'G5': 16, 'G1': 64}",2618.0,16889000,0
车型2_008,车型2,0.644535,0.3508,0.562289,"{'G4': 56, 'G2': 133, 'G3': 20, 'G1': 62}",3508.0,26522750,0
车型2_009,车型2,0.560653,0.3598,0.504414,"{'G5': 92, 'G3': 26, 'G2': 36, 'G1': 72, 'G4': 16}",3598.0,23071000,0
车型2_010,车型2,0.581091,0.3162,0.506921,"{'G3': 22, 'G5': 40, 'G1': 76, 'G4': 48}",3162.0,23912000,0
车型2_011,车型2,0.30057,0.183,0.26765,"{'G3': 38, 'G5': 32, 'G1': 37, 'G2': 30}",1830.0,12368500,0
车型2_012,车型2,0.239513,0.1168,0.205153,"{'G3': 32, 'G5': 16, 'G4': 16}",1168.0,9856000,0
车型1_001,车型1,0.259151,0.086667,0.210856,"{'G3': 8, 'G4': 16}",520.0,4960000,0
