record_type,item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id,support_by,direct_supported_weight,template_name
item,G3_车型2_006_0001,G3,fragile,0,0,0,70,50,40,15,1,LWH,车型2_006,,0.0,
item,G3_车型2_006_0002,G3,fragile,0,50,0,70,50,40,15,1,LWH,车型2_006,,0.0,
item,G2_车型2_006_0001,G2,standard,0,100,0,35,50,25,8,3,WLH,车型2_006,,8.0,
item,G2_车型2_006_0002,G2,standard,0,150,0,35,50,25,8,3,WLH,车型2_006,,8.0,
item,G2_车型2_006_0003,G2,standard,35,100,0,35,50,25,8,3,WLH,车型2_006,,8.0,
item,G2_车型2_006_0004,G2,standard,35,150,0,35,50,25,8,3,WLH,车型2_006,,8.0,
item,G2_车型2_006_0005,G2,standard,0,100,25,35,50,25,8,3,WLH,车型2_006,G2_车型2_006_0001,8.0,
item,G2_车型2_006_0006,G2,standard,0,150,25,35,50,25,8,3,WLH,车型2_006,G2_车型2_006_0002,8.0,
item,G2_车型2_006_0007,G2,standard,35,100,25,35,50,25,8,3,WLH,车型2_006,G2_车型2_006_0003,8.0,
item,G2_车型2_006_0008,G2,standard,35,150,25,35,50,25,8,3,WLH,车型2_006,G2_车型2_006_0004,8.0,
item,G2_车型2_006_0009,G2,standard,0,100,50,35,50,25,8,3,WLH,车型2_006,G2_车型2_006_0005,8.0,
item,G2_车型2_006_0010,G2,standard,0,150,50,35,50,25,8,3,WLH,车型2_006,G2_车型2_006_0006,8.0,
item,G2_车型2_006_0011,G2,standard,35,100,50,35,50,25,8,3,WLH,车型2_006,G2_车型2_006_0007,8.0,
item,G2_车型2_006_0012,G2,standard,35,150,50,35,50,25,8,3,WLH,车型2_006,G2_车型2_006_0008,8.0,
item,G2_车型2_006_0013,G2,standard,0,100,75,35,50,25,8,3,WLH,车型2_006,G2_车型2_006_0009,7.5,
item,G2_车型2_006_0014,G2,standard,0,150,75,35,50,25,8,3,WLH,车型2_006,G2_车型2_006_0010,7.5,
item,G2_车型2_006_0015,G2,standard,35,100,75,35,50,25,8,3,WLH,车型2_006,G2_车型2_006_0011,7.5,
item,G2_车型2_006_0016,G2,standard,35,150,75,35,50,25,8,3,WLH,车型2_006,G2_车型2_006_0012,7.5,
item,G3_车型2_006_0003,G3,fragile,0,100,100,70,50,40,15,1,LWH,车型2_006,G2_车型2_006_0013;G2_车型2_006_0014;G2_车型2_006_0015;G2_车型2_006_0016,0.0,
item,G3_车型2_006_0004,G3,fragile,0,150,100,70,50,40,15,1,LWH,车型2_006,G2_车型2_006_0013;G2_车型2_006_0014;G2_车型2_006_0015;G2_车型2_006_0016,0.0,
item,G5_车型2_006_0001,G5,oriented,0,200,0,40,40,60,18,1,LWH,车型2_006,,18.0,
item,G1_车型2_006_0001,G1,standard,40,200,0,30,40,60,12,6,HWL,车型2_006,,12.0,
item,G3_车型2_006_0005,G3,fragile,70,0,0,70,50,40,15,1,LWH,车型2_006,,0.0,
item,G3_车型2_006_0006,G3,fragile,70,50,0,70,50,40,15,1,LWH,车型2_006,,0.0,
item,G3_车型2_006_0007,G3,fragile,70,100,0,70,50,40,15,1,LWH,车型2_006,,0.0,
item,G2_车型2_006_0017,G2,standard,70,150,0,35,25,50,8,4,WHL,车型2_006,,8.0,
item,G2_车型2_006_0018,G2,standard,70,175,0,35,25,50,8,4,WHL,车型2_006,,8.0,
item,G2_车型2_006_0019,G2,standard,105,150,0,35,25,50,8,4,WHL,车型2_006,,8.0,
item,G2_车型2_006_0020,G2,standard,105,175,0,35,25,50,8,4,WHL,车型2_006,,8.0,
item,G2_车型2_006_0021,G2,standard,70,150,50,35,25,50,8,4,WHL,车型2_006,G2_车型2_006_0017,8.0,
item,G2_车型2_006_0022,G2,standard,70,175,50,35,25,50,8,4,WHL,车型2_006,G2_车型2_006_0018,8.0,
item,G2_车型2_006_0023,G2,standard,105,150,50,35,25,50,8,4,WHL,车型2_006,G2_车型2_006_0019,8.0,
item,G2_车型2_006_0024,G2,standard,105,175,50,35,25,50,8,4,WHL,车型2_006,G2_车型2_006_0020,8.0,
item,G2_车型2_006_0025,G2,standard,70,150,100,35,25,50,8,4,WHL,车型2_006,G2_车型2_006_0021,3.75,
item,G2_车型2_006_0026,G2,standard,70,175,100,35,25,50,8,4,WHL,车型2_006,G2_车型2_006_0022,3.75,
