item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id
G3_017_0001,G3,fragile,0,0,0,70,50,40,15,1,LWH,车型1_017
G3_017_0002,G3,fragile,70,0,0,70,50,40,15,1,LWH,车型1_017
G3_017_0003,G3,fragile,140,0,0,70,50,40,15,1,LWH,车型1_017
G3_017_0004,G3,fragile,210,0,0,70,50,40,15,1,LWH,车型1_017
G3_017_0005,G3,fragile,280,0,0,70,50,40,15,1,LWH,车型1_017
G3_017_0006,G3,fragile,350,0,0,70,50,40,15,1,LWH,车型1_017
G3_017_0007,G3,fragile,0,50,0,70,50,40,15,1,LWH,车型1_017
G3_017_0008,G3,fragile,70,50,0,70,50,40,15,1,LWH,车型1_017
G3_017_0009,G3,fragile,140,50,0,70,50,40,15,1,LWH,车型1_017
G3_017_0010,G3,fragile,210,50,0,70,50,40,15,1,LWH,车型1_017
G3_017_0011,G3,fragile,280,50,0,70,50,40,15,1,LWH,车型1_017
G3_017_0012,G3,fragile,350,50,0,70,50,40,15,1,LWH,车型1_017
G2_017_0001,G2,standard,0,100,0,50,35,25,8,1,LWH,车型1_017
G2_017_0002,G2,standard,50,100,0,50,35,25,8,1,LWH,车型1_017
G2_017_0003,G2,standard,100,100,0,50,35,25,8,1,LWH,车型1_017
G2_017_0004,G2,standard,150,100,0,50,35,25,8,1,LWH,车型1_017
G2_017_0005,G2,standard,200,100,0,50,35,25,8,1,LWH,车型1_017
G2_017_0006,G2,standard,250,100,0,50,35,25,8,1,LWH,车型1_017
G2_017_0007,G2,standard,300,100,0,50,35,25,8,1,LWH,车型1_017
G2_017_0008,G2,standard,350,100,0,50,35,25,8,1,LWH,车型1_017
G2_017_0009,G2,standard,0,135,0,50,35,25,8,1,LWH,车型1_017
G2_017_0010,G2,standard,50,135,0,50,35,25,8,1,LWH,车型1_017
G2_017_0011,G2,standard,100,135,0,50,35,25,8,1,LWH,车型1_017
G2_017_0012,G2,standard,150,135,0,50,35,25,8,1,LWH,车型1_017
G2_017_0013,G2,standard,200,135,0,50,35,25,8,1,LWH,车型1_017
G2_017_0014,G2,standard,250,135,0,50,35,25,8,1,LWH,车型1_017
G2_017_0015,G2,standard,300,135,0,50,35,25,8,1,LWH,车型1_017
G2_017_0016,G2,standard,350,135,0,50,35,25,8,1,LWH,车型1_017
G2_017_0017,G2,standard,0,170,0,50,35,25,8,1,LWH,车型1_017
G2_017_0018,G2,standard,50,170,0,50,35,25,8,1,LWH,车型1_017
G2_017_0019,G2,standard,100,170,0,50,35,25,8,1,LWH,车型1_017
G2_017_0020,G2,standard,150,170,0,50,35,25,8,1,LWH,车型1_017
G2_017_0021,G2,standard,200,170,0,50,35,25,8,1,LWH,车型1_017
G2_017_0022,G2,standard,250,170,0,50,35,25,8,1,LWH,车型1_017
G2_017_0023,G2,standard,300,170,0,50,35,25,8,1,LWH,车型1_017
G2_017_0024,G2,standard,350,170,0,50,35,25,8,1,LWH,车型1_017
G5_017_0001,G5,oriented,0,100,25,40,40,60,18,1,LWH,车型1_017
