vehicle_id,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3
车型1_001,0.346092,0.1215,0.283206,"{'G3': 18, 'G4': 15, 'G1': 7}",729.0,6624000
车型1_002,0.346092,0.1215,0.283206,"{'G3': 18, 'G4': 15, 'G1': 7}",729.0,6624000
车型1_003,0.346092,0.1215,0.283206,"{'G3': 18, 'G4': 15, 'G1': 7}",729.0,6624000
车型1_004,0.346092,0.1215,0.283206,"{'G3': 18, 'G4': 15, 'G1': 7}",729.0,6624000
车型1_005,0.346092,0.1215,0.283206,"{'G3': 18, 'G4': 15, 'G1': 7}",729.0,6624000
车型1_006,0.346092,0.1215,0.283206,"{'G3': 18, 'G4': 15, 'G1': 7}",729.0,6624000
车型1_007,0.346092,0.1215,0.283206,"{'G3': 18, 'G4': 15, 'G1': 7}",729.0,6624000
车型1_008,0.346092,0.1215,0.283206,"{'G3': 18, 'G4': 15, 'G1': 7}",729.0,6624000
车型1_009,0.346092,0.1215,0.283206,"{'G3': 18, 'G4': 15, 'G1': 7}",729.0,6624000
车型1_010,0.346092,0.1215,0.283206,"{'G3': 18, 'G4': 15, 'G1': 7}",729.0,6624000
车型1_011,0.346092,0.1215,0.283206,"{'G3': 18, 'G4': 15, 'G1': 7}",729.0,6624000
车型1_012,0.346092,0.1215,0.283206,"{'G3': 18, 'G4': 15, 'G1': 7}",729.0,6624000
车型1_013,0.346092,0.1215,0.283206,"{'G3': 18, 'G4': 15, 'G1': 7}",729.0,6624000
车型1_014,0.34233,0.122333,0.280731,"{'G3': 18, 'G4': 14, 'G5': 1, 'G1': 8}",734.0,6552000
车型1_015,0.328014,0.121667,0.270237,"{'G3': 18, 'G2': 8, 'G5': 4, 'G4': 12, 'G1': 2}",730.0,6278000
车型1_016,0.330522,0.123667,0.272603,"{'G3': 18, 'G2': 8, 'G5': 6, 'G4': 12}",742.0,6326000
车型1_017,0.48664,0.236,0.416461,"{'G3': 12, 'G2': 56, 'G5': 22, 'G4': 8, 'G1': 16}",1416.0,9314000
车型1_018,0.850183,0.3115,0.699352,"{'G5': 6, 'G4': 57, 'G1': 28}",1869.0,16272000
车型1_019,0.832628,0.305167,0.684939,"{'G4': 55, 'G1': 38}",1831.0,15936000
车型1_020,0.738725,0.306833,0.617795,"{'G1': 46, 'G4': 37, 'G2': 5, 'G5': 18}",1841.0,14138750
车型1_021,0.472781,0.231667,0.405269,"{'G2': 45, 'G4': 10, 'G1': 65}",1390.0,9048750
车型1_022,0.519099,0.297,0.456912,"{'G5': 45, 'G1': 47, 'G2': 51}",1782.0,9935250
车型1_023,0.517623,0.296333,0.455662,"{'G2': 52, 'G1': 46, 'G5': 45}",1778.0,9907000
车型1_024,0.364627,0.202,0.319092,"{'G2': 69, 'G1': 55}",1212.0,6978750
车型1_025,0.514671,0.295,0.453163,"{'G5': 45, 'G1': 44, 'G2': 54}",1770.0,9850500
车型1_026,0.516147,0.295667,0.454413,"{'G2': 53, 'G1': 45, 'G5': 45}",1774.0,9878750
车型1_027,0.363151,0.201333,0.317842,"{'G2': 70, 'G1': 54}",1208.0,6950500
车型1_028,0.514671,0.295,0.453163,"{'G2': 54, 'G1': 44, 'G5': 45}",1770.0,9850500
车型1_029,0.516147,0.295667,0.454413,"{'G2': 53, 'G1': 45, 'G5': 45}",1774.0,9878750
车型1_030,0.361675,0.200667,0.316593,"{'G2': 71, 'G1': 53}",1204.0,6922250
车型1_031,0.516147,0.295667,0.454413,"{'G2': 53, 'G1': 45, 'G5': 45}",1774.0,9878750
车型1_032,0.543565,0.315333,0.47966,"{'G2': 82, 'G1': 28, 'G5': 50}",1892.0,10403500
车型1_033,0.579955,0.342,0.513328,"{'G2': 144, 'G5': 50}",2052.0,11100000
车型1_034,0.305025,0.18,0.270018,"{'G2': 72, 'G5': 28}",1080.0,5838000
