item_id,type_id,x,y,z,length,width,height,orientation_id,rotation,truck_id
P4_4.2米箱货_001_0001,P4,0,0,0,345,345,395,1,LWH,4.2米箱货_001
P4_4.2米箱货_001_0002,P4,0,345,0,345,345,395,1,LWH,4.2米箱货_001
P4_4.2米箱货_001_0003,P4,0,690,0,345,345,395,1,LWH,4.2米箱货_001
P4_4.2米箱货_001_0004,P4,0,1035,0,345,345,395,1,LWH,4.2米箱货_001
P4_4.2米箱货_001_0005,P4,0,1380,0,345,345,395,1,LWH,4.2米箱货_001
P4_4.2米箱货_001_0006,P4,345,0,0,345,345,395,1,LWH,4.2米箱货_001
P4_4.2米箱货_001_0007,P4,345,345,0,345,345,395,1,LWH,4.2米箱货_001
P4_4.2米箱货_001_0008,P4,345,690,0,345,345,395,1,LWH,4.2米箱货_001
P4_4.2米箱货_001_0009,P4,345,1035,0,345,345,395,1,LWH,4.2米箱货_001
P4_4.2米箱货_001_0010,P4,345,1380,0,345,345,395,1,LWH,4.2米箱货_001
P4_4.2米箱货_001_0011,P4,690,0,0,345,345,395,1,LWH,4.2米箱货_001
P4_4.2米箱货_001_0012,P4,690,345,0,345,345,395,1,LWH,4.2米箱货_001
P4_4.2米箱货_001_0013,P4,690,690,0,345,345,395,1,LWH,4.2米箱货_001
P4_4.2米箱货_001_0014,P4,690,1035,0,345,345,395,1,LWH,4.2米箱货_001
P4_4.2米箱货_001_0015,P4,690,1380,0,345,345,395,1,LWH,4.2米箱货_001
P4_4.2米箱货_001_0016,P4,1035,0,0,345,345,395,1,LWH,4.2米箱货_001
P4_4.2米箱货_001_0017,P4,1035,345,0,345,345,395,1,LWH,4.2米箱货_001
P4_4.2米箱货_001_0018,P4,1035,690,0,345,345,395,1,LWH,4.2米箱货_001
P4_4.2米箱货_001_0019,P4,1035,1035,0,345,345,395,1,LWH,4.2米箱货_001
P4_4.2米箱货_001_0020,P4,1035,1380,0,345,345,395,1,LWH,4.2米箱货_001
