item_id,type_id,x,y,z,length,width,height,orientation_id,rotation,truck_id
P6_单节柜_003_0001,P6,0,0,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0002,P6,0,226,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0003,P6,0,452,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0004,P6,0,678,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0005,P6,0,904,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0006,P6,0,1130,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0007,P6,0,1356,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0008,P6,0,1582,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0009,P6,0,1808,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0010,P6,0,2034,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0011,P6,435,0,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0012,P6,435,226,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0013,P6,435,452,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0014,P6,435,678,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0015,P6,435,904,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0016,P6,435,1130,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0017,P6,435,1356,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0018,P6,435,1582,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0019,P6,435,1808,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0020,P6,435,2034,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0021,P6,870,0,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0022,P6,870,226,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0023,P6,870,452,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0024,P6,870,678,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0025,P6,870,904,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0026,P6,870,1130,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0027,P6,870,1356,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0028,P6,870,1582,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0029,P6,870,1808,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0030,P6,870,2034,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0031,P6,1305,0,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0032,P6,1305,226,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0033,P6,1305,452,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0034,P6,1305,678,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0035,P6,1305,904,0,435,226,370,1,LWH,单节柜_003
P6_单节柜_003_0036,P6,1305,1130,0,435,226,370,1,LWH,单节柜_003
P3_单节柜_003_0001,P3,1305,1356,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0002,P3,1305,1621,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0003,P3,1305,1886,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0004,P3,1740,0,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0005,P3,1740,265,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0006,P3,1740,530,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0007,P3,1740,795,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0008,P3,1740,1060,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0009,P3,1740,1325,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0010,P3,1740,1590,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0011,P3,1740,1855,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0012,P3,2058,0,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0013,P3,2058,265,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0014,P3,2058,530,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0015,P3,2058,795,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0016,P3,2058,1060,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0017,P3,2058,1325,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0018,P3,2058,1590,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0019,P3,2058,1855,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0020,P3,2376,0,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0021,P3,2376,265,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0022,P3,2376,530,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0023,P3,2376,795,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0024,P3,2376,1060,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0025,P3,2376,1325,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0026,P3,2376,1590,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0027,P3,2376,1855,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0028,P3,2694,0,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0029,P3,2694,265,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0030,P3,2694,530,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0031,P3,2694,795,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0032,P3,2694,1060,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0033,P3,2694,1325,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0034,P3,2694,1590,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0035,P3,2694,1855,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0036,P3,3012,0,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0037,P3,3012,265,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0038,P3,3012,530,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0039,P3,3012,795,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0040,P3,3012,1060,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0041,P3,3012,1325,0,318,265,380,1,LWH,单节柜_003
P3_单节柜_003_0042,P3,3012,1590,0,318,265,380,1,LWH,单节柜_003
