type_id,product_name,x,y,z,length,width,height,orientation_id,rotation
P7,10L*2,0,0,0,430,225,438,6,HWL
P7,10L*2,0,0,438,430,225,438,6,HWL
P7,10L*2,0,0,876,430,225,438,6,HWL
P7,10L*2,0,0,1314,430,225,438,6,HWL
P7,10L*2,0,0,1752,430,225,438,6,HWL
P4,5L*4(异形瓶),0,225,0,395,345,345,3,HLW
P4,5L*4(异形瓶),0,570,0,395,345,345,3,HLW
P4,5L*4(异形瓶),0,915,0,395,345,345,3,HLW
P4,5L*4(异形瓶),0,1260,0,395,345,345,3,HLW
P4,5L*4(异形瓶),0,1605,0,395,345,345,3,HLW
P6,8L*2,0,1950,0,370,435,226,5,HLW
P8,20L(软),430,0,0,495,178,306,6,HWL
P6,8L*2,430,178,0,435,370,226,2,LHW
P4,5L*4(异形瓶),430,548,0,395,345,345,3,HLW
P4,5L*4(异形瓶),430,893,0,395,345,345,3,HLW
P6,8L*2,430,1238,0,370,435,226,5,HLW
P6,8L*2,430,1673,0,370,435,226,5,HLW
P5,5L*4(常规品),430,2108,0,323,385,322,2,LHW
P8,20L(软),925,0,0,495,178,306,6,HWL
P7,10L*2,925,178,0,430,225,438,6,HWL
P7,10L*2,925,178,438,430,225,438,6,HWL
P7,10L*2,925,178,876,430,225,438,6,HWL
P7,10L*2,925,178,1314,430,225,438,6,HWL
P7,10L*2,925,178,1752,430,225,438,6,HWL
P8,20L(软),925,403,0,306,495,178,2,LHW
P8,20L(软),925,898,0,306,495,178,2,LHW
P8,20L(软),925,1393,0,306,495,178,2,LHW
P8,20L(软),925,1888,0,306,495,178,2,LHW
P8,20L(软),1420,0,0,495,178,306,6,HWL
P4,5L*4(异形瓶),1420,178,0,395,345,345,3,HLW
P4,5L*4(异形瓶),1420,523,0,395,345,345,3,HLW
P6,8L*2,1420,868,0,370,435,226,5,HLW
P6,8L*2,1420,1303,0,370,435,226,5,HLW
P6,8L*2,1420,1738,0,370,435,226,5,HLW
P5,5L*4(常规品),1420,2173,0,323,322,385,1,LWH
P5,5L*4(常规品),1420,2173,385,323,322,385,1,LWH
P5,5L*4(常规品),1420,2173,770,323,322,385,1,LWH
P5,5L*4(常规品),1420,2173,1155,323,322,385,1,LWH
