type_id,product_name,x,y,z,length,width,height,orientation_id,rotation
P2,1.8L*6,0,0,0,347,320,238,2,LHW
P2,1.8L*6,0,320,0,347,320,238,2,LHW
P2,1.8L*6,0,640,0,347,320,238,2,LHW
P2,1.8L*6,0,960,0,347,320,238,2,LHW
P2,1.8L*6,0,1280,0,347,320,238,2,LHW
P2,1.8L*6,0,1600,0,347,320,238,2,LHW
P4,5L*4(异形瓶),0,1920,0,345,395,345,2,LHW
P2,1.8L*6,347,0,0,347,320,238,2,LHW
P2,1.8L*6,347,320,0,347,320,238,2,LHW
P1,3.68L*4,347,640,0,347,301,301,3,HLW
P1,3.68L*4,347,941,0,347,301,301,3,HLW
P2,1.8L*6,347,1242,0,347,320,238,2,LHW
P1,3.68L*4,347,1562,0,347,301,301,3,HLW
P2,1.8L*6,347,1863,0,347,320,238,2,LHW
P2,1.8L*6,694,0,0,347,320,238,2,LHW
P1,3.68L*4,694,320,0,347,301,301,3,HLW
P2,1.8L*6,694,621,0,347,320,238,2,LHW
P1,3.68L*4,694,941,0,347,301,301,3,HLW
P1,3.68L*4,694,1242,0,347,301,301,3,HLW
P2,1.8L*6,694,1543,0,347,320,238,2,LHW
P4,5L*4(异形瓶),694,1863,0,345,395,345,2,LHW
P2,1.8L*6,1041,0,0,347,320,238,2,LHW
P1,3.68L*4,1041,320,0,347,301,301,3,HLW
P2,1.8L*6,1041,621,0,347,320,238,2,LHW
P1,3.68L*4,1041,941,0,347,301,301,3,HLW
P1,3.68L*4,1041,1242,0,347,301,301,3,HLW
P2,1.8L*6,1041,1543,0,347,320,238,2,LHW
P4,5L*4(异形瓶),1041,1863,0,345,395,345,2,LHW
P2,1.8L*6,1388,0,0,347,320,238,2,LHW
P1,3.68L*4,1388,320,0,347,301,301,3,HLW
P2,1.8L*6,1388,621,0,347,320,238,2,LHW
P1,3.68L*4,1388,941,0,347,301,301,3,HLW
P1,3.68L*4,1388,1242,0,347,301,301,3,HLW
P2,1.8L*6,1388,1543,0,347,320,238,2,LHW
P4,5L*4(异形瓶),1388,1863,0,345,395,345,2,LHW
P2,1.8L*6,1735,0,0,347,320,238,2,LHW
P1,3.68L*4,1735,320,0,347,301,301,3,HLW
P2,1.8L*6,1735,621,0,347,320,238,2,LHW
P1,3.68L*4,1735,941,0,347,301,301,3,HLW
P1,3.68L*4,1735,1242,0,347,301,301,3,HLW
P2,1.8L*6,1735,1543,0,347,320,238,2,LHW
P4,5L*4(异形瓶),1735,1863,0,345,395,345,2,LHW
P2,1.8L*6,2082,0,0,347,320,238,2,LHW
P1,3.68L*4,2082,320,0,347,301,301,3,HLW
P2,1.8L*6,2082,621,0,347,320,238,2,LHW
P1,3.68L*4,2082,941,0,347,301,301,3,HLW
P1,3.68L*4,2082,1242,0,347,301,301,3,HLW
P2,1.8L*6,2082,1543,0,347,320,238,2,LHW
P4,5L*4(异形瓶),2082,1863,0,345,395,345,2,LHW
P2,1.8L*6,2429,0,0,347,320,238,2,LHW
P1,3.68L*4,2429,320,0,347,301,301,3,HLW
P2,1.8L*6,2429,621,0,347,320,238,2,LHW
P1,3.68L*4,2429,941,0,347,301,301,3,HLW
P1,3.68L*4,2429,1242,0,347,301,301,3,HLW
P3,4L*4,2429,1543,0,318,380,265,2,LHW
P3,4L*4,2429,1923,0,318,380,265,2,LHW
P2,1.8L*6,2776,0,0,347,320,238,2,LHW
P2,1.8L*6,2776,320,0,347,320,238,2,LHW
P1,3.68L*4,2776,640,0,347,301,301,3,HLW
P1,3.68L*4,2776,941,0,347,301,301,3,HLW
P2,1.8L*6,2776,1242,0,347,320,238,2,LHW
P3,4L*4,2776,1562,0,318,380,265,2,LHW
P3,4L*4,2776,1942,0,318,380,265,2,LHW
P2,1.8L*6,3123,0,0,347,320,238,2,LHW
P1,3.68L*4,3123,320,0,347,301,301,3,HLW
P2,1.8L*6,3123,621,0,347,320,238,2,LHW
P1,3.68L*4,3123,941,0,347,301,301,3,HLW
P1,3.68L*4,3123,1242,0,347,301,301,3,HLW
P4,5L*4(异形瓶),3123,1543,0,345,395,345,2,LHW
P4,5L*4(异形瓶),3123,1938,0,345,395,345,2,LHW
P2,1.8L*6,3470,0,0,347,320,238,2,LHW
P2,1.8L*6,3470,320,0,347,320,238,2,LHW
P1,3.68L*4,3470,640,0,347,301,301,3,HLW
P3,4L*4,3470,941,0,318,380,265,2,LHW
P3,4L*4,3470,1321,0,318,380,265,2,LHW
P8,20L(软),3470,1701,0,306,495,178,2,LHW
P2,1.8L*6,3817,0,0,347,320,238,2,LHW
P1,3.68L*4,3817,320,0,347,301,301,3,HLW
P2,1.8L*6,3817,621,0,347,320,238,2,LHW
P1,3.68L*4,3817,941,0,347,301,301,3,HLW
P3,4L*4,3817,1242,0,318,380,265,2,LHW
P8,20L(软),3817,1622,0,306,495,178,2,LHW
P2,1.8L*6,4164,0,0,347,320,238,2,LHW
P1,3.68L*4,4164,320,0,347,301,301,3,HLW
P3,4L*4,4164,621,0,318,380,265,2,LHW
P3,4L*4,4164,1001,0,318,380,265,2,LHW
P8,20L(软),4164,1381,0,306,495,178,2,LHW
P7,10L*2,4164,1876,0,225,438,430,3,WLH
P2,1.8L*6,4511,0,0,347,320,238,2,LHW
P1,3.68L*4,4511,320,0,347,301,301,3,HLW
P2,1.8L*6,4511,621,0,347,320,238,2,LHW
P5,5L*4(常规品),4511,941,0,323,385,322,2,LHW
P5,5L*4(常规品),4511,1326,0,323,385,322,2,LHW
P5,5L*4(常规品),4511,1711,0,323,385,322,2,LHW
P1,3.68L*4,4858,0,0,347,301,301,3,HLW
P2,1.8L*6,4858,301,0,347,320,238,2,LHW
P3,4L*4,4858,621,0,318,380,265,2,LHW
P3,4L*4,4858,1001,0,318,380,265,2,LHW
P8,20L(软),4858,1381,0,306,495,178,2,LHW
P7,10L*2,4858,1876,0,225,438,430,3,WLH
P1,3.68L*4,5205,0,0,347,301,301,3,HLW
P2,1.8L*6,5205,301,0,347,320,238,2,LHW
P1,3.68L*4,5205,621,0,347,301,301,3,HLW
P5,5L*4(常规品),5205,922,0,323,385,322,2,LHW
P5,5L*4(常规品),5205,1307,0,323,385,322,2,LHW
P8,20L(软),5205,1692,0,306,495,178,2,LHW
P2,1.8L*6,5552,0,0,347,320,238,2,LHW
P1,3.68L*4,5552,320,0,347,301,301,3,HLW
P3,4L*4,5552,621,0,318,380,265,2,LHW
P3,4L*4,5552,1001,0,318,380,265,2,LHW
P8,20L(软),5552,1381,0,306,495,178,2,LHW
P7,10L*2,5552,1876,0,225,438,430,3,WLH
P7,10L*2,5552,1876,430,225,438,430,3,WLH
P7,10L*2,5552,1876,860,225,438,430,3,WLH
P7,10L*2,5552,1876,1290,225,438,430,3,WLH
P7,10L*2,5552,1876,1720,225,438,430,3,WLH
P1,3.68L*4,4858,0,301,347,301,301,3,HLW
P1,3.68L*4,4858,0,602,347,301,301,3,HLW
P1,3.68L*4,4858,0,903,347,301,301,3,HLW
P1,3.68L*4,4858,0,1204,347,301,301,3,HLW
P1,3.68L*4,4858,0,1505,347,301,301,3,HLW
P1,3.68L*4,4858,0,1806,347,301,301,3,HLW
P4,5L*4(异形瓶),3123,1543,345,345,395,345,2,LHW
P4,5L*4(异形瓶),3123,1543,690,345,395,345,2,LHW
P4,5L*4(异形瓶),3123,1543,1035,345,395,345,2,LHW
P4,5L*4(异形瓶),3123,1543,1380,345,395,345,2,LHW
P4,5L*4(异形瓶),3123,1543,1725,345,395,345,2,LHW
P3,4L*4,3123,1543,2070,318,380,265,2,LHW
P5,5L*4(常规品),5205,922,322,323,385,322,2,LHW
P5,5L*4(常规品),5205,922,644,323,385,322,2,LHW
P5,5L*4(常规品),5205,922,966,323,385,322,2,LHW
P5,5L*4(常规品),5205,922,1288,323,385,322,2,LHW
P5,5L*4(常规品),5205,922,1610,323,385,322,2,LHW
P5,5L*4(常规品),5205,922,1932,323,385,322,2,LHW
P4,5L*4(异形瓶),694,1863,345,345,395,345,2,LHW
P4,5L*4(异形瓶),694,1863,690,345,395,345,2,LHW
P4,5L*4(异形瓶),694,1863,1035,345,395,345,2,LHW
P4,5L*4(异形瓶),694,1863,1380,345,395,345,2,LHW
P4,5L*4(异形瓶),694,1863,1725,345,395,345,2,LHW
P3,4L*4,694,1863,2070,318,380,265,2,LHW
P1,3.68L*4,5205,0,301,347,301,301,3,HLW
P1,3.68L*4,5205,0,602,347,301,301,3,HLW
P1,3.68L*4,5205,0,903,347,301,301,3,HLW
P1,3.68L*4,5205,0,1204,347,301,301,3,HLW
P1,3.68L*4,5205,0,1505,347,301,301,3,HLW
P1,3.68L*4,5205,0,1806,347,301,301,3,HLW
P5,5L*4(常规品),4511,941,322,323,385,322,2,LHW
P5,5L*4(常规品),4511,941,644,323,385,322,2,LHW
P5,5L*4(常规品),4511,941,966,323,385,322,2,LHW
P5,5L*4(常规品),4511,941,1288,323,385,322,2,LHW
P5,5L*4(常规品),4511,941,1610,323,385,322,2,LHW
P5,5L*4(常规品),4511,941,1932,323,385,322,2,LHW
P4,5L*4(异形瓶),1041,1863,345,345,395,345,2,LHW
P4,5L*4(异形瓶),1041,1863,690,345,395,345,2,LHW
P4,5L*4(异形瓶),1041,1863,1035,345,395,345,2,LHW
P4,5L*4(异形瓶),1041,1863,1380,345,395,345,2,LHW
P4,5L*4(异形瓶),1041,1863,1725,345,395,345,2,LHW
P3,4L*4,1041,1863,2070,318,380,265,2,LHW
P1,3.68L*4,694,320,301,347,301,301,3,HLW
P1,3.68L*4,694,320,602,347,301,301,3,HLW
P1,3.68L*4,694,320,903,347,301,301,3,HLW
P1,3.68L*4,694,320,1204,347,301,301,3,HLW
P1,3.68L*4,694,320,1505,347,301,301,3,HLW
P1,3.68L*4,694,320,1806,347,301,301,3,HLW
P2,1.8L*6,0,0,238,347,320,238,2,LHW
P2,1.8L*6,0,0,476,347,320,238,2,LHW
P2,1.8L*6,0,0,714,347,320,238,2,LHW
P2,1.8L*6,0,0,952,347,320,238,2,LHW
P2,1.8L*6,0,0,1190,347,320,238,2,LHW
P1,3.68L*4,0,0,1428,347,301,301,3,HLW
P1,3.68L*4,0,0,1729,347,301,301,3,HLW
P1,3.68L*4,0,0,2030,347,301,301,3,HLW
P5,5L*4(常规品),5205,1307,322,323,385,322,2,LHW
P5,5L*4(常规品),5205,1307,644,323,385,322,2,LHW
P5,5L*4(常规品),5205,1307,966,323,385,322,2,LHW
P5,5L*4(常规品),5205,1307,1288,323,385,322,2,LHW
P5,5L*4(常规品),5205,1307,1610,323,385,322,2,LHW
P5,5L*4(常规品),5205,1307,1932,323,385,322,2,LHW
P3,4L*4,4164,621,265,318,380,265,2,LHW
P3,4L*4,4164,621,530,318,380,265,2,LHW
P3,4L*4,4164,621,795,318,380,265,2,LHW
P3,4L*4,4164,621,1060,318,380,265,2,LHW
P3,4L*4,4164,621,1325,318,380,265,2,LHW
P3,4L*4,4164,621,1590,318,380,265,2,LHW
P6,8L*2,4164,621,1855,226,370,435,4,WHL
P4,5L*4(异形瓶),1388,1863,345,345,395,345,2,LHW
P4,5L*4(异形瓶),1388,1863,690,345,395,345,2,LHW
P4,5L*4(异形瓶),1388,1863,1035,345,395,345,2,LHW
P4,5L*4(异形瓶),1388,1863,1380,345,395,345,2,LHW
P4,5L*4(异形瓶),1388,1863,1725,345,395,345,2,LHW
P3,4L*4,1388,1863,2070,318,380,265,2,LHW
P2,1.8L*6,347,0,238,347,320,238,2,LHW
P2,1.8L*6,347,0,476,347,320,238,2,LHW
P2,1.8L*6,347,0,714,347,320,238,2,LHW
P2,1.8L*6,347,0,952,347,320,238,2,LHW
P2,1.8L*6,347,0,1190,347,320,238,2,LHW
P1,3.68L*4,347,0,1428,347,301,301,3,HLW
P1,3.68L*4,347,0,1729,347,301,301,3,HLW
P1,3.68L*4,347,0,2030,347,301,301,3,HLW
P5,5L*4(常规品),4511,1326,322,323,385,322,2,LHW
P5,5L*4(常规品),4511,1326,644,323,385,322,2,LHW
P5,5L*4(常规品),4511,1326,966,323,385,322,2,LHW
P5,5L*4(常规品),4511,1326,1288,323,385,322,2,LHW
P5,5L*4(常规品),4511,1326,1610,323,385,322,2,LHW
P5,5L*4(常规品),4511,1326,1932,323,385,322,2,LHW
P4,5L*4(异形瓶),1735,1863,345,345,395,345,2,LHW
P4,5L*4(异形瓶),1735,1863,690,345,395,345,2,LHW
P4,5L*4(异形瓶),1735,1863,1035,345,395,345,2,LHW
P4,5L*4(异形瓶),1735,1863,1380,345,395,345,2,LHW
P4,5L*4(异形瓶),1735,1863,1725,345,395,345,2,LHW
P3,4L*4,1735,1863,2070,318,380,265,2,LHW
P3,4L*4,4858,621,265,318,380,265,2,LHW
P3,4L*4,4858,621,530,318,380,265,2,LHW
P3,4L*4,4858,621,795,318,380,265,2,LHW
P3,4L*4,4858,621,1060,318,380,265,2,LHW
P3,4L*4,4858,621,1325,318,380,265,2,LHW
P6,8L*2,4858,621,1590,226,370,435,4,WHL
P2,1.8L*6,694,0,238,347,320,238,2,LHW
P2,1.8L*6,694,0,476,347,320,238,2,LHW
P2,1.8L*6,694,0,714,347,320,238,2,LHW
P2,1.8L*6,694,0,952,347,320,238,2,LHW
P2,1.8L*6,694,0,1190,347,320,238,2,LHW
P1,3.68L*4,694,0,1428,347,301,301,3,HLW
P1,3.68L*4,694,0,1729,347,301,301,3,HLW
P1,3.68L*4,694,0,2030,347,301,301,3,HLW
P4,5L*4(异形瓶),2082,1863,345,345,395,345,2,LHW
P4,5L*4(异形瓶),2082,1863,690,345,395,345,2,LHW
P4,5L*4(异形瓶),2082,1863,1035,345,395,345,2,LHW
P4,5L*4(异形瓶),2082,1863,1380,345,395,345,2,LHW
P4,5L*4(异形瓶),2082,1863,1725,345,395,345,2,LHW
P3,4L*4,2082,1863,2070,318,380,265,2,LHW
P5,5L*4(常规品),4511,1711,322,323,385,322,2,LHW
P5,5L*4(常规品),4511,1711,644,323,385,322,2,LHW
P5,5L*4(常规品),4511,1711,966,323,385,322,2,LHW
P5,5L*4(常规品),4511,1711,1288,323,385,322,2,LHW
P5,5L*4(常规品),4511,1711,1610,323,385,322,2,LHW
