type_id,product_name,x,y,z,length,width,height,orientation_id,rotation
P8,20L(软),0,0,0,306,495,178,2,LHW
P8,20L(软),0,495,0,306,495,178,2,LHW
P8,20L(软),0,990,0,306,495,178,2,LHW
P8,20L(软),0,1485,0,306,495,178,2,LHW
P1,3.68L*4,0,1980,0,301,347,301,2,LHW
P6,8L*2,306,0,0,226,370,435,4,WHL
P7,10L*2,306,370,0,225,430,438,4,WHL
P7,10L*2,306,800,0,225,438,430,3,WLH
P7,10L*2,306,1238,0,225,438,430,3,WLH
P7,10L*2,306,1676,0,225,438,430,3,WLH
P6,8L*2,306,0,435,226,370,435,4,WHL
P6,8L*2,306,0,870,226,370,435,4,WHL
P6,8L*2,306,0,1305,226,370,435,4,WHL
P6,8L*2,306,0,1740,226,370,435,4,WHL
P6,8L*2,306,0,2175,226,370,435,4,WHL
P5,5L*4(常规品),532,0,0,323,385,322,2,LHW
P5,5L*4(常规品),532,385,0,323,385,322,2,LHW
P8,20L(软),532,770,0,306,495,178,2,LHW
P8,20L(软),532,1265,0,306,495,178,2,LHW
P8,20L(软),532,1760,0,306,495,178,2,LHW
P3,4L*4,855,0,0,265,318,380,3,WLH
P3,4L*4,855,318,0,265,380,318,4,WHL
P7,10L*2,855,698,0,225,430,438,4,WHL
P7,10L*2,855,1128,0,225,438,430,3,WLH
P7,10L*2,855,1566,0,225,438,430,3,WLH
P8,20L(软),855,2004,0,178,306,495,3,WLH
P8,20L(软),855,2004,495,178,306,495,3,WLH
P8,20L(软),855,2004,990,178,306,495,3,WLH
P8,20L(软),855,2004,1485,178,306,495,3,WLH
P8,20L(软),855,2004,1980,178,306,495,3,WLH
P5,5L*4(常规品),1120,0,0,323,385,322,2,LHW
P5,5L*4(常规品),1120,385,0,323,385,322,2,LHW
P5,5L*4(常规品),1120,770,0,323,385,322,2,LHW
P5,5L*4(常规品),1120,1155,0,323,385,322,2,LHW
P5,5L*4(常规品),1120,1540,0,323,385,322,2,LHW
P5,5L*4(常规品),1120,1925,0,323,385,322,2,LHW
P2,1.8L*6,1443,0,0,347,320,238,2,LHW
P4,5L*4(异形瓶),1443,320,0,345,395,345,2,LHW
P4,5L*4(异形瓶),1443,715,0,345,395,345,2,LHW
P4,5L*4(异形瓶),1443,1110,0,345,395,345,2,LHW
P4,5L*4(异形瓶),1443,1505,0,345,395,345,2,LHW
P4,5L*4(异形瓶),1443,1900,0,345,395,345,2,LHW
P3,4L*4,1790,0,0,265,318,380,3,WLH
P3,4L*4,1790,318,0,265,380,318,4,WHL
P6,8L*2,1790,698,0,226,435,370,3,WLH
P7,10L*2,1790,1133,0,225,438,430,3,WLH
P7,10L*2,1790,1571,0,225,438,430,3,WLH
P8,20L(软),1790,2009,0,178,306,495,3,WLH
P8,20L(软),1790,2009,495,178,306,495,3,WLH
P8,20L(软),1790,2009,990,178,306,495,3,WLH
P8,20L(软),1790,2009,1485,178,306,495,3,WLH
P8,20L(软),1790,2009,1980,178,306,495,3,WLH
P2,1.8L*6,2055,0,0,347,320,238,2,LHW
P4,5L*4(异形瓶),2055,320,0,345,395,345,2,LHW
P4,5L*4(异形瓶),2055,715,0,345,395,345,2,LHW
P4,5L*4(异形瓶),2055,1110,0,345,395,345,2,LHW
P4,5L*4(异形瓶),2055,1505,0,345,395,345,2,LHW
P4,5L*4(异形瓶),2055,1900,0,345,395,345,2,LHW
P2,1.8L*6,2402,0,0,347,320,238,2,LHW
P3,4L*4,2402,320,0,318,380,265,2,LHW
P3,4L*4,2402,700,0,318,380,265,2,LHW
P3,4L*4,2402,1080,0,318,380,265,2,LHW
