type_id,product_name,x,y,z,length,width,height,orientation_id,rotation
P3,4L*4,0,0,0,318,380,265,2,LHW
P3,4L*4,0,380,0,318,380,265,2,LHW
P3,4L*4,0,760,0,318,380,265,2,LHW
P3,4L*4,0,1140,0,318,380,265,2,LHW
P3,4L*4,0,1520,0,318,380,265,2,LHW
P3,4L*4,0,1900,0,318,380,265,2,LHW
P3,4L*4,318,0,0,318,380,265,2,LHW
P3,4L*4,318,380,0,318,380,265,2,LHW
P3,4L*4,318,760,0,318,380,265,2,LHW
P8,20L(软),318,1140,0,306,495,178,2,LHW
P8,20L(软),318,1635,0,306,495,178,2,LHW
P8,20L(软),318,2130,0,306,178,495,1,LWH
P8,20L(软),318,2130,495,306,178,495,1,LWH
P8,20L(软),318,2130,990,306,178,495,1,LWH
P8,20L(软),318,2130,1485,306,178,495,1,LWH
P2,1.8L*6,636,0,0,347,320,238,2,LHW
P4,5L*4(异形瓶),636,320,0,345,345,395,1,LWH
P4,5L*4(异形瓶),636,665,0,345,345,395,1,LWH
P5,5L*4(常规品),636,1010,0,323,385,322,2,LHW
P5,5L*4(常规品),636,1395,0,323,385,322,2,LHW
P5,5L*4(常规品),636,1780,0,323,385,322,2,LHW
P8,20L(软),636,2165,0,306,178,495,1,LWH
P8,20L(软),636,2165,495,306,178,495,1,LWH
P8,20L(软),636,2165,990,306,178,495,1,LWH
P8,20L(软),636,2165,1485,306,178,495,1,LWH
P2,1.8L*6,983,0,0,347,320,238,2,LHW
P4,5L*4(异形瓶),983,320,0,345,345,395,1,LWH
P3,4L*4,983,665,0,318,380,265,2,LHW
P3,4L*4,983,1045,0,318,380,265,2,LHW
P3,4L*4,983,1425,0,318,380,265,2,LHW
P8,20L(软),983,1805,0,306,495,178,2,LHW
P2,1.8L*6,1330,0,0,347,320,238,2,LHW
P4,5L*4(异形瓶),1330,320,0,345,345,395,1,LWH
P4,5L*4(异形瓶),1330,665,0,345,345,395,1,LWH
P5,5L*4(常规品),1330,1010,0,323,385,322,2,LHW
P5,5L*4(常规品),1330,1395,0,323,385,322,2,LHW
P5,5L*4(常规品),1330,1780,0,323,385,322,2,LHW
P8,20L(软),1330,2165,0,306,178,495,1,LWH
P8,20L(软),1330,2165,495,306,178,495,1,LWH
P8,20L(软),1330,2165,990,306,178,495,1,LWH
P8,20L(软),1330,2165,1485,306,178,495,1,LWH
P2,1.8L*6,1677,0,0,347,320,238,2,LHW
P4,5L*4(异形瓶),1677,320,0,345,345,395,1,LWH
P3,4L*4,1677,665,0,318,380,265,2,LHW
P3,4L*4,1677,1045,0,318,380,265,2,LHW
P3,4L*4,1677,1425,0,318,380,265,2,LHW
P8,20L(软),1677,1805,0,306,495,178,2,LHW
P6,8L*2,2024,0,0,226,435,370,3,WLH
P7,10L*2,2024,435,0,225,438,430,3,WLH
P7,10L*2,2024,873,0,225,438,430,3,WLH
P7,10L*2,2024,1311,0,225,438,430,3,WLH
P7,10L*2,2024,1749,0,225,438,430,3,WLH
P7,10L*2,2024,435,430,225,438,430,3,WLH
P7,10L*2,2024,435,860,225,438,430,3,WLH
P7,10L*2,2024,435,1290,225,438,430,3,WLH
P7,10L*2,2024,435,1720,225,438,430,3,WLH
P7,10L*2,2024,873,430,225,438,430,3,WLH
P7,10L*2,2024,873,860,225,438,430,3,WLH
P7,10L*2,2024,873,1290,225,438,430,3,WLH
P7,10L*2,2024,873,1720,225,438,430,3,WLH
P2,1.8L*6,2250,0,0,347,320,238,2,LHW
P4,5L*4(异形瓶),2250,320,0,345,345,395,1,LWH
P4,5L*4(异形瓶),2250,665,0,345,345,395,1,LWH
P5,5L*4(常规品),2250,1010,0,323,385,322,2,LHW
P5,5L*4(常规品),2250,1395,0,323,385,322,2,LHW
P5,5L*4(常规品),2250,1780,0,323,385,322,2,LHW
P8,20L(软),2250,2165,0,306,178,495,1,LWH
P8,20L(软),2250,2165,495,306,178,495,1,LWH
P8,20L(软),2250,2165,990,306,178,495,1,LWH
P8,20L(软),2250,2165,1485,306,178,495,1,LWH
P6,8L*2,2597,0,0,226,435,370,3,WLH
P6,8L*2,2597,435,0,226,435,370,3,WLH
P6,8L*2,2597,870,0,226,435,370,3,WLH
P6,8L*2,2597,1305,0,226,435,370,3,WLH
P6,8L*2,2597,1740,0,226,435,370,3,WLH
P2,1.8L*6,2823,0,0,347,320,238,2,LHW
P4,5L*4(异形瓶),2823,320,0,345,345,395,1,LWH
P3,4L*4,2823,665,0,318,380,265,2,LHW
P3,4L*4,2823,1045,0,318,380,265,2,LHW
P3,4L*4,2823,1425,0,318,380,265,2,LHW
P3,4L*4,2823,1805,0,318,380,265,2,LHW
P2,1.8L*6,3170,0,0,347,320,238,2,LHW
P4,5L*4(异形瓶),3170,320,0,345,345,395,1,LWH
P4,5L*4(异形瓶),3170,665,0,345,345,395,1,LWH
P5,5L*4(常规品),3170,1010,0,323,385,322,2,LHW
P5,5L*4(常规品),3170,1395,0,323,385,322,2,LHW
P5,5L*4(常规品),3170,1780,0,323,385,322,2,LHW
P8,20L(软),3170,2165,0,306,178,495,1,LWH
P8,20L(软),3170,2165,495,306,178,495,1,LWH
P8,20L(软),3170,2165,990,306,178,495,1,LWH
P8,20L(软),3170,2165,1485,306,178,495,1,LWH
P7,10L*2,2024,1311,430,225,438,430,3,WLH
P7,10L*2,2024,1311,860,225,438,430,3,WLH
P7,10L*2,2024,1311,1290,225,438,430,3,WLH
P7,10L*2,2024,1311,1720,225,438,430,3,WLH
P2,1.8L*6,3517,0,0,347,320,238,2,LHW
P1,3.68L*4,3517,320,0,347,301,301,3,HLW
P4,5L*4(异形瓶),3517,621,0,345,345,395,1,LWH
P4,5L*4(异形瓶),3517,966,0,345,345,395,1,LWH
P4,5L*4(异形瓶),3517,1311,0,345,395,345,2,LHW
P4,5L*4(异形瓶),3517,1706,0,345,395,345,2,LHW
P2,1.8L*6,3517,2101,0,320,238,347,6,HWL
P1,3.68L*4,3864,0,0,347,301,301,3,HLW
P2,1.8L*6,3864,301,0,347,320,238,2,LHW
P1,3.68L*4,3864,621,0,347,301,301,3,HLW
P3,4L*4,3864,922,0,318,380,265,2,LHW
P3,4L*4,3864,1302,0,318,380,265,2,LHW
P3,4L*4,3864,1682,0,318,380,265,2,LHW
P3,4L*4,3864,2062,0,318,265,380,1,LWH
