type_id,product_name,x,y,z,length,width,height,orientation_id,rotation
P7,10L*2,0,0,0,225,430,438,4,WHL
P7,10L*2,225,0,0,225,430,438,4,WHL
P7,10L*2,450,0,0,225,430,438,4,WHL
P7,10L*2,675,0,0,225,430,438,4,WHL
P7,10L*2,900,0,0,225,430,438,4,WHL
P7,10L*2,1125,0,0,225,430,438,4,WHL
P7,10L*2,1350,0,0,225,430,438,4,WHL
P7,10L*2,1575,0,0,225,430,438,4,WHL
P7,10L*2,1800,0,0,225,430,438,4,WHL
P7,10L*2,2025,0,0,225,430,438,4,WHL
P7,10L*2,2250,0,0,225,430,438,4,WHL
P7,10L*2,2475,0,0,225,430,438,4,WHL
P7,10L*2,2700,0,0,225,430,438,4,WHL
P6,8L*2,2925,0,0,226,370,435,4,WHL
P7,10L*2,3151,0,0,225,430,438,4,WHL
P6,8L*2,3376,0,0,226,370,435,4,WHL
P7,10L*2,3602,0,0,225,430,438,4,WHL
P6,8L*2,3827,0,0,226,370,435,4,WHL
P7,10L*2,4053,0,0,225,430,438,4,WHL
P6,8L*2,4278,0,0,226,370,435,4,WHL
P7,10L*2,4504,0,0,225,430,438,4,WHL
P6,8L*2,4729,0,0,226,370,435,4,WHL
P7,10L*2,4955,0,0,225,430,438,4,WHL
P6,8L*2,5180,0,0,226,370,435,4,WHL
P7,10L*2,5406,0,0,225,430,438,4,WHL
P6,8L*2,5631,0,0,226,370,435,4,WHL
P4,5L*4(异形瓶),5857,0,0,395,345,345,3,HLW
P7,10L*2,6252,0,0,225,430,438,4,WHL
P6,8L*2,6477,0,0,226,370,435,4,WHL
P4,5L*4(异形瓶),6703,0,0,395,345,345,3,HLW
P4,5L*4(异形瓶),7098,0,0,395,345,345,3,HLW
P7,10L*2,7493,0,0,225,430,438,4,WHL
P6,8L*2,7718,0,0,226,370,435,4,WHL
P4,5L*4(异形瓶),7944,0,0,395,345,345,3,HLW
P4,5L*4(异形瓶),8339,0,0,395,345,345,3,HLW
P7,10L*2,8734,0,0,225,430,438,4,WHL
P4,5L*4(异形瓶),8959,0,0,395,345,345,3,HLW
P8,20L(软),9354,0,0,178,495,306,4,WHL
P4,5L*4(异形瓶),9532,0,0,395,345,345,3,HLW
P6,8L*2,9927,0,0,226,370,435,4,WHL
P4,5L*4(异形瓶),10153,0,0,395,345,345,3,HLW
P4,5L*4(异形瓶),10548,0,0,395,345,345,3,HLW
P4,5L*4(异形瓶),10943,0,0,395,345,345,3,HLW
P7,10L*2,11338,0,0,225,430,438,4,WHL
P4,5L*4(异形瓶),11563,0,0,395,345,345,3,HLW
