type_id,product_name,x,y,z,length,width,height,orientation_id,rotation
P7,10L*2,0,0,0,225,430,438,4,WHL
P7,10L*2,225,0,0,225,430,438,4,WHL
P7,10L*2,450,0,0,225,430,438,4,WHL
P7,10L*2,675,0,0,225,430,438,4,WHL
P7,10L*2,900,0,0,225,430,438,4,WHL
P7,10L*2,1125,0,0,225,430,438,4,WHL
P7,10L*2,1350,0,0,225,430,438,4,WHL
P7,10L*2,1575,0,0,225,430,438,4,WHL
P7,10L*2,1800,0,0,225,430,438,4,WHL
P7,10L*2,2025,0,0,225,430,438,4,WHL
P7,10L*2,2250,0,0,225,430,438,4,WHL
P7,10L*2,2475,0,0,225,430,438,4,WHL
P6,8L*2,2700,0,0,226,370,435,4,WHL
P7,10L*2,2926,0,0,225,430,438,4,WHL
P4,5L*4(异形瓶),3151,0,0,395,345,345,3,HLW
P4,5L*4(异形瓶),3546,0,0,395,345,345,3,HLW
P4,5L*4(异形瓶),3941,0,0,395,345,345,3,HLW
P4,5L*4(异形瓶),4336,0,0,395,345,345,3,HLW
P7,10L*2,4731,0,0,438,430,225,2,LHW
P7,10L*2,5169,0,0,438,430,225,2,LHW
P7,10L*2,5607,0,0,438,430,225,2,LHW
P7,10L*2,6045,0,0,438,430,225,2,LHW
P8,20L(软),6483,0,0,306,495,178,2,LHW
P6,8L*2,0,495,0,226,370,435,4,WHL
P6,8L*2,226,495,0,226,370,435,4,WHL
P6,8L*2,452,495,0,226,370,435,4,WHL
P6,8L*2,678,495,0,226,370,435,4,WHL
P6,8L*2,904,495,0,226,370,435,4,WHL
P7,10L*2,1130,495,0,225,430,438,4,WHL
P6,8L*2,1355,495,0,226,370,435,4,WHL
P7,10L*2,1581,495,0,225,430,438,4,WHL
P6,8L*2,1806,495,0,226,370,435,4,WHL
P5,5L*4(常规品),2032,495,0,323,322,385,1,LWH
P5,5L*4(常规品),2355,495,0,323,322,385,1,LWH
P4,5L*4(异形瓶),2678,495,0,345,395,345,2,LHW
P4,5L*4(异形瓶),3023,495,0,395,345,345,3,HLW
P4,5L*4(异形瓶),3418,495,0,395,345,345,3,HLW
P4,5L*4(异形瓶),3813,495,0,395,345,345,3,HLW
P4,5L*4(异形瓶),4208,495,0,395,345,345,3,HLW
P7,10L*2,4603,495,0,438,430,225,2,LHW
P7,10L*2,5041,495,0,438,430,225,2,LHW
P7,10L*2,5479,495,0,438,430,225,2,LHW
P7,10L*2,5917,495,0,438,430,225,2,LHW
P7,10L*2,6355,495,0,438,430,225,2,LHW
P6,8L*2,0,990,0,226,370,435,4,WHL
P6,8L*2,226,990,0,226,370,435,4,WHL
