type_id,product_name,x,y,z,length,width,height,orientation_id,rotation
P2,1.8L*6,0,0,0,347,320,238,2,LHW
P2,1.8L*6,347,0,0,347,320,238,2,LHW
P2,1.8L*6,694,0,0,347,320,238,2,LHW
P2,1.8L*6,1041,0,0,347,320,238,2,LHW
P2,1.8L*6,1388,0,0,347,320,238,2,LHW
P2,1.8L*6,1735,0,0,347,320,238,2,LHW
P2,1.8L*6,2082,0,0,347,320,238,2,LHW
P2,1.8L*6,2429,0,0,347,320,238,2,LHW
P2,1.8L*6,2776,0,0,347,320,238,2,LHW
P2,1.8L*6,3123,0,0,347,320,238,2,LHW
P2,1.8L*6,3470,0,0,347,320,238,2,LHW
P2,1.8L*6,3817,0,0,347,320,238,2,LHW
P2,1.8L*6,4164,0,0,347,320,238,2,LHW
P2,1.8L*6,4511,0,0,347,320,238,2,LHW
P8,20L(软),4858,0,0,495,306,178,5,HLW
P8,20L(软),5353,0,0,495,306,178,5,HLW
P2,1.8L*6,0,320,0,347,320,238,2,LHW
P2,1.8L*6,347,320,0,347,320,238,2,LHW
P2,1.8L*6,694,320,0,347,320,238,2,LHW
P2,1.8L*6,1041,320,0,347,320,238,2,LHW
P2,1.8L*6,1388,320,0,347,320,238,2,LHW
P2,1.8L*6,1735,320,0,347,320,238,2,LHW
P2,1.8L*6,2082,320,0,347,320,238,2,LHW
P2,1.8L*6,2429,320,0,347,320,238,2,LHW
P2,1.8L*6,2776,320,0,347,320,238,2,LHW
P2,1.8L*6,3123,320,0,347,320,238,2,LHW
P2,1.8L*6,3470,320,0,347,320,238,2,LHW
P2,1.8L*6,3817,320,0,347,320,238,2,LHW
P2,1.8L*6,4164,320,0,347,320,238,2,LHW
P2,1.8L*6,4511,320,0,347,320,238,2,LHW
P8,20L(软),4858,320,0,495,306,178,5,HLW
P8,20L(软),5353,320,0,495,306,178,5,HLW
P2,1.8L*6,0,640,0,347,320,238,2,LHW
P2,1.8L*6,347,640,0,347,320,238,2,LHW
P2,1.8L*6,694,640,0,347,320,238,2,LHW
P2,1.8L*6,1041,640,0,347,320,238,2,LHW
P2,1.8L*6,1388,640,0,347,320,238,2,LHW
P2,1.8L*6,1735,640,0,347,320,238,2,LHW
P2,1.8L*6,2082,640,0,347,320,238,2,LHW
P2,1.8L*6,2429,640,0,347,320,238,2,LHW
P2,1.8L*6,2776,640,0,347,320,238,2,LHW
P2,1.8L*6,3123,640,0,347,320,238,2,LHW
P2,1.8L*6,3470,640,0,347,320,238,2,LHW
P2,1.8L*6,3817,640,0,347,320,238,2,LHW
P2,1.8L*6,4164,640,0,347,320,238,2,LHW
P8,20L(软),4511,640,0,495,306,178,5,HLW
P8,20L(软),5006,640,0,495,306,178,5,HLW
P2,1.8L*6,5501,640,0,347,320,238,2,LHW
P2,1.8L*6,0,960,0,347,320,238,2,LHW
P2,1.8L*6,347,960,0,347,320,238,2,LHW
P2,1.8L*6,694,960,0,347,320,238,2,LHW
P2,1.8L*6,1041,960,0,347,320,238,2,LHW
P2,1.8L*6,1388,960,0,347,320,238,2,LHW
P2,1.8L*6,1735,960,0,347,320,238,2,LHW
P2,1.8L*6,2082,960,0,347,320,238,2,LHW
P2,1.8L*6,2429,960,0,347,320,238,2,LHW
P2,1.8L*6,2776,960,0,347,320,238,2,LHW
P2,1.8L*6,3123,960,0,347,320,238,2,LHW
P2,1.8L*6,3470,960,0,347,320,238,2,LHW
P8,20L(软),3817,960,0,495,306,178,5,HLW
P8,20L(软),4312,960,0,495,306,178,5,HLW
P8,20L(软),4807,960,0,495,306,178,5,HLW
P8,20L(软),5302,960,0,495,306,178,5,HLW
P2,1.8L*6,0,1280,0,347,320,238,2,LHW
P2,1.8L*6,347,1280,0,347,320,238,2,LHW
P2,1.8L*6,694,1280,0,347,320,238,2,LHW
P2,1.8L*6,1041,1280,0,347,320,238,2,LHW
P2,1.8L*6,1388,1280,0,347,320,238,2,LHW
P2,1.8L*6,1735,1280,0,347,320,238,2,LHW
P2,1.8L*6,2082,1280,0,347,320,238,2,LHW
P2,1.8L*6,2429,1280,0,347,320,238,2,LHW
P2,1.8L*6,2776,1280,0,347,320,238,2,LHW
P2,1.8L*6,3123,1280,0,347,320,238,2,LHW
P8,20L(软),3470,1280,0,495,306,178,5,HLW
P8,20L(软),3965,1280,0,495,306,178,5,HLW
P8,20L(软),4460,1280,0,495,306,178,5,HLW
P8,20L(软),4955,1280,0,495,306,178,5,HLW
P2,1.8L*6,5450,1280,0,347,320,238,2,LHW
P2,1.8L*6,0,1600,0,347,320,238,2,LHW
P2,1.8L*6,347,1600,0,347,320,238,2,LHW
P2,1.8L*6,694,1600,0,347,320,238,2,LHW
P2,1.8L*6,1041,1600,0,347,320,238,2,LHW
P2,1.8L*6,1388,1600,0,347,320,238,2,LHW
P2,1.8L*6,1735,1600,0,347,320,238,2,LHW
P2,1.8L*6,2082,1600,0,347,320,238,2,LHW
P2,1.8L*6,2429,1600,0,347,320,238,2,LHW
P2,1.8L*6,2776,1600,0,347,320,238,2,LHW
P8,20L(软),3123,1600,0,495,306,178,5,HLW
P8,20L(软),3618,1600,0,495,306,178,5,HLW
P8,20L(软),4113,1600,0,495,306,178,5,HLW
P8,20L(软),4608,1600,0,495,306,178,5,HLW
P8,20L(软),5103,1600,0,495,306,178,5,HLW
P7,10L*2,0,1920,0,438,430,225,2,LHW
P7,10L*2,438,1920,0,438,430,225,2,LHW
P7,10L*2,876,1920,0,438,430,225,2,LHW
P7,10L*2,1314,1920,0,438,430,225,2,LHW
P7,10L*2,1752,1920,0,438,430,225,2,LHW
P7,10L*2,2190,1920,0,438,430,225,2,LHW
P7,10L*2,2628,1920,0,438,430,225,2,LHW
P7,10L*2,3066,1920,0,438,430,225,2,LHW
P7,10L*2,3504,1920,0,438,430,225,2,LHW
P7,10L*2,3942,1920,0,438,430,225,2,LHW
P7,10L*2,4380,1920,0,438,430,225,2,LHW
P7,10L*2,4818,1920,0,438,430,225,2,LHW
P7,10L*2,5256,1920,0,438,430,225,2,LHW
P2,1.8L*6,0,0,238,347,320,238,2,LHW
P2,1.8L*6,347,0,238,347,320,238,2,LHW
P2,1.8L*6,694,0,238,347,320,238,2,LHW
P2,1.8L*6,1041,0,238,347,320,238,2,LHW
P2,1.8L*6,1388,0,238,347,320,238,2,LHW
P2,1.8L*6,1735,0,238,347,320,238,2,LHW
P2,1.8L*6,2082,0,238,347,320,238,2,LHW
P2,1.8L*6,2429,0,238,347,320,238,2,LHW
P8,20L(软),2776,0,238,495,306,178,5,HLW
P8,20L(软),3271,0,238,495,306,178,5,HLW
P8,20L(软),3766,0,238,495,306,178,5,HLW
P8,20L(软),4261,0,238,495,306,178,5,HLW
P8,20L(软),4756,0,238,495,306,178,5,HLW
P8,20L(软),5251,0,238,495,306,178,5,HLW
P2,1.8L*6,0,320,238,347,320,238,2,LHW
P2,1.8L*6,347,320,238,347,320,238,2,LHW
P2,1.8L*6,694,320,238,347,320,238,2,LHW
P2,1.8L*6,1041,320,238,347,320,238,2,LHW
P2,1.8L*6,1388,320,238,347,320,238,2,LHW
P2,1.8L*6,1735,320,238,347,320,238,2,LHW
P2,1.8L*6,2082,320,238,347,320,238,2,LHW
P2,1.8L*6,2429,320,238,347,320,238,2,LHW
P8,20L(软),2776,320,238,495,306,178,5,HLW
P8,20L(软),3271,320,238,495,306,178,5,HLW
P8,20L(软),3766,320,238,495,306,178,5,HLW
P8,20L(软),4261,320,238,495,306,178,5,HLW
P8,20L(软),4756,320,238,495,306,178,5,HLW
P8,20L(软),5251,320,238,495,306,178,5,HLW
P2,1.8L*6,0,640,238,347,320,238,2,LHW
P2,1.8L*6,347,640,238,347,320,238,2,LHW
P2,1.8L*6,694,640,238,347,320,238,2,LHW
P2,1.8L*6,1041,640,238,347,320,238,2,LHW
P2,1.8L*6,1388,640,238,347,320,238,2,LHW
P2,1.8L*6,1735,640,238,347,320,238,2,LHW
P2,1.8L*6,2082,640,238,347,320,238,2,LHW
P8,20L(软),2429,640,238,495,306,178,5,HLW
P8,20L(软),2924,640,238,495,306,178,5,HLW
P8,20L(软),3419,640,238,495,306,178,5,HLW
P8,20L(软),3914,640,238,495,306,178,5,HLW
P8,20L(软),4409,640,238,495,306,178,5,HLW
P8,20L(软),4904,640,238,495,306,178,5,HLW
