type_id,product_name,x,y,z,length,width,height,orientation_id,rotation
P3,4L*4,0,0,0,318,380,265,2,LHW
P3,4L*4,318,0,0,318,380,265,2,LHW
P3,4L*4,636,0,0,318,380,265,2,LHW
P3,4L*4,954,0,0,318,380,265,2,LHW
P3,4L*4,1272,0,0,318,380,265,2,LHW
P3,4L*4,1590,0,0,318,380,265,2,LHW
P3,4L*4,1908,0,0,318,380,265,2,LHW
P3,4L*4,2226,0,0,318,380,265,2,LHW
P3,4L*4,2544,0,0,318,380,265,2,LHW
P3,4L*4,2862,0,0,318,380,265,2,LHW
P3,4L*4,3180,0,0,318,380,265,2,LHW
P3,4L*4,3498,0,0,318,380,265,2,LHW
P3,4L*4,3816,0,0,318,380,265,2,LHW
P3,4L*4,4134,0,0,318,380,265,2,LHW
P3,4L*4,4452,0,0,318,380,265,2,LHW
P3,4L*4,4770,0,0,318,380,265,2,LHW
P3,4L*4,5088,0,0,318,380,265,2,LHW
P3,4L*4,5406,0,0,318,380,265,2,LHW
P3,4L*4,5724,0,0,318,380,265,2,LHW
P3,4L*4,6042,0,0,318,380,265,2,LHW
P6,8L*2,6360,0,0,435,370,226,2,LHW
P6,8L*2,6795,0,0,435,370,226,2,LHW
P6,8L*2,7230,0,0,435,370,226,2,LHW
P6,8L*2,7665,0,0,435,370,226,2,LHW
P6,8L*2,8100,0,0,435,370,226,2,LHW
P6,8L*2,8535,0,0,435,370,226,2,LHW
P6,8L*2,8970,0,0,435,370,226,2,LHW
P6,8L*2,9405,0,0,435,370,226,2,LHW
P6,8L*2,9840,0,0,435,370,226,2,LHW
P6,8L*2,10275,0,0,435,370,226,2,LHW
P6,8L*2,10710,0,0,435,370,226,2,LHW
P6,8L*2,11145,0,0,435,370,226,2,LHW
P3,4L*4,11580,0,0,380,318,265,5,HLW
P3,4L*4,0,380,0,318,380,265,2,LHW
P3,4L*4,318,380,0,318,380,265,2,LHW
P2,1.8L*6,636,380,0,320,347,238,5,HLW
P3,4L*4,956,380,0,318,380,265,2,LHW
P2,1.8L*6,1274,380,0,320,347,238,5,HLW
P3,4L*4,1594,380,0,318,380,265,2,LHW
P2,1.8L*6,1912,380,0,320,347,238,5,HLW
P3,4L*4,2232,380,0,318,380,265,2,LHW
P2,1.8L*6,2550,380,0,320,347,238,5,HLW
P3,4L*4,2870,380,0,318,380,265,2,LHW
P2,1.8L*6,3188,380,0,320,347,238,5,HLW
P3,4L*4,3508,380,0,318,380,265,2,LHW
P2,1.8L*6,3826,380,0,320,347,238,5,HLW
P3,4L*4,4146,380,0,318,380,265,2,LHW
P2,1.8L*6,4464,380,0,320,347,238,5,HLW
P3,4L*4,4784,380,0,318,380,265,2,LHW
P2,1.8L*6,5102,380,0,320,347,238,5,HLW
P3,4L*4,5422,380,0,318,380,265,2,LHW
P3,4L*4,5740,380,0,318,380,265,2,LHW
P2,1.8L*6,6058,380,0,320,347,238,5,HLW
P6,8L*2,6378,380,0,435,370,226,2,LHW
P6,8L*2,6813,380,0,435,370,226,2,LHW
P6,8L*2,7248,380,0,435,370,226,2,LHW
P6,8L*2,7683,380,0,435,370,226,2,LHW
P6,8L*2,8118,380,0,435,370,226,2,LHW
P6,8L*2,8553,380,0,435,370,226,2,LHW
P8,20L(软),8988,380,0,495,306,178,5,HLW
P6,8L*2,9483,380,0,435,370,226,2,LHW
P8,20L(软),9918,380,0,495,306,178,5,HLW
P8,20L(软),10413,380,0,495,306,178,5,HLW
P8,20L(软),10908,380,0,495,306,178,5,HLW
P8,20L(软),11403,380,0,495,306,178,5,HLW
P7,10L*2,0,760,0,430,438,225,5,HLW
P7,10L*2,430,760,0,430,438,225,5,HLW
P7,10L*2,860,760,0,430,438,225,5,HLW
P7,10L*2,1290,760,0,430,438,225,5,HLW
P7,10L*2,1720,760,0,430,438,225,5,HLW
P7,10L*2,2150,760,0,430,438,225,5,HLW
P7,10L*2,2580,760,0,430,438,225,5,HLW
P7,10L*2,3010,760,0,430,438,225,5,HLW
P7,10L*2,3440,760,0,430,438,225,5,HLW
P7,10L*2,3870,760,0,430,438,225,5,HLW
P7,10L*2,4300,760,0,430,438,225,5,HLW
P7,10L*2,4730,760,0,430,438,225,5,HLW
P7,10L*2,5160,760,0,430,438,225,5,HLW
P7,10L*2,5590,760,0,430,438,225,5,HLW
P7,10L*2,6020,760,0,430,438,225,5,HLW
P7,10L*2,6450,760,0,430,438,225,5,HLW
P7,10L*2,6880,760,0,430,438,225,5,HLW
P7,10L*2,7310,760,0,430,438,225,5,HLW
P7,10L*2,7740,760,0,430,438,225,5,HLW
P7,10L*2,8170,760,0,438,430,225,2,LHW
P7,10L*2,8608,760,0,438,430,225,2,LHW
P7,10L*2,9046,760,0,438,430,225,2,LHW
P7,10L*2,9484,760,0,438,430,225,2,LHW
P7,10L*2,9922,760,0,438,430,225,2,LHW
P7,10L*2,10360,760,0,438,430,225,2,LHW
P7,10L*2,10798,760,0,438,430,225,2,LHW
P7,10L*2,11236,760,0,438,430,225,2,LHW
P8,20L(软),11674,760,0,306,495,178,2,LHW
P2,1.8L*6,0,1255,0,320,347,238,5,HLW
P2,1.8L*6,320,1255,0,320,347,238,5,HLW
P3,4L*4,640,1255,0,318,380,265,2,LHW
P2,1.8L*6,958,1255,0,320,347,238,5,HLW
P3,4L*4,1278,1255,0,318,380,265,2,LHW
P2,1.8L*6,1596,1255,0,320,347,238,5,HLW
P8,20L(软),1916,1255,0,306,495,178,2,LHW
P3,4L*4,2222,1255,0,318,380,265,2,LHW
P2,1.8L*6,2540,1255,0,320,347,238,5,HLW
P8,20L(软),2860,1255,0,306,495,178,2,LHW
P3,4L*4,3166,1255,0,318,380,265,2,LHW
P2,1.8L*6,3484,1255,0,320,347,238,5,HLW
P8,20L(软),3804,1255,0,306,495,178,2,LHW
P3,4L*4,4110,1255,0,318,380,265,2,LHW
P8,20L(软),4428,1255,0,306,495,178,2,LHW
P2,1.8L*6,4734,1255,0,320,347,238,5,HLW
P8,20L(软),5054,1255,0,306,495,178,2,LHW
P6,8L*2,5360,1255,0,370,435,226,5,HLW
P3,4L*4,5730,1255,0,318,380,265,2,LHW
P6,8L*2,6048,1255,0,370,435,226,5,HLW
P7,10L*2,6418,1255,0,430,438,225,5,HLW
P6,8L*2,6848,1255,0,370,435,226,5,HLW
P7,10L*2,7218,1255,0,430,438,225,5,HLW
P7,10L*2,7648,1255,0,430,438,225,5,HLW
P7,10L*2,8078,1255,0,430,438,225,5,HLW
P7,10L*2,8508,1255,0,438,430,225,2,LHW
P7,10L*2,8946,1255,0,438,430,225,2,LHW
P7,10L*2,9384,1255,0,438,430,225,2,LHW
P7,10L*2,9822,1255,0,438,430,225,2,LHW
P7,10L*2,10260,1255,0,438,430,225,2,LHW
P7,10L*2,10698,1255,0,438,430,225,2,LHW
P7,10L*2,11136,1255,0,438,430,225,2,LHW
P6,8L*2,11574,1255,0,370,435,226,5,HLW
P2,1.8L*6,0,1750,0,320,347,238,5,HLW
P3,4L*4,320,1750,0,318,380,265,2,LHW
P2,1.8L*6,638,1750,0,320,347,238,5,HLW
P3,4L*4,958,1750,0,318,380,265,2,LHW
P8,20L(软),1276,1750,0,306,495,178,2,LHW
P2,1.8L*6,1582,1750,0,320,347,238,5,HLW
P8,20L(软),1902,1750,0,306,495,178,2,LHW
P3,4L*4,2208,1750,0,318,380,265,2,LHW
P2,1.8L*6,2526,1750,0,320,347,238,5,HLW
P8,20L(软),2846,1750,0,306,495,178,2,LHW
P3,4L*4,3152,1750,0,318,380,265,2,LHW
P2,1.8L*6,3470,1750,0,320,347,238,5,HLW
P8,20L(软),3790,1750,0,306,495,178,2,LHW
P6,8L*2,4096,1750,0,370,435,226,5,HLW
P3,4L*4,4466,1750,0,318,380,265,2,LHW
P8,20L(软),4784,1750,0,306,495,178,2,LHW
P6,8L*2,5090,1750,0,370,435,226,5,HLW
P2,1.8L*6,5460,1750,0,320,347,238,5,HLW
P6,8L*2,5780,1750,0,370,435,226,5,HLW
P8,20L(软),6150,1750,0,306,495,178,2,LHW
P6,8L*2,6456,1750,0,370,435,226,5,HLW
P6,8L*2,6826,1750,0,370,435,226,5,HLW
P8,20L(软),7196,1750,0,306,495,178,2,LHW
P6,8L*2,7502,1750,0,370,435,226,5,HLW
P6,8L*2,7872,1750,0,370,435,226,5,HLW
P7,10L*2,8242,1750,0,438,430,225,2,LHW
P7,10L*2,8680,1750,0,438,430,225,2,LHW
P7,10L*2,9118,1750,0,438,430,225,2,LHW
P7,10L*2,9556,1750,0,438,430,225,2,LHW
P7,10L*2,9994,1750,0,438,430,225,2,LHW
P7,10L*2,10432,1750,0,438,430,225,2,LHW
P7,10L*2,10870,1750,0,438,430,225,2,LHW
P7,10L*2,11308,1750,0,438,430,225,2,LHW
P3,4L*4,0,0,265,318,380,265,2,LHW
P3,4L*4,318,0,265,318,380,265,2,LHW
P2,1.8L*6,636,0,265,320,347,238,5,HLW
P3,4L*4,956,0,265,318,380,265,2,LHW
P2,1.8L*6,1274,0,265,320,347,238,5,HLW
P3,4L*4,1594,0,265,318,380,265,2,LHW
P2,1.8L*6,1912,0,265,320,347,238,5,HLW
P3,4L*4,2232,0,265,318,380,265,2,LHW
P2,1.8L*6,2550,0,265,320,347,238,5,HLW
P3,4L*4,2870,0,265,318,380,265,2,LHW
P2,1.8L*6,3188,0,265,320,347,238,5,HLW
P3,4L*4,3508,0,265,318,380,265,2,LHW
P2,1.8L*6,3826,0,265,320,347,238,5,HLW
P3,4L*4,4146,0,265,318,380,265,2,LHW
P2,1.8L*6,4464,0,265,320,347,238,5,HLW
P3,4L*4,4784,0,265,318,380,265,2,LHW
P6,8L*2,5102,0,265,435,370,226,2,LHW
P6,8L*2,5537,0,265,435,370,226,2,LHW
P6,8L*2,5972,0,265,435,370,226,2,LHW
P6,8L*2,6407,0,265,435,370,226,2,LHW
P6,8L*2,6842,0,265,435,370,226,2,LHW
P6,8L*2,7277,0,265,435,370,226,2,LHW
P6,8L*2,7712,0,265,435,370,226,2,LHW
P8,20L(软),8147,0,265,495,306,178,5,HLW
P6,8L*2,8642,0,265,435,370,226,2,LHW
P8,20L(软),9077,0,265,495,306,178,5,HLW
