item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id
G2_车型1_008_0001,G2,standard,0,0,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0002,G2,standard,50,0,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0003,G2,standard,100,0,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0004,G2,standard,150,0,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0005,G2,standard,200,0,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0006,G2,standard,250,0,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0007,G2,standard,300,0,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0008,G2,standard,350,0,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0009,G2,standard,0,35,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0010,G2,standard,50,35,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0011,G2,standard,100,35,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0012,G2,standard,150,35,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0013,G2,standard,200,35,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0014,G2,standard,250,35,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0015,G2,standard,300,35,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0016,G2,standard,350,35,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0017,G2,standard,0,70,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0018,G2,standard,50,70,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0019,G2,standard,100,70,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0020,G2,standard,150,70,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0021,G2,standard,200,70,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0022,G2,standard,250,70,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0023,G2,standard,300,70,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0024,G2,standard,350,70,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0025,G2,standard,0,105,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0026,G2,standard,50,105,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0027,G2,standard,100,105,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0028,G2,standard,150,105,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0029,G2,standard,200,105,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0030,G2,standard,250,105,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0031,G2,standard,300,105,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0032,G2,standard,350,105,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0033,G2,standard,0,140,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0034,G2,standard,50,140,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0035,G2,standard,100,140,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0036,G2,standard,150,140,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0037,G2,standard,200,140,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0038,G2,standard,250,140,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0039,G2,standard,300,140,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0040,G2,standard,350,140,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0041,G2,standard,0,175,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0042,G2,standard,50,175,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0043,G2,standard,100,175,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0044,G2,standard,150,175,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0045,G2,standard,200,175,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0046,G2,standard,250,175,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0047,G2,standard,300,175,0,50,35,25,8,1,LWH,车型1_008
G2_车型1_008_0048,G2,standard,350,175,0,50,35,25,8,1,LWH,车型1_008
G5_车型1_008_0001,G5,oriented,0,0,25,40,40,60,18,1,LWH,车型1_008
G5_车型1_008_0002,G5,oriented,40,0,25,40,40,60,18,1,LWH,车型1_008
G5_车型1_008_0003,G5,oriented,80,0,25,40,40,60,18,1,LWH,车型1_008
G5_车型1_008_0004,G5,oriented,120,0,25,40,40,60,18,1,LWH,车型1_008
G5_车型1_008_0005,G5,oriented,160,0,25,40,40,60,18,1,LWH,车型1_008
G5_车型1_008_0006,G5,oriented,200,0,25,40,40,60,18,1,LWH,车型1_008
G5_车型1_008_0007,G5,oriented,240,0,25,40,40,60,18,1,LWH,车型1_008
G5_车型1_008_0008,G5,oriented,280,0,25,40,40,60,18,1,LWH,车型1_008
G5_车型1_008_0009,G5,oriented,320,0,25,40,40,60,18,1,LWH,车型1_008
G5_车型1_008_0010,G5,oriented,360,0,25,40,40,60,18,1,LWH,车型1_008
G5_车型1_008_0011,G5,oriented,0,40,25,40,40,60,18,1,LWH,车型1_008
G5_车型1_008_0012,G5,oriented,40,40,25,40,40,60,18,1,LWH,车型1_008
G5_车型1_008_0013,G5,oriented,80,40,25,40,40,60,18,1,LWH,车型1_008
G5_车型1_008_0014,G5,oriented,120,40,25,40,40,60,18,1,LWH,车型1_008
G5_车型1_008_0015,G5,oriented,160,40,25,40,40,60,18,1,LWH,车型1_008
G5_车型1_008_0016,G5,oriented,200,40,25,40,40,60,18,1,LWH,车型1_008
G5_车型1_008_0017,G5,oriented,240,40,25,40,40,60,18,1,LWH,车型1_008
G5_车型1_008_0018,G5,oriented,280,40,25,40,40,60,18,1,LWH,车型1_008
G5_车型1_008_0019,G5,oriented,320,40,25,40,40,60,18,1,LWH,车型1_008
G5_车型1_008_0020,G5,oriented,360,40,25,40,40,60,18,1,LWH,车型1_008
G4_车型1_008_0001,G4,oriented,0,80,25,80,60,50,25,1,LWH,车型1_008
G4_车型1_008_0002,G4,oriented,80,80,25,80,60,50,25,1,LWH,车型1_008
G4_车型1_008_0003,G4,oriented,160,80,25,80,60,50,25,1,LWH,车型1_008
G4_车型1_008_0004,G4,oriented,240,80,25,80,60,50,25,1,LWH,车型1_008
G4_车型1_008_0005,G4,oriented,320,80,25,80,60,50,25,1,LWH,车型1_008
G4_车型1_008_0006,G4,oriented,0,140,25,80,60,50,25,1,LWH,车型1_008
G4_车型1_008_0007,G4,oriented,80,140,25,80,60,50,25,1,LWH,车型1_008
G4_车型1_008_0008,G4,oriented,160,140,25,80,60,50,25,1,LWH,车型1_008
G4_车型1_008_0009,G4,oriented,240,140,25,80,60,50,25,1,LWH,车型1_008
G4_车型1_008_0010,G4,oriented,320,140,25,80,60,50,25,1,LWH,车型1_008
G1_车型1_008_0001,G1,standard,0,0,85,60,40,30,12,1,LWH,车型1_008
G1_车型1_008_0002,G1,standard,60,0,85,60,40,30,12,1,LWH,车型1_008
G1_车型1_008_0003,G1,standard,120,0,85,60,40,30,12,1,LWH,车型1_008
G1_车型1_008_0004,G1,standard,180,0,85,60,40,30,12,1,LWH,车型1_008
G1_车型1_008_0005,G1,standard,240,0,85,60,40,30,12,1,LWH,车型1_008
G1_车型1_008_0006,G1,standard,300,0,85,60,40,30,12,1,LWH,车型1_008
G1_车型1_008_0007,G1,standard,360,0,85,60,40,30,12,1,LWH,车型1_008
G1_车型1_008_0008,G1,standard,0,40,85,60,40,30,12,1,LWH,车型1_008
G1_车型1_008_0009,G1,standard,60,40,85,60,40,30,12,1,LWH,车型1_008
G1_车型1_008_0010,G1,standard,120,40,85,60,40,30,12,1,LWH,车型1_008
G1_车型1_008_0011,G1,standard,180,40,85,60,40,30,12,1,LWH,车型1_008
G1_车型1_008_0012,G1,standard,240,40,85,60,40,30,12,1,LWH,车型1_008
G1_车型1_008_0013,G1,standard,300,40,85,60,40,30,12,1,LWH,车型1_008
G1_车型1_008_0014,G1,standard,360,40,85,60,40,30,12,1,LWH,车型1_008
G1_车型1_008_0015,G1,standard,0,80,85,60,40,30,12,1,LWH,车型1_008
G1_车型1_008_0016,G1,standard,60,80,85,60,40,30,12,1,LWH,车型1_008
G1_车型1_008_0017,G1,standard,120,80,85,60,40,30,12,1,LWH,车型1_008
G1_车型1_008_0018,G1,standard,180,80,85,60,40,30,12,1,LWH,车型1_008
G1_车型1_008_0019,G1,standard,240,80,85,60,40,30,12,1,LWH,车型1_008
G1_车型1_008_0020,G1,standard,300,80,85,60,40,30,12,1,LWH,车型1_008
G1_车型1_008_0021,G1,standard,360,80,85,60,40,30,12,1,LWH,车型1_008
G1_车型1_008_0022,G1,standard,0,120,85,60,40,30,12,1,LWH,车型1_008
G1_车型1_008_0023,G1,standard,60,120,85,60,40,30,12,1,LWH,车型1_008
G1_车型1_008_0024,G1,standard,120,120,85,60,40,30,12,1,LWH,车型1_008
G1_车型1_008_0025,G1,standard,180,120,85,60,40,30,12,1,LWH,车型1_008
