vehicle_id,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3
车型1_001,0.87777,0.3,0.715995,{'G3': 120},1800.0,16800000
车型1_002,0.911627,0.343,0.752412,"{'G3': 48, 'G4': 30, 'G1': 49}",2058.0,17448000
车型1_003,0.749201,0.2845,0.619084,"{'G5': 3, 'G3': 33, 'G2': 51, 'G4': 30}",1707.0,14339250
车型1_004,0.770283,0.297167,0.63781,"{'G5': 7, 'G3': 29, 'G2': 5, 'G4': 30, 'G1': 36}",1783.0,14742750
车型1_005,0.779883,0.347,0.658676,"{'G5': 28, 'G3': 33, 'G1': 23, 'G4': 15, 'G2': 54}",2082.0,14926500
车型1_006,0.797543,0.343333,0.670365,"{'G5': 28, 'G3': 21, 'G2': 14, 'G4': 25, 'G1': 42}",2060.0,15264500
车型1_007,0.771262,0.3435,0.651489,"{'G5': 34, 'G3': 16, 'G2': 58, 'G4': 25, 'G1': 10}",2061.0,14761500
车型1_008,0.824477,0.407333,0.707677,"{'G2': 48, 'G5': 40, 'G4': 20, 'G1': 70}",2444.0,15780000
车型1_009,0.791874,0.419667,0.687656,"{'G2': 144, 'G5': 20, 'G4': 10, 'G1': 63}",2518.0,15156000
车型1_010,0.737327,0.327,0.622436,"{'G5': 30, 'G4': 30, 'G1': 56}",1962.0,14112000
车型1_011,0.739208,0.337,0.62659,"{'G5': 40, 'G4': 30, 'G1': 14, 'G2': 48}",2022.0,14148000
车型1_012,0.754883,0.369333,0.646929,"{'G2': 96, 'G1': 49, 'G5': 20, 'G4': 20}",2216.0,14448000
车型1_013,0.800652,0.391333,0.686043,"{'G5': 30, 'G4': 20, 'G1': 77, 'G2': 48}",2348.0,15324000
车型1_014,0.739208,0.337,0.62659,"{'G5': 40, 'G4': 30, 'G1': 14, 'G2': 48}",2022.0,14148000
车型1_015,0.776827,0.375333,0.664409,"{'G2': 48, 'G1': 84, 'G5': 20, 'G4': 20}",2252.0,14868000
车型1_016,0.739208,0.337,0.62659,"{'G2': 48, 'G5': 40, 'G4': 30, 'G1': 14}",2022.0,14148000
车型1_017,0.754883,0.369333,0.646929,"{'G2': 96, 'G1': 49, 'G5': 20, 'G4': 20}",2216.0,14448000
车型1_018,0.764287,0.3845,0.657947,"{'G5': 30, 'G4': 15, 'G1': 84, 'G2': 48}",2307.0,14628000
车型1_019,0.846265,0.486,0.745391,"{'G5': 70, 'G2': 108, 'G1': 66}",2916.0,16197000
车型1_020,0.086863,0.050667,0.076728,{'G2': 38},304.0,1662500
