item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id,support_by,direct_supported_weight
G2_车型1_026_0001,G2,standard,0,0,0,50,35,25,8,1,LWH,车型1_026,,8.0
G5_车型1_026_0001,G5,oriented,0,35,0,40,40,60,18,1,LWH,车型1_026,,18.0
G3_车型1_026_0001,G3,fragile,0,75,0,40,70,50,15,5,HLW,车型1_026,,0.0
G3_车型1_026_0002,G3,fragile,0,145,0,40,50,70,15,6,HWL,车型1_026,,0.0
G2_车型1_026_0002,G2,standard,50,0,0,50,35,25,8,1,LWH,车型1_026,,8.0
G5_车型1_026_0002,G5,oriented,50,35,0,40,40,60,18,1,LWH,车型1_026,,18.0
G3_车型1_026_0003,G3,fragile,50,75,0,40,70,50,15,5,HLW,车型1_026,,0.0
G3_车型1_026_0004,G3,fragile,50,145,0,40,50,70,15,6,HWL,车型1_026,,0.0
G2_车型1_026_0003,G2,standard,100,0,0,50,35,25,8,1,LWH,车型1_026,,8.0
G5_车型1_026_0003,G5,oriented,100,35,0,40,40,60,18,1,LWH,车型1_026,,18.0
G3_车型1_026_0005,G3,fragile,100,75,0,40,70,50,15,5,HLW,车型1_026,,0.0
G3_车型1_026_0006,G3,fragile,100,145,0,40,50,70,15,6,HWL,车型1_026,,0.0
G2_车型1_026_0004,G2,standard,150,0,0,50,35,25,8,1,LWH,车型1_026,,8.0
G5_车型1_026_0004,G5,oriented,150,35,0,40,40,60,18,1,LWH,车型1_026,,18.0
G3_车型1_026_0007,G3,fragile,150,75,0,40,70,50,15,5,HLW,车型1_026,,0.0
G3_车型1_026_0008,G3,fragile,150,145,0,40,50,70,15,6,HWL,车型1_026,,0.0
G2_车型1_026_0005,G2,standard,200,0,0,50,35,25,8,1,LWH,车型1_026,,8.0
G5_车型1_026_0005,G5,oriented,200,35,0,40,40,60,18,1,LWH,车型1_026,,18.0
G3_车型1_026_0009,G3,fragile,200,75,0,40,70,50,15,5,HLW,车型1_026,,0.0
G3_车型1_026_0010,G3,fragile,200,145,0,40,50,70,15,6,HWL,车型1_026,,0.0
G2_车型1_026_0006,G2,standard,250,0,0,50,35,25,8,1,LWH,车型1_026,,8.0
G5_车型1_026_0006,G5,oriented,250,35,0,40,40,60,18,1,LWH,车型1_026,,18.0
G3_车型1_026_0011,G3,fragile,250,75,0,40,70,50,15,5,HLW,车型1_026,,0.0
G3_车型1_026_0012,G3,fragile,250,145,0,40,50,70,15,6,HWL,车型1_026,,0.0
G4_车型1_026_0001,G4,oriented,300,0,0,80,60,50,25,1,LWH,车型1_026,,25.0
G4_车型1_026_0002,G4,oriented,300,60,0,80,60,50,25,1,LWH,车型1_026,,25.0
G4_车型1_026_0003,G4,oriented,300,120,0,80,60,50,25,1,LWH,车型1_026,,25.0
G2_车型1_026_0007,G2,standard,300,180,0,50,25,35,8,2,LHW,车型1_026,,8.0
G5_车型1_026_0007,G5,oriented,380,0,0,40,40,60,18,1,LWH,车型1_026,,18.0
G5_车型1_026_0008,G5,oriented,380,40,0,40,40,60,18,1,LWH,车型1_026,,18.0
G3_车型1_026_0013,G3,fragile,380,80,0,40,70,50,15,5,HLW,车型1_026,,0.0
G3_车型1_026_0014,G3,fragile,380,150,0,40,50,70,15,6,HWL,车型1_026,,0.0
G5_车型1_026_0009,G5,oriented,380,0,60,40,40,60,18,1,LWH,车型1_026,G5_车型1_026_0007,18.0
G5_车型1_026_0010,G5,oriented,380,0,120,40,40,60,18,1,LWH,车型1_026,G5_车型1_026_0009,0.0
G5_车型1_026_0011,G5,oriented,0,35,60,40,40,60,18,1,LWH,车型1_026,G5_车型1_026_0001,18.0
G5_车型1_026_0012,G5,oriented,0,35,120,40,40,60,18,1,LWH,车型1_026,G5_车型1_026_0011,0.0
G5_车型1_026_0013,G5,oriented,50,35,60,40,40,60,18,1,LWH,车型1_026,G5_车型1_026_0002,18.0
G5_车型1_026_0014,G5,oriented,50,35,120,40,40,60,18,1,LWH,车型1_026,G5_车型1_026_0013,0.0
G5_车型1_026_0015,G5,oriented,100,35,60,40,40,60,18,1,LWH,车型1_026,G5_车型1_026_0003,18.0
G5_车型1_026_0016,G5,oriented,100,35,120,40,40,60,18,1,LWH,车型1_026,G5_车型1_026_0015,0.0
G5_车型1_026_0017,G5,oriented,150,35,60,40,40,60,18,1,LWH,车型1_026,G5_车型1_026_0004,18.0
G5_车型1_026_0018,G5,oriented,150,35,120,40,40,60,18,1,LWH,车型1_026,G5_车型1_026_0017,0.0
G5_车型1_026_0019,G5,oriented,200,35,60,40,40,60,18,1,LWH,车型1_026,G5_车型1_026_0005,18.0
G5_车型1_026_0020,G5,oriented,200,35,120,40,40,60,18,1,LWH,车型1_026,G5_车型1_026_0019,0.0
G5_车型1_026_0021,G5,oriented,250,35,60,40,40,60,18,1,LWH,车型1_026,G5_车型1_026_0006,18.0
G5_车型1_026_0022,G5,oriented,250,35,120,40,40,60,18,1,LWH,车型1_026,G5_车型1_026_0021,0.0
G5_车型1_026_0023,G5,oriented,380,40,60,40,40,60,18,1,LWH,车型1_026,G5_车型1_026_0008,18.0
G5_车型1_026_0024,G5,oriented,380,40,120,40,40,60,18,1,LWH,车型1_026,G5_车型1_026_0023,0.0
G4_车型1_026_0004,G4,oriented,300,0,50,80,60,50,25,1,LWH,车型1_026,G4_车型1_026_0001,25.0
G4_车型1_026_0005,G4,oriented,300,0,100,80,60,50,25,1,LWH,车型1_026,G4_车型1_026_0004,25.0
G4_车型1_026_0006,G4,oriented,300,0,150,80,60,50,25,1,LWH,车型1_026,G4_车型1_026_0005,0.0
G4_车型1_026_0007,G4,oriented,300,60,50,80,60,50,25,1,LWH,车型1_026,G4_车型1_026_0002,25.0
