vehicle_id,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3
车型1_001,0.846422,0.3,0.693423,"{'G4': 60, 'G1': 25}",1800.0,16200000
车型1_002,0.345256,0.16,0.293385,"{'G3': 22, 'G5': 21, 'G1': 21}",960.0,6608000
车型1_003,0.428148,0.1775,0.357967,"{'G2': 6, 'G3': 15, 'G1': 41, 'G4': 12}",1065.0,8194500
车型1_004,0.458452,0.199,0.385806,"{'G2': 6, 'G3': 14, 'G1': 35, 'G5': 12, 'G4': 12}",1194.0,8774500
车型1_005,0.402325,0.204333,0.346887,"{'G2': 31, 'G5': 27, 'G3': 16, 'G1': 21}",1226.0,7700250
车型1_006,0.345988,0.170667,0.296898,"{'G2': 8, 'G5': 24, 'G3': 16, 'G1': 24}",1024.0,6622000
车型1_007,0.413205,0.210667,0.356494,"{'G2': 14, 'G3': 12, 'G5': 18, 'G1': 54}",1264.0,7908500
车型1_008,0.555516,0.26,0.472772,"{'G2': 15, 'G3': 8, 'G5': 12, 'G1': 67, 'G4': 12}",1560.0,10632250
车型1_009,0.562727,0.266167,0.47969,"{'G2': 23, 'G3': 7, 'G1': 66, 'G5': 12, 'G4': 12}",1597.0,10770250
车型1_010,0.443026,0.233167,0.384265,"{'G2': 35, 'G3': 9, 'G5': 18, 'G1': 55}",1399.0,8479250
车型1_011,0.519426,0.243,0.442027,"{'G2': 42, 'G3': 8, 'G5': 9, 'G1': 45, 'G4': 12}",1458.0,9941500
车型1_012,0.552016,0.263833,0.471325,"{'G2': 43, 'G3': 7, 'G5': 15, 'G1': 47, 'G4': 12}",1583.0,10565250
车型1_013,0.592299,0.253833,0.497529,"{'G2': 31, 'G5': 15, 'G3': 7, 'G1': 25, 'G4': 24}",1523.0,11336250
车型1_014,0.456597,0.202667,0.385497,"{'G2': 20, 'G5': 21, 'G3': 14, 'G4': 12, 'G1': 14}",1216.0,8739000
车型1_015,0.546713,0.259333,0.466246,"{'G2': 49, 'G3': 8, 'G5': 12, 'G1': 44, 'G4': 12}",1556.0,10463750
车型1_016,0.464121,0.207667,0.392314,"{'G2': 20, 'G5': 24, 'G3': 14, 'G4': 12, 'G1': 12}",1246.0,8883000
车型1_017,0.548998,0.260667,0.468266,"{'G2': 50, 'G3': 8, 'G5': 12, 'G1': 44, 'G4': 12}",1564.0,10507500
车型1_018,0.507683,0.234667,0.431239,"{'G2': 29, 'G5': 24, 'G3': 12, 'G1': 22, 'G4': 12}",1408.0,9716750
车型1_019,0.52998,0.248167,0.451072,"{'G2': 50, 'G3': 9, 'G5': 9, 'G1': 41, 'G4': 12}",1489.0,10143500
车型1_020,0.537243,0.219333,0.448228,"{'G2': 22, 'G5': 15, 'G3': 10, 'G4': 24, 'G1': 10}",1316.0,10282500
车型1_021,0.459549,0.205,0.388276,"{'G2': 18, 'G5': 24, 'G3': 14, 'G4': 12, 'G1': 12}",1230.0,8795500
车型1_022,0.561159,0.269167,0.479401,"{'G2': 47, 'G3': 7, 'G5': 15, 'G1': 47, 'G4': 12}",1615.0,10740250
车型1_023,0.560963,0.267667,0.47884,"{'G2': 62, 'G3': 10, 'G5': 18, 'G1': 28, 'G4': 12}",1606.0,10736500
车型1_024,0.5682,0.239333,0.476117,"{'G2': 52, 'G5': 15, 'G3': 10, 'G4': 24}",1436.0,10875000
车型1_025,0.5682,0.239333,0.476117,"{'G2': 52, 'G5': 15, 'G3': 10, 'G4': 24}",1436.0,10875000
车型1_026,0.496698,0.229,0.421742,"{'G2': 54, 'G5': 24, 'G3': 14, 'G4': 12}",1374.0,9506500
车型1_027,0.5682,0.239333,0.476117,"{'G2': 52, 'G5': 15, 'G3': 10, 'G4': 24}",1436.0,10875000
车型1_028,0.585076,0.251167,0.491581,"{'G2': 56, 'G5': 18, 'G3': 9, 'G4': 24}",1507.0,11198000
车型1_029,0.589347,0.335333,0.518223,"{'G5': 56, 'G2': 113, 'G4': 4}",2012.0,11279750
