vehicle_id,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3
车型1_001,0.433869,0.1515,0.354806,"{'G3': 30, 'G4': 15, 'G1': 7}",909.0,8304000
车型1_002,0.433869,0.1515,0.354806,"{'G3': 30, 'G4': 15, 'G1': 7}",909.0,8304000
车型1_003,0.433869,0.1515,0.354806,"{'G3': 30, 'G4': 15, 'G1': 7}",909.0,8304000
车型1_004,0.433869,0.1515,0.354806,"{'G3': 30, 'G4': 15, 'G1': 7}",909.0,8304000
车型1_005,0.433869,0.1515,0.354806,"{'G3': 30, 'G4': 15, 'G1': 7}",909.0,8304000
车型1_006,0.433869,0.1515,0.354806,"{'G3': 30, 'G4': 15, 'G1': 7}",909.0,8304000
车型1_007,0.433869,0.1515,0.354806,"{'G3': 30, 'G4': 15, 'G1': 7}",909.0,8304000
车型1_008,0.433869,0.1515,0.354806,"{'G3': 30, 'G4': 15, 'G1': 7}",909.0,8304000
车型1_009,0.433869,0.1515,0.354806,"{'G3': 30, 'G4': 15, 'G1': 7}",909.0,8304000
车型1_010,0.433869,0.1515,0.354806,"{'G3': 30, 'G4': 15, 'G1': 7}",909.0,8304000
车型1_011,0.774946,0.2995,0.641821,"{'G4': 45, 'G1': 56}",1797.0,14832000
车型1_012,0.853945,0.306833,0.700754,"{'G4': 59, 'G5': 1, 'G1': 29}",1841.0,16344000
车型1_013,0.831374,0.3195,0.688049,"{'G4': 51, 'G1': 31, 'G5': 15}",1917.0,15912000
车型1_014,0.791012,0.292667,0.651475,"{'G4': 52, 'G2': 18, 'G1': 26}",1756.0,15139500
车型1_015,0.70138,0.301167,0.589321,"{'G2': 32, 'G4': 33, 'G1': 29, 'G5': 21}",1807.0,13424000
车型1_016,0.603637,0.316,0.523099,"{'G2': 43, 'G4': 10, 'G1': 41, 'G5': 45}",1896.0,11553250
车型1_017,0.364627,0.202,0.319092,"{'G2': 69, 'G1': 55}",1212.0,6978750
车型1_018,0.516147,0.295667,0.454413,"{'G2': 53, 'G1': 45, 'G5': 45}",1774.0,9878750
车型1_019,0.516147,0.295667,0.454413,"{'G2': 53, 'G1': 45, 'G5': 45}",1774.0,9878750
车型1_020,0.360199,0.2,0.315344,"{'G2': 72, 'G1': 52}",1200.0,6894000
车型1_021,0.516147,0.295667,0.454413,"{'G2': 53, 'G1': 45, 'G5': 45}",1774.0,9878750
车型1_022,0.516147,0.295667,0.454413,"{'G2': 53, 'G1': 45, 'G5': 45}",1774.0,9878750
车型1_023,0.360199,0.2,0.315344,"{'G2': 72, 'G1': 52}",1200.0,6894000
车型1_024,0.516147,0.295667,0.454413,"{'G2': 53, 'G1': 45, 'G5': 45}",1774.0,9878750
车型1_025,0.516147,0.295667,0.454413,"{'G2': 53, 'G1': 45, 'G5': 45}",1774.0,9878750
车型1_026,0.361675,0.200667,0.316593,"{'G2': 71, 'G1': 53}",1204.0,6922250
车型1_027,0.523436,0.301667,0.461341,"{'G2': 71, 'G1': 36, 'G5': 45}",1810.0,10018250
车型1_028,0.579955,0.342,0.513328,"{'G2': 144, 'G5': 50}",2052.0,11100000
车型1_029,0.456519,0.27,0.404294,"{'G5': 50, 'G2': 90}",1620.0,8737500
车型1_030,0.015047,0.009,0.013354,{'G5': 3},54.0,288000
