item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id
G4_007_0001,G4,oriented,0,0,0,80,60,50,25,1,LWH,车型2_007
G4_007_0002,G4,oriented,80,0,0,80,60,50,25,1,LWH,车型2_007
G4_007_0003,G4,oriented,160,0,0,80,60,50,25,1,LWH,车型2_007
G4_007_0004,G4,oriented,240,0,0,80,60,50,25,1,LWH,车型2_007
G4_007_0005,G4,oriented,320,0,0,80,60,50,25,1,LWH,车型2_007
G4_007_0006,G4,oriented,400,0,0,80,60,50,25,1,LWH,车型2_007
G4_007_0007,G4,oriented,480,0,0,80,60,50,25,1,LWH,车型2_007
G4_007_0008,G4,oriented,560,0,0,80,60,50,25,1,LWH,车型2_007
G1_007_0001,G1,standard,640,0,0,40,60,30,12,3,WLH,车型2_007
G4_007_0009,G4,oriented,0,60,0,80,60,50,25,1,LWH,车型2_007
G4_007_0010,G4,oriented,80,60,0,80,60,50,25,1,LWH,车型2_007
G4_007_0011,G4,oriented,160,60,0,80,60,50,25,1,LWH,车型2_007
G4_007_0012,G4,oriented,240,60,0,80,60,50,25,1,LWH,车型2_007
G4_007_0013,G4,oriented,320,60,0,80,60,50,25,1,LWH,车型2_007
G4_007_0014,G4,oriented,400,60,0,80,60,50,25,1,LWH,车型2_007
G4_007_0015,G4,oriented,480,60,0,80,60,50,25,1,LWH,车型2_007
G4_007_0016,G4,oriented,560,60,0,80,60,50,25,1,LWH,车型2_007
G1_007_0002,G1,standard,640,60,0,40,60,30,12,3,WLH,车型2_007
G4_007_0017,G4,oriented,0,120,0,80,60,50,25,1,LWH,车型2_007
G4_007_0018,G4,oriented,80,120,0,80,60,50,25,1,LWH,车型2_007
G4_007_0019,G4,oriented,160,120,0,80,60,50,25,1,LWH,车型2_007
G4_007_0020,G4,oriented,240,120,0,80,60,50,25,1,LWH,车型2_007
G4_007_0021,G4,oriented,320,120,0,80,60,50,25,1,LWH,车型2_007
G4_007_0022,G4,oriented,400,120,0,80,60,50,25,1,LWH,车型2_007
G4_007_0023,G4,oriented,480,120,0,80,60,50,25,1,LWH,车型2_007
G4_007_0024,G4,oriented,560,120,0,80,60,50,25,1,LWH,车型2_007
G1_007_0003,G1,standard,640,120,0,40,60,30,12,3,WLH,车型2_007
G4_007_0025,G4,oriented,0,180,0,80,60,50,25,1,LWH,车型2_007
G4_007_0026,G4,oriented,80,180,0,80,60,50,25,1,LWH,车型2_007
G4_007_0027,G4,oriented,160,180,0,80,60,50,25,1,LWH,车型2_007
G4_007_0028,G4,oriented,240,180,0,80,60,50,25,1,LWH,车型2_007
G4_007_0029,G4,oriented,320,180,0,80,60,50,25,1,LWH,车型2_007
G4_007_0030,G4,oriented,400,180,0,80,60,50,25,1,LWH,车型2_007
G4_007_0031,G4,oriented,480,180,0,80,60,50,25,1,LWH,车型2_007
G4_007_0032,G4,oriented,560,180,0,80,60,50,25,1,LWH,车型2_007
G1_007_0004,G1,standard,640,180,0,40,60,30,12,3,WLH,车型2_007
G4_007_0033,G4,oriented,0,0,60,80,60,50,25,1,LWH,车型2_007
G4_007_0034,G4,oriented,80,0,60,80,60,50,25,1,LWH,车型2_007
G4_007_0035,G4,oriented,160,0,60,80,60,50,25,1,LWH,车型2_007
G4_007_0036,G4,oriented,240,0,60,80,60,50,25,1,LWH,车型2_007
G4_007_0037,G4,oriented,320,0,60,80,60,50,25,1,LWH,车型2_007
G4_007_0038,G4,oriented,400,0,60,80,60,50,25,1,LWH,车型2_007
G4_007_0039,G4,oriented,480,0,60,80,60,50,25,1,LWH,车型2_007
G4_007_0040,G4,oriented,560,0,60,80,60,50,25,1,LWH,车型2_007
G1_007_0005,G1,standard,640,0,60,40,60,30,12,3,WLH,车型2_007
G4_007_0041,G4,oriented,0,60,60,80,60,50,25,1,LWH,车型2_007
G4_007_0042,G4,oriented,80,60,60,80,60,50,25,1,LWH,车型2_007
G4_007_0043,G4,oriented,160,60,60,80,60,50,25,1,LWH,车型2_007
G4_007_0044,G4,oriented,240,60,60,80,60,50,25,1,LWH,车型2_007
G4_007_0045,G4,oriented,320,60,60,80,60,50,25,1,LWH,车型2_007
G4_007_0046,G4,oriented,400,60,60,80,60,50,25,1,LWH,车型2_007
G4_007_0047,G4,oriented,480,60,60,80,60,50,25,1,LWH,车型2_007
G4_007_0048,G4,oriented,560,60,60,80,60,50,25,1,LWH,车型2_007
G1_007_0006,G1,standard,640,60,60,40,60,30,12,3,WLH,车型2_007
G4_007_0049,G4,oriented,0,120,60,80,60,50,25,1,LWH,车型2_007
G4_007_0050,G4,oriented,80,120,60,80,60,50,25,1,LWH,车型2_007
G4_007_0051,G4,oriented,160,120,60,80,60,50,25,1,LWH,车型2_007
G4_007_0052,G4,oriented,240,120,60,80,60,50,25,1,LWH,车型2_007
G4_007_0053,G4,oriented,320,120,60,80,60,50,25,1,LWH,车型2_007
G4_007_0054,G4,oriented,400,120,60,80,60,50,25,1,LWH,车型2_007
G4_007_0055,G4,oriented,480,120,60,80,60,50,25,1,LWH,车型2_007
G4_007_0056,G4,oriented,560,120,60,80,60,50,25,1,LWH,车型2_007
G1_007_0007,G1,standard,640,120,60,40,60,30,12,3,WLH,车型2_007
G4_007_0057,G4,oriented,0,180,60,80,60,50,25,1,LWH,车型2_007
