vehicle_id,space_utilization,weight_utilization,fullness_score,target_counts,actual_counts,loaded_weight_kg,loaded_volume_cm3,feasible_full_pack,policy_desc
车型1_001,0.549678,0.221667,0.457835,"{'G3': 25, 'G4': 15, 'G5': 0, 'G1': 39, 'G2': 14}","{'G3': 25, 'G1': 39, 'G4': 15, 'G2': 14}",1330.0,10520500,True,g3_ratio=0.31;order=G2-G4-G5-G1;wf=0.45;wr=0.22;wv=0.33;row=0;relax=0
车型1_002,0.515377,0.2055,0.428611,"{'G3': 24, 'G4': 15, 'G5': 7, 'G1': 31, 'G2': 0}","{'G3': 24, 'G1': 31, 'G4': 15, 'G5': 7}",1233.0,9864000,True,g3_ratio=0.28;order=G5-G1-G2-G4;wf=0.46;wr=0.52;wv=0.02;row=1;relax=0
车型1_003,0.495274,0.197,0.411757,"{'G3': 21, 'G4': 15, 'G5': 0, 'G1': 39, 'G2': 3}","{'G3': 21, 'G1': 39, 'G4': 15, 'G2': 3}",1182.0,9479250,True,g3_ratio=0.36;order=G5-G1-G2-G4;wf=0.36;wr=0.29;wv=0.36;row=2;relax=0
车型1_004,0.502171,0.1965,0.416583,"{'G3': 24, 'G4': 15, 'G5': 0, 'G1': 35, 'G2': 3}","{'G3': 24, 'G2': 3, 'G1': 35, 'G4': 15}",1179.0,9611250,True,g3_ratio=0.28;order=G5-G1-G2-G4;wf=0.46;wr=0.52;wv=0.02;row=1;relax=0
车型1_005,0.502171,0.1965,0.416583,"{'G3': 24, 'G4': 15, 'G5': 0, 'G1': 35, 'G2': 3}","{'G3': 24, 'G2': 3, 'G1': 35, 'G4': 15}",1179.0,9611250,True,g3_ratio=0.28;order=G5-G1-G2-G4;wf=0.46;wr=0.52;wv=0.02;row=1;relax=0
车型1_006,0.502171,0.1965,0.416583,"{'G3': 24, 'G4': 15, 'G5': 0, 'G1': 35, 'G2': 3}","{'G3': 24, 'G2': 3, 'G1': 35, 'G4': 15}",1179.0,9611250,True,g3_ratio=0.28;order=G5-G1-G2-G4;wf=0.46;wr=0.52;wv=0.02;row=1;relax=0
车型1_007,0.502171,0.1965,0.416583,"{'G3': 24, 'G4': 15, 'G5': 0, 'G1': 35, 'G2': 3}","{'G3': 24, 'G2': 3, 'G1': 35, 'G4': 15}",1179.0,9611250,True,g3_ratio=0.28;order=G5-G1-G2-G4;wf=0.46;wr=0.52;wv=0.02;row=1;relax=0
车型1_008,0.511458,0.2025,0.42495,"{'G3': 24, 'G4': 15, 'G5': 0, 'G1': 32, 'G2': 12}","{'G3': 24, 'G1': 32, 'G4': 15, 'G2': 12}",1215.0,9789000,True,g3_ratio=0.31;order=G1-G2-G4-G5;wf=0.01;wr=0.51;wv=0.48;row=0;relax=0
车型1_009,0.502315,0.197167,0.416873,"{'G3': 24, 'G4': 15, 'G5': 0, 'G1': 32, 'G2': 8}","{'G3': 24, 'G1': 32, 'G4': 15, 'G2': 8}",1183.0,9614000,True,g3_ratio=0.41;order=G1-G2-G5-G4;wf=0.05;wr=0.55;wv=0.40;row=2;relax=0
车型1_010,0.501165,0.193333,0.414972,"{'G3': 27, 'G4': 15, 'G5': 0, 'G1': 21, 'G2': 16}","{'G3': 27, 'G4': 15, 'G1': 21, 'G2': 16}",1160.0,9592000,True,g3_ratio=0.50;order=G1-G5-G2-G4;wf=0.47;wr=0.05;wv=0.48;row=2;relax=0
车型1_011,0.482173,0.187167,0.399571,"{'G3': 24, 'G4': 15, 'G5': 0, 'G1': 23, 'G2': 14}","{'G3': 24, 'G4': 15, 'G1': 23, 'G2': 14}",1123.0,9228500,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_012,0.477745,0.185167,0.395823,"{'G3': 24, 'G4': 15, 'G5': 0, 'G1': 20, 'G2': 17}","{'G3': 24, 'G4': 15, 'G1': 20, 'G2': 17}",1111.0,9143750,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_013,0.546935,0.2045,0.451053,"{'G3': 11, 'G4': 30, 'G5': 12, 'G1': 8, 'G2': 0}","{'G3': 11, 'G4': 30, 'G5': 12, 'G1': 8}",1227.0,10468000,True,g3_ratio=0.93;order=G4-G2-G1-G5;wf=0.32;wr=0.14;wv=0.54;row=2;relax=0
