item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id
G5_012_0001,G5,oriented,0,0,0,40,40,60,18,1,LWH,车型2_012
G5_012_0002,G5,oriented,40,0,0,40,40,60,18,1,LWH,车型2_012
G5_012_0003,G5,oriented,80,0,0,40,40,60,18,1,LWH,车型2_012
G5_012_0004,G5,oriented,120,0,0,40,40,60,18,1,LWH,车型2_012
G5_012_0005,G5,oriented,160,0,0,40,40,60,18,1,LWH,车型2_012
G5_012_0006,G5,oriented,200,0,0,40,40,60,18,1,LWH,车型2_012
G5_012_0007,G5,oriented,240,0,0,40,40,60,18,1,LWH,车型2_012
G5_012_0008,G5,oriented,280,0,0,40,40,60,18,1,LWH,车型2_012
G5_012_0009,G5,oriented,320,0,0,40,40,60,18,1,LWH,车型2_012
G5_012_0010,G5,oriented,360,0,0,40,40,60,18,1,LWH,车型2_012
G5_012_0011,G5,oriented,400,0,0,40,40,60,18,1,LWH,车型2_012
G5_012_0012,G5,oriented,440,0,0,40,40,60,18,1,LWH,车型2_012
G5_012_0013,G5,oriented,480,0,0,40,40,60,18,1,LWH,车型2_012
G5_012_0014,G5,oriented,520,0,0,40,40,60,18,1,LWH,车型2_012
G1_012_0001,G1,standard,560,0,0,60,40,30,12,1,LWH,车型2_012
G1_012_0002,G1,standard,620,0,0,60,40,30,12,1,LWH,车型2_012
G5_012_0015,G5,oriented,0,40,0,40,40,60,18,1,LWH,车型2_012
G5_012_0016,G5,oriented,40,40,0,40,40,60,18,1,LWH,车型2_012
G5_012_0017,G5,oriented,80,40,0,40,40,60,18,1,LWH,车型2_012
G5_012_0018,G5,oriented,120,40,0,40,40,60,18,1,LWH,车型2_012
G5_012_0019,G5,oriented,160,40,0,40,40,60,18,1,LWH,车型2_012
G5_012_0020,G5,oriented,200,40,0,40,40,60,18,1,LWH,车型2_012
G5_012_0021,G5,oriented,240,40,0,40,40,60,18,1,LWH,车型2_012
G5_012_0022,G5,oriented,280,40,0,40,40,60,18,1,LWH,车型2_012
G5_012_0023,G5,oriented,320,40,0,40,40,60,18,1,LWH,车型2_012
G5_012_0024,G5,oriented,360,40,0,40,40,60,18,1,LWH,车型2_012
G5_012_0025,G5,oriented,400,40,0,40,40,60,18,1,LWH,车型2_012
G5_012_0026,G5,oriented,440,40,0,40,40,60,18,1,LWH,车型2_012
G1_012_0003,G1,standard,480,40,0,60,40,30,12,1,LWH,车型2_012
G1_012_0004,G1,standard,540,40,0,60,40,30,12,1,LWH,车型2_012
G1_012_0005,G1,standard,600,40,0,60,40,30,12,1,LWH,车型2_012
G5_012_0027,G5,oriented,0,80,0,40,40,60,18,1,LWH,车型2_012
G5_012_0028,G5,oriented,40,80,0,40,40,60,18,1,LWH,车型2_012
G5_012_0029,G5,oriented,80,80,0,40,40,60,18,1,LWH,车型2_012
G5_012_0030,G5,oriented,120,80,0,40,40,60,18,1,LWH,车型2_012
G5_012_0031,G5,oriented,160,80,0,40,40,60,18,1,LWH,车型2_012
G5_012_0032,G5,oriented,200,80,0,40,40,60,18,1,LWH,车型2_012
G5_012_0033,G5,oriented,240,80,0,40,40,60,18,1,LWH,车型2_012
G5_012_0034,G5,oriented,280,80,0,40,40,60,18,1,LWH,车型2_012
G5_012_0035,G5,oriented,320,80,0,40,40,60,18,1,LWH,车型2_012
G5_012_0036,G5,oriented,360,80,0,40,40,60,18,1,LWH,车型2_012
G1_012_0006,G1,standard,400,80,0,60,40,30,12,1,LWH,车型2_012
G1_012_0007,G1,standard,460,80,0,60,40,30,12,1,LWH,车型2_012
G1_012_0008,G1,standard,520,80,0,60,40,30,12,1,LWH,车型2_012
G1_012_0009,G1,standard,580,80,0,60,40,30,12,1,LWH,车型2_012
G1_012_0010,G1,standard,640,80,0,40,60,30,12,3,WLH,车型2_012
