vehicle_id,space_utilization,weight_utilization,fullness_score,target_counts,actual_counts,loaded_weight_kg,loaded_volume_cm3,feasible_full_pack,policy_desc
车型2_001,0.517324,0.2934,0.454626,"{'G3': 58, 'G4': 16, 'G5': 32, 'G1': 48, 'G2': 64}","{'G3': 58, 'G1': 48, 'G4': 16, 'G2': 64, 'G5': 32}",2934.0,21288000,True,g3_ratio=0.52;order=G1-G4-G5-G2;wf=0.45;wr=0.45;wv=0.10;row=0;relax=0
车型2_002,0.482653,0.278,0.42535,"{'G3': 48, 'G4': 16, 'G5': 34, 'G1': 48, 'G2': 59}","{'G3': 48, 'G4': 16, 'G1': 48, 'G5': 34, 'G2': 59}",2780.0,19861250,True,g3_ratio=0.26;order=G4-G2-G1-G5;wf=0.55;wr=0.35;wv=0.11;row=2;relax=0
车型2_003,0.482653,0.278,0.42535,"{'G3': 48, 'G4': 16, 'G5': 34, 'G1': 48, 'G2': 59}","{'G3': 48, 'G4': 16, 'G1': 48, 'G5': 34, 'G2': 59}",2780.0,19861250,True,g3_ratio=0.26;order=G4-G2-G1-G5;wf=0.55;wr=0.35;wv=0.11;row=2;relax=0
车型2_004,0.482653,0.278,0.42535,"{'G3': 48, 'G4': 16, 'G5': 34, 'G1': 48, 'G2': 59}","{'G3': 48, 'G4': 16, 'G1': 48, 'G5': 34, 'G2': 59}",2780.0,19861250,True,g3_ratio=0.26;order=G4-G2-G1-G5;wf=0.55;wr=0.35;wv=0.11;row=2;relax=0
车型2_005,0.482653,0.278,0.42535,"{'G3': 48, 'G4': 16, 'G5': 34, 'G1': 48, 'G2': 59}","{'G3': 48, 'G4': 16, 'G1': 48, 'G5': 34, 'G2': 59}",2780.0,19861250,True,g3_ratio=0.26;order=G4-G2-G1-G5;wf=0.55;wr=0.35;wv=0.11;row=2;relax=0
车型2_006,0.448935,0.264,0.397153,"{'G3': 38, 'G4': 16, 'G5': 33, 'G1': 41, 'G2': 73}","{'G3': 38, 'G4': 16, 'G1': 41, 'G5': 33, 'G2': 73}",2640.0,18473750,True,g3_ratio=0.29;order=G5-G1-G2-G4;wf=0.54;wr=0.36;wv=0.10;row=2;relax=0
车型2_007,0.677008,0.314,0.575366,"{'G3': 12, 'G4': 96, 'G5': 0, 'G1': 12, 'G2': 52}","{'G3': 12, 'G4': 96, 'G1': 12, 'G2': 52}",3140.0,27859000,True,g3_ratio=1.00;order=G2-G4-G1-G5;wf=0.20;wr=0.39;wv=0.41;row=0;relax=0
车型2_008,0.774528,0.3392,0.652636,"{'G3': 0, 'G4': 128, 'G5': 0, 'G1': 16, 'G2': 0}","{'G4': 128, 'G1': 16}",3392.0,31872000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_009,0.750033,0.416,0.656504,"{'G3': 0, 'G4': 80, 'G5': 108, 'G1': 18, 'G2': 0}","{'G4': 80, 'G1': 18, 'G5': 108}",4160.0,30864000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_010,0.444257,0.3168,0.408569,"{'G3': 0, 'G4': 0, 'G5': 0, 'G1': 150, 'G2': 171}","{'G1': 150, 'G2': 171}",3168.0,18281250,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_011,0.45374,0.3332,0.419989,"{'G3': 0, 'G4': 0, 'G5': 64, 'G1': 95, 'G2': 130}","{'G5': 64, 'G1': 95, 'G2': 130}",3332.0,18671500,True,g3_ratio=0.39;order=G4-G5-G1-G2;wf=0.32;wr=0.26;wv=0.42;row=0;relax=0
车型2_012,0.484615,0.3548,0.448267,"{'G3': 0, 'G4': 0, 'G5': 64, 'G1': 109, 'G2': 136}","{'G5': 64, 'G1': 109, 'G2': 136}",3548.0,19942000,True,g3_ratio=0.33;order=G1-G5-G4-G2;wf=0.39;wr=0.41;wv=0.20;row=2;relax=1
车型2_013,0.501905,0.3666,0.46402,"{'G3': 0, 'G4': 0, 'G5': 63, 'G1': 119, 'G2': 138}","{'G5': 63, 'G1': 119, 'G2': 138}",3666.0,20653500,True,g3_ratio=0.89;order=G5-G1-G2-G4;wf=0.51;wr=0.25;wv=0.24;row=2;relax=0
