item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id
G3_006_0001,G3,fragile,0,0,0,50,40,70,15,4,WHL,车型1_006
G3_006_0002,G3,fragile,50,0,0,50,40,70,15,4,WHL,车型1_006
G3_006_0003,G3,fragile,100,0,0,50,40,70,15,4,WHL,车型1_006
G3_006_0004,G3,fragile,150,0,0,50,40,70,15,4,WHL,车型1_006
G3_006_0005,G3,fragile,200,0,0,50,40,70,15,4,WHL,车型1_006
G3_006_0006,G3,fragile,250,0,0,50,40,70,15,4,WHL,车型1_006
G3_006_0007,G3,fragile,300,0,0,50,40,70,15,4,WHL,车型1_006
G3_006_0008,G3,fragile,350,0,0,50,40,70,15,4,WHL,车型1_006
G3_006_0009,G3,fragile,0,40,0,50,40,70,15,4,WHL,车型1_006
G3_006_0010,G3,fragile,50,40,0,50,40,70,15,4,WHL,车型1_006
G3_006_0011,G3,fragile,100,40,0,50,40,70,15,4,WHL,车型1_006
G3_006_0012,G3,fragile,150,40,0,50,40,70,15,4,WHL,车型1_006
G3_006_0013,G3,fragile,200,40,0,50,40,70,15,4,WHL,车型1_006
G3_006_0014,G3,fragile,250,40,0,50,40,70,15,4,WHL,车型1_006
G3_006_0015,G3,fragile,300,40,0,50,40,70,15,4,WHL,车型1_006
G3_006_0016,G3,fragile,350,40,0,50,40,70,15,4,WHL,车型1_006
G3_006_0017,G3,fragile,0,80,0,50,40,70,15,4,WHL,车型1_006
G3_006_0018,G3,fragile,50,80,0,50,40,70,15,4,WHL,车型1_006
G3_006_0019,G3,fragile,100,80,0,50,40,70,15,4,WHL,车型1_006
G3_006_0020,G3,fragile,150,80,0,50,40,70,15,4,WHL,车型1_006
G3_006_0021,G3,fragile,200,80,0,50,40,70,15,4,WHL,车型1_006
G3_006_0022,G3,fragile,250,80,0,50,40,70,15,4,WHL,车型1_006
G3_006_0023,G3,fragile,300,80,0,50,40,70,15,4,WHL,车型1_006
G3_006_0024,G3,fragile,350,80,0,50,40,70,15,4,WHL,车型1_006
G4_006_0001,G4,oriented,0,120,0,80,60,50,25,1,LWH,车型1_006
