vehicle_id,space_utilization,weight_utilization,fullness_score,target_counts,actual_counts,loaded_weight_kg,loaded_volume_cm3,feasible_full_pack
车型1_001,0.495313,0.1925,0.410526,"{'G3': 24, 'G4': 15, 'G5': 0, 'G1': 35, 'G2': 0}","{'G3': 24, 'G4': 15, 'G1': 35}",1155.0,9480000,True
车型1_002,0.495313,0.1925,0.410526,"{'G3': 24, 'G4': 15, 'G5': 0, 'G1': 35, 'G2': 0}","{'G3': 24, 'G4': 15, 'G1': 35}",1155.0,9480000,True
车型1_003,0.495313,0.1925,0.410526,"{'G3': 24, 'G4': 15, 'G5': 0, 'G1': 35, 'G2': 0}","{'G3': 24, 'G4': 15, 'G1': 35}",1155.0,9480000,True
车型1_004,0.495313,0.1925,0.410526,"{'G3': 24, 'G4': 15, 'G5': 0, 'G1': 35, 'G2': 0}","{'G3': 24, 'G4': 15, 'G1': 35}",1155.0,9480000,True
车型1_005,0.495313,0.1925,0.410526,"{'G3': 24, 'G4': 15, 'G5': 0, 'G1': 35, 'G2': 0}","{'G3': 24, 'G4': 15, 'G1': 35}",1155.0,9480000,True
车型1_006,0.495313,0.1925,0.410526,"{'G3': 24, 'G4': 15, 'G5': 0, 'G1': 35, 'G2': 0}","{'G3': 24, 'G4': 15, 'G1': 35}",1155.0,9480000,True
车型1_007,0.495313,0.1925,0.410526,"{'G3': 24, 'G4': 15, 'G5': 0, 'G1': 35, 'G2': 0}","{'G3': 24, 'G4': 15, 'G1': 35}",1155.0,9480000,True
车型1_008,0.495313,0.1925,0.410526,"{'G3': 24, 'G4': 15, 'G5': 0, 'G1': 35, 'G2': 0}","{'G3': 24, 'G4': 15, 'G1': 35}",1155.0,9480000,True
车型1_009,0.490885,0.1905,0.406777,"{'G3': 24, 'G4': 15, 'G5': 0, 'G1': 32, 'G2': 3}","{'G3': 24, 'G4': 15, 'G1': 32, 'G2': 3}",1143.0,9395250,True
车型1_010,0.485125,0.1885,0.40207,"{'G3': 24, 'G4': 15, 'G5': 0, 'G1': 25, 'G2': 12}","{'G3': 24, 'G4': 15, 'G1': 25, 'G2': 12}",1131.0,9285000,True
车型1_011,0.482173,0.187167,0.399571,"{'G3': 24, 'G4': 15, 'G5': 0, 'G1': 23, 'G2': 14}","{'G3': 24, 'G4': 15, 'G1': 23, 'G2': 14}",1123.0,9228500,True
车型1_012,0.477745,0.185167,0.395823,"{'G3': 24, 'G4': 15, 'G5': 0, 'G1': 20, 'G2': 17}","{'G3': 24, 'G4': 15, 'G2': 17, 'G1': 20}",1111.0,9143750,True
车型1_013,0.512346,0.181667,0.419756,"{'G3': 12, 'G4': 30, 'G5': 0, 'G1': 8, 'G2': 8}","{'G3': 12, 'G4': 30, 'G2': 8, 'G1': 8}",1090.0,9806000,True
车型1_014,0.722332,0.274833,0.597032,"{'G3': 0, 'G4': 45, 'G5': 0, 'G1': 25, 'G2': 28}","{'G4': 45, 'G2': 28, 'G1': 25}",1649.0,13825000,True
车型1_015,0.720856,0.274167,0.595783,"{'G3': 0, 'G4': 45, 'G5': 0, 'G1': 24, 'G2': 29}","{'G4': 45, 'G2': 29, 'G1': 24}",1645.0,13796750,True
车型1_016,0.720856,0.274167,0.595783,"{'G3': 0, 'G4': 45, 'G5': 0, 'G1': 24, 'G2': 29}","{'G4': 45, 'G2': 29, 'G1': 24}",1645.0,13796750,True
车型1_017,0.720856,0.274167,0.595783,"{'G3': 0, 'G4': 45, 'G5': 0, 'G1': 24, 'G2': 29}","{'G4': 45, 'G2': 29, 'G1': 24}",1645.0,13796750,True
车型1_018,0.808711,0.446333,0.707246,"{'G3': 0, 'G4': 10, 'G5': 116, 'G1': 13, 'G2': 23}","{'G4': 10, 'G5': 116, 'G1': 13, 'G2': 23}",2678.0,15478250,True
车型1_019,0.524781,0.3,0.461843,"{'G3': 0, 'G4': 0, 'G5': 46, 'G1': 49, 'G2': 48}","{'G2': 48, 'G1': 49, 'G5': 46}",1800.0,10044000,True
车型1_020,0.366103,0.202667,0.320341,"{'G3': 0, 'G4': 0, 'G5': 0, 'G1': 56, 'G2': 68}","{'G2': 68, 'G1': 56}",1216.0,7007000,True
车型1_021,0.520353,0.298,0.458094,"{'G3': 0, 'G4': 0, 'G5': 46, 'G1': 46, 'G2': 51}","{'G2': 51, 'G1': 46, 'G5': 46}",1788.0,9959250,True
车型1_022,0.366103,0.202667,0.320341,"{'G3': 0, 'G4': 0, 'G5': 0, 'G1': 56, 'G2': 68}","{'G2': 68, 'G1': 56}",1216.0,7007000,True
车型1_023,0.521607,0.299,0.459277,"{'G3': 0, 'G4': 0, 'G5': 47, 'G1': 45, 'G2': 51}","{'G5': 47, 'G1': 45, 'G2': 51}",1794.0,9983250,True
车型1_024,0.518877,0.297333,0.456845,"{'G3': 0, 'G4': 0, 'G5': 46, 'G1': 45, 'G2': 52}","{'G2': 52, 'G1': 45, 'G5': 46}",1784.0,9931000,True
车型1_025,0.569049,0.334667,0.503422,"{'G3': 0, 'G4': 0, 'G5': 50, 'G1': 5, 'G2': 131}","{'G2': 131, 'G1': 5, 'G5': 50}",2008.0,10891250,True
车型1_026,0.579955,0.342,0.513328,"{'G3': 0, 'G4': 0, 'G5': 50, 'G1': 0, 'G2': 144}","{'G2': 144, 'G5': 50}",2052.0,11100000,True
车型1_027,0.579955,0.342,0.513328,"{'G3': 0, 'G4': 0, 'G5': 50, 'G1': 0, 'G2': 144}","{'G5': 50, 'G2': 144}",2052.0,11100000,True
车型1_028,0.362355,0.215,0.321095,"{'G3': 0, 'G4': 0, 'G5': 49, 'G1': 0, 'G2': 51}","{'G5': 49, 'G2': 51}",1290.0,6935250,True
