truck_id,truck_type,truck_cost,item_count,used_weight,used_volume,space_utilization,weight_utilization,type_counts
T001,车型1,450.0,85,1800.0,16200000,0.846422,0.3,"{'G4': 60, 'G1': 25}"
T002,车型1,450.0,85,1800.0,16200000,0.846422,0.3,"{'G4': 60, 'G1': 25}"
T003,车型1,450.0,85,1800.0,16200000,0.846422,0.3,"{'G4': 60, 'G1': 25}"
T004,车型1,450.0,85,1800.0,16200000,0.846422,0.3,"{'G4': 60, 'G1': 25}"
T005,车型1,450.0,85,1800.0,16200000,0.846422,0.3,"{'G4': 60, 'G1': 25}"
T006,车型1,450.0,85,1800.0,16200000,0.846422,0.3,"{'G4': 60, 'G1': 25}"
T007,车型1,450.0,109,2116.0,15720000,0.821342,0.352667,"{'G4': 40, 'G5': 48, 'G1': 21}"
T008,车型1,450.0,150,2700.0,14400000,0.752375,0.45,{'G5': 150}
T009,车型1,450.0,150,2700.0,14400000,0.752375,0.45,{'G5': 150}
T010,车型1,450.0,150,2700.0,14400000,0.752375,0.45,{'G5': 150}
T011,车型1,450.0,25,381.0,3412000,0.178271,0.0635,"{'G5': 2, 'G3': 23}"
T012,车型1,450.0,24,360.0,3360000,0.175554,0.06,{'G3': 24}
T013,车型1,450.0,24,360.0,3360000,0.175554,0.06,{'G3': 24}
T014,车型1,450.0,24,360.0,3360000,0.175554,0.06,{'G3': 24}
T015,车型1,450.0,24,360.0,3360000,0.175554,0.06,{'G3': 24}
T016,车型1,450.0,24,360.0,3360000,0.175554,0.06,{'G3': 24}
T017,车型1,450.0,24,360.0,3360000,0.175554,0.06,{'G3': 24}
T018,车型1,450.0,24,360.0,3360000,0.175554,0.06,{'G3': 24}
T019,车型1,450.0,24,360.0,3360000,0.175554,0.06,{'G3': 24}
T020,车型1,450.0,24,360.0,3360000,0.175554,0.06,{'G3': 24}
T021,车型1,450.0,24,360.0,3360000,0.175554,0.06,{'G3': 24}
T022,车型1,450.0,24,360.0,3360000,0.175554,0.06,{'G3': 24}
T023,车型1,450.0,106,1311.0,8516000,0.444946,0.2185,"{'G3': 13, 'G1': 93}"
T024,车型1,450.0,245,2940.0,17640000,0.921659,0.49,{'G1': 245}
T025,车型1,450.0,245,2940.0,17640000,0.921659,0.49,{'G1': 245}
T026,车型1,450.0,367,3120.0,17355750,0.906807,0.52,"{'G1': 46, 'G2': 321}"
T027,车型1,450.0,384,3072.0,16800000,0.87777,0.512,{'G2': 384}
T028,车型1,450.0,295,2360.0,12906250,0.674329,0.393333,{'G2': 295}
