truck_id,truck_type,item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,support_by
T001,车型1,G4_341,G4,oriented,0,0,0,80,60,50,25,0,LWH,
T001,车型1,G4_342,G4,oriented,0,0,50,80,60,50,25,0,LWH,G4_341
T001,车型1,G4_343,G4,oriented,0,0,100,80,60,50,25,0,LWH,G4_342
T001,车型1,G4_344,G4,oriented,0,0,150,80,60,50,25,0,LWH,G4_343
T001,车型1,G4_345,G4,oriented,0,60,0,80,60,50,25,0,LWH,
T001,车型1,G4_346,G4,oriented,0,60,50,80,60,50,25,0,LWH,G4_345
T001,车型1,G4_347,G4,oriented,0,60,100,80,60,50,25,0,LWH,G4_346
T001,车型1,G4_348,G4,oriented,0,60,150,80,60,50,25,0,LWH,G4_347
T001,车型1,G4_349,G4,oriented,0,120,0,80,60,50,25,0,LWH,
T001,车型1,G4_350,G4,oriented,0,120,50,80,60,50,25,0,LWH,G4_349
T001,车型1,G4_351,G4,oriented,0,120,100,80,60,50,25,0,LWH,G4_350
T001,车型1,G4_352,G4,oriented,0,120,150,80,60,50,25,0,LWH,G4_351
T001,车型1,G4_353,G4,oriented,80,0,0,80,60,50,25,0,LWH,
T001,车型1,G4_354,G4,oriented,80,0,50,80,60,50,25,0,LWH,G4_353
T001,车型1,G4_355,G4,oriented,80,0,100,80,60,50,25,0,LWH,G4_354
T001,车型1,G4_356,G4,oriented,80,0,150,80,60,50,25,0,LWH,G4_355
T001,车型1,G4_357,G4,oriented,80,60,0,80,60,50,25,0,LWH,
T001,车型1,G4_358,G4,oriented,80,60,50,80,60,50,25,0,LWH,G4_357
T001,车型1,G4_359,G4,oriented,80,60,100,80,60,50,25,0,LWH,G4_358
T001,车型1,G4_360,G4,oriented,80,60,150,80,60,50,25,0,LWH,G4_359
T001,车型1,G4_361,G4,oriented,80,120,0,80,60,50,25,0,LWH,
T001,车型1,G4_362,G4,oriented,80,120,50,80,60,50,25,0,LWH,G4_361
T001,车型1,G4_363,G4,oriented,80,120,100,80,60,50,25,0,LWH,G4_362
T001,车型1,G4_364,G4,oriented,80,120,150,80,60,50,25,0,LWH,G4_363
T001,车型1,G4_365,G4,oriented,160,0,0,80,60,50,25,0,LWH,
T001,车型1,G4_366,G4,oriented,160,0,50,80,60,50,25,0,LWH,G4_365
T001,车型1,G4_367,G4,oriented,160,0,100,80,60,50,25,0,LWH,G4_366
T001,车型1,G4_368,G4,oriented,160,0,150,80,60,50,25,0,LWH,G4_367
T001,车型1,G4_369,G4,oriented,160,60,0,80,60,50,25,0,LWH,
T001,车型1,G4_370,G4,oriented,160,60,50,80,60,50,25,0,LWH,G4_369
T001,车型1,G4_371,G4,oriented,160,60,100,80,60,50,25,0,LWH,G4_370
T001,车型1,G4_372,G4,oriented,160,60,150,80,60,50,25,0,LWH,G4_371
T001,车型1,G4_373,G4,oriented,160,120,0,80,60,50,25,0,LWH,
T001,车型1,G4_374,G4,oriented,160,120,50,80,60,50,25,0,LWH,G4_373
T001,车型1,G4_375,G4,oriented,160,120,100,80,60,50,25,0,LWH,G4_374
T001,车型1,G4_376,G4,oriented,160,120,150,80,60,50,25,0,LWH,G4_375
T001,车型1,G4_377,G4,oriented,240,0,0,80,60,50,25,0,LWH,
T001,车型1,G4_378,G4,oriented,240,0,50,80,60,50,25,0,LWH,G4_377
T001,车型1,G4_379,G4,oriented,240,0,100,80,60,50,25,0,LWH,G4_378
T001,车型1,G4_380,G4,oriented,240,0,150,80,60,50,25,0,LWH,G4_379
T001,车型1,G4_381,G4,oriented,240,60,0,80,60,50,25,0,LWH,
T001,车型1,G4_382,G4,oriented,240,60,50,80,60,50,25,0,LWH,G4_381
T001,车型1,G4_383,G4,oriented,240,60,100,80,60,50,25,0,LWH,G4_382
T001,车型1,G4_384,G4,oriented,240,60,150,80,60,50,25,0,LWH,G4_383
