vehicle_id,truck_type,space_utilization,weight_utilization,fullness_score,target_counts,actual_counts,loaded_weight_kg,loaded_volume_cm3,feasible_full_pack,policy_desc
车型2_001,车型2,0.337107,0.1672,0.289533,"{'G3': 48, 'G4': 16, 'G5': 0, 'G1': 46, 'G2': 0}","{'G3': 48, 'G4': 16, 'G1': 46}",1672.0,13872000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_002,车型2,0.337107,0.1672,0.289533,"{'G3': 48, 'G4': 16, 'G5': 0, 'G1': 46, 'G2': 0}","{'G3': 48, 'G4': 16, 'G1': 46}",1672.0,13872000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_003,车型2,0.337107,0.1672,0.289533,"{'G3': 48, 'G4': 16, 'G5': 0, 'G1': 46, 'G2': 0}","{'G3': 48, 'G4': 16, 'G1': 46}",1672.0,13872000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_004,车型2,0.337107,0.1672,0.289533,"{'G3': 48, 'G4': 16, 'G5': 0, 'G1': 46, 'G2': 0}","{'G3': 48, 'G4': 16, 'G1': 46}",1672.0,13872000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_005,车型2,0.337107,0.1672,0.289533,"{'G3': 48, 'G4': 16, 'G5': 0, 'G1': 46, 'G2': 0}","{'G3': 48, 'G4': 16, 'G1': 46}",1672.0,13872000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_006,车型2,0.33549,0.1668,0.288257,"{'G3': 48, 'G4': 16, 'G5': 0, 'G1': 39, 'G2': 10}","{'G3': 48, 'G4': 16, 'G1': 39, 'G2': 10}",1668.0,13805500,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_007,车型2,0.677008,0.314,0.575366,"{'G3': 12, 'G4': 96, 'G5': 0, 'G1': 12, 'G2': 52}","{'G3': 12, 'G4': 96, 'G1': 12, 'G2': 52}",3140.0,27859000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_008,车型2,0.774528,0.3392,0.652636,"{'G3': 0, 'G4': 128, 'G5': 0, 'G1': 16, 'G2': 0}","{'G4': 128, 'G1': 16}",3392.0,31872000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_009,车型2,0.750033,0.416,0.656504,"{'G3': 0, 'G4': 80, 'G5': 108, 'G1': 18, 'G2': 0}","{'G4': 80, 'G1': 18, 'G5': 108}",4160.0,30864000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_010,车型2,0.411298,0.292,0.377895,"{'G3': 0, 'G4': 0, 'G5': 0, 'G1': 150, 'G2': 140}","{'G2': 140, 'G1': 150}",2920.0,16925000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_011,车型2,0.45374,0.3332,0.419989,"{'G3': 0, 'G4': 0, 'G5': 64, 'G1': 95, 'G2': 130}","{'G2': 130, 'G1': 95, 'G5': 64}",3332.0,18671500,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_012,车型2,0.484615,0.3548,0.448267,"{'G3': 0, 'G4': 0, 'G5': 64, 'G1': 109, 'G2': 136}","{'G2': 136, 'G1': 109, 'G5': 64}",3548.0,19942000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_013,车型2,0.501905,0.3666,0.46402,"{'G3': 0, 'G4': 0, 'G5': 63, 'G1': 119, 'G2': 138}","{'G5': 63, 'G1': 119, 'G2': 138}",3666.0,20653500,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
