item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id
G5_016_0001,G5,oriented,0,0,0,40,40,60,18,1,LWH,车型1_016
G5_016_0002,G5,oriented,40,0,0,40,40,60,18,1,LWH,车型1_016
G5_016_0003,G5,oriented,80,0,0,40,40,60,18,1,LWH,车型1_016
G5_016_0004,G5,oriented,120,0,0,40,40,60,18,1,LWH,车型1_016
G5_016_0005,G5,oriented,160,0,0,40,40,60,18,1,LWH,车型1_016
G5_016_0006,G5,oriented,200,0,0,40,40,60,18,1,LWH,车型1_016
G5_016_0007,G5,oriented,240,0,0,40,40,60,18,1,LWH,车型1_016
G5_016_0008,G5,oriented,280,0,0,40,40,60,18,1,LWH,车型1_016
G5_016_0009,G5,oriented,320,0,0,40,40,60,18,1,LWH,车型1_016
G5_016_0010,G5,oriented,360,0,0,40,40,60,18,1,LWH,车型1_016
G5_016_0011,G5,oriented,0,40,0,40,40,60,18,1,LWH,车型1_016
G5_016_0012,G5,oriented,40,40,0,40,40,60,18,1,LWH,车型1_016
G5_016_0013,G5,oriented,80,40,0,40,40,60,18,1,LWH,车型1_016
G5_016_0014,G5,oriented,120,40,0,40,40,60,18,1,LWH,车型1_016
G5_016_0015,G5,oriented,160,40,0,40,40,60,18,1,LWH,车型1_016
G5_016_0016,G5,oriented,200,40,0,40,40,60,18,1,LWH,车型1_016
G5_016_0017,G5,oriented,240,40,0,40,40,60,18,1,LWH,车型1_016
G5_016_0018,G5,oriented,280,40,0,40,40,60,18,1,LWH,车型1_016
G5_016_0019,G5,oriented,320,40,0,40,40,60,18,1,LWH,车型1_016
G5_016_0020,G5,oriented,360,40,0,40,40,60,18,1,LWH,车型1_016
G5_016_0021,G5,oriented,0,80,0,40,40,60,18,1,LWH,车型1_016
G5_016_0022,G5,oriented,40,80,0,40,40,60,18,1,LWH,车型1_016
G5_016_0023,G5,oriented,80,80,0,40,40,60,18,1,LWH,车型1_016
G5_016_0024,G5,oriented,120,80,0,40,40,60,18,1,LWH,车型1_016
G5_016_0025,G5,oriented,160,80,0,40,40,60,18,1,LWH,车型1_016
G5_016_0026,G5,oriented,200,80,0,40,40,60,18,1,LWH,车型1_016
G5_016_0027,G5,oriented,240,80,0,40,40,60,18,1,LWH,车型1_016
G5_016_0028,G5,oriented,280,80,0,40,40,60,18,1,LWH,车型1_016
G5_016_0029,G5,oriented,320,80,0,40,40,60,18,1,LWH,车型1_016
G5_016_0030,G5,oriented,360,80,0,40,40,60,18,1,LWH,车型1_016
G5_016_0031,G5,oriented,0,120,0,40,40,60,18,1,LWH,车型1_016
G5_016_0032,G5,oriented,40,120,0,40,40,60,18,1,LWH,车型1_016
G5_016_0033,G5,oriented,80,120,0,40,40,60,18,1,LWH,车型1_016
G5_016_0034,G5,oriented,120,120,0,40,40,60,18,1,LWH,车型1_016
G5_016_0035,G5,oriented,160,120,0,40,40,60,18,1,LWH,车型1_016
G5_016_0036,G5,oriented,200,120,0,40,40,60,18,1,LWH,车型1_016
G5_016_0037,G5,oriented,240,120,0,40,40,60,18,1,LWH,车型1_016
G5_016_0038,G5,oriented,280,120,0,40,40,60,18,1,LWH,车型1_016
G5_016_0039,G5,oriented,320,120,0,40,40,60,18,1,LWH,车型1_016
G2_016_0001,G2,standard,360,120,0,50,35,25,8,1,LWH,车型1_016
G2_016_0002,G2,standard,0,160,0,50,35,25,8,1,LWH,车型1_016
G2_016_0003,G2,standard,50,160,0,50,35,25,8,1,LWH,车型1_016
G2_016_0004,G2,standard,100,160,0,50,35,25,8,1,LWH,车型1_016
G2_016_0005,G2,standard,150,160,0,50,35,25,8,1,LWH,车型1_016
G2_016_0006,G2,standard,200,160,0,50,35,25,8,1,LWH,车型1_016
G2_016_0007,G2,standard,250,160,0,50,35,25,8,1,LWH,车型1_016
G2_016_0008,G2,standard,300,160,0,50,35,25,8,1,LWH,车型1_016
G2_016_0009,G2,standard,350,160,0,50,35,25,8,1,LWH,车型1_016
G2_016_0010,G2,standard,0,0,60,50,35,25,8,1,LWH,车型1_016
G2_016_0011,G2,standard,50,0,60,50,35,25,8,1,LWH,车型1_016
G2_016_0012,G2,standard,100,0,60,50,35,25,8,1,LWH,车型1_016
G2_016_0013,G2,standard,150,0,60,50,35,25,8,1,LWH,车型1_016
G2_016_0014,G2,standard,200,0,60,50,35,25,8,1,LWH,车型1_016
