item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id
G5_018_0001,G5,oriented,0,0,0,40,40,60,18,1,LWH,车型1_018
G5_018_0002,G5,oriented,40,0,0,40,40,60,18,1,LWH,车型1_018
G5_018_0003,G5,oriented,80,0,0,40,40,60,18,1,LWH,车型1_018
G5_018_0004,G5,oriented,120,0,0,40,40,60,18,1,LWH,车型1_018
G5_018_0005,G5,oriented,160,0,0,40,40,60,18,1,LWH,车型1_018
G5_018_0006,G5,oriented,200,0,0,40,40,60,18,1,LWH,车型1_018
G5_018_0007,G5,oriented,240,0,0,40,40,60,18,1,LWH,车型1_018
G5_018_0008,G5,oriented,280,0,0,40,40,60,18,1,LWH,车型1_018
G5_018_0009,G5,oriented,320,0,0,40,40,60,18,1,LWH,车型1_018
G5_018_0010,G5,oriented,360,0,0,40,40,60,18,1,LWH,车型1_018
G5_018_0011,G5,oriented,0,40,0,40,40,60,18,1,LWH,车型1_018
G5_018_0012,G5,oriented,40,40,0,40,40,60,18,1,LWH,车型1_018
G5_018_0013,G5,oriented,80,40,0,40,40,60,18,1,LWH,车型1_018
G5_018_0014,G5,oriented,120,40,0,40,40,60,18,1,LWH,车型1_018
G5_018_0015,G5,oriented,160,40,0,40,40,60,18,1,LWH,车型1_018
G5_018_0016,G5,oriented,200,40,0,40,40,60,18,1,LWH,车型1_018
G5_018_0017,G5,oriented,240,40,0,40,40,60,18,1,LWH,车型1_018
G5_018_0018,G5,oriented,280,40,0,40,40,60,18,1,LWH,车型1_018
G5_018_0019,G5,oriented,320,40,0,40,40,60,18,1,LWH,车型1_018
G5_018_0020,G5,oriented,360,40,0,40,40,60,18,1,LWH,车型1_018
G5_018_0021,G5,oriented,0,80,0,40,40,60,18,1,LWH,车型1_018
G5_018_0022,G5,oriented,40,80,0,40,40,60,18,1,LWH,车型1_018
G5_018_0023,G5,oriented,80,80,0,40,40,60,18,1,LWH,车型1_018
G5_018_0024,G5,oriented,120,80,0,40,40,60,18,1,LWH,车型1_018
G5_018_0025,G5,oriented,160,80,0,40,40,60,18,1,LWH,车型1_018
G5_018_0026,G5,oriented,200,80,0,40,40,60,18,1,LWH,车型1_018
G5_018_0027,G5,oriented,240,80,0,40,40,60,18,1,LWH,车型1_018
G5_018_0028,G5,oriented,280,80,0,40,40,60,18,1,LWH,车型1_018
G5_018_0029,G5,oriented,320,80,0,40,40,60,18,1,LWH,车型1_018
G5_018_0030,G5,oriented,360,80,0,40,40,60,18,1,LWH,车型1_018
G5_018_0031,G5,oriented,0,120,0,40,40,60,18,1,LWH,车型1_018
G5_018_0032,G5,oriented,40,120,0,40,40,60,18,1,LWH,车型1_018
G5_018_0033,G5,oriented,80,120,0,40,40,60,18,1,LWH,车型1_018
G5_018_0034,G5,oriented,120,120,0,40,40,60,18,1,LWH,车型1_018
G5_018_0035,G5,oriented,160,120,0,40,40,60,18,1,LWH,车型1_018
