item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id
G5_车型2_006_0001,G5,oriented,0,0,0,40,40,60,18,1,LWH,车型2_006
G5_车型2_006_0002,G5,oriented,40,0,0,40,40,60,18,1,LWH,车型2_006
G5_车型2_006_0003,G5,oriented,80,0,0,40,40,60,18,1,LWH,车型2_006
G5_车型2_006_0004,G5,oriented,120,0,0,40,40,60,18,1,LWH,车型2_006
G5_车型2_006_0005,G5,oriented,160,0,0,40,40,60,18,1,LWH,车型2_006
G5_车型2_006_0006,G5,oriented,200,0,0,40,40,60,18,1,LWH,车型2_006
G5_车型2_006_0007,G5,oriented,240,0,0,40,40,60,18,1,LWH,车型2_006
G5_车型2_006_0008,G5,oriented,280,0,0,40,40,60,18,1,LWH,车型2_006
G5_车型2_006_0009,G5,oriented,320,0,0,40,40,60,18,1,LWH,车型2_006
G5_车型2_006_0010,G5,oriented,360,0,0,40,40,60,18,1,LWH,车型2_006
G5_车型2_006_0011,G5,oriented,400,0,0,40,40,60,18,1,LWH,车型2_006
G5_车型2_006_0012,G5,oriented,440,0,0,40,40,60,18,1,LWH,车型2_006
G5_车型2_006_0013,G5,oriented,480,0,0,40,40,60,18,1,LWH,车型2_006
G5_车型2_006_0014,G5,oriented,520,0,0,40,40,60,18,1,LWH,车型2_006
G5_车型2_006_0015,G5,oriented,560,0,0,40,40,60,18,1,LWH,车型2_006
G5_车型2_006_0016,G5,oriented,600,0,0,40,40,60,18,1,LWH,车型2_006
G5_车型2_006_0017,G5,oriented,640,0,0,40,40,60,18,1,LWH,车型2_006
G4_车型2_006_0001,G4,oriented,0,40,0,80,60,50,25,1,LWH,车型2_006
G4_车型2_006_0002,G4,oriented,80,40,0,80,60,50,25,1,LWH,车型2_006
G4_车型2_006_0003,G4,oriented,160,40,0,80,60,50,25,1,LWH,车型2_006
G4_车型2_006_0004,G4,oriented,240,40,0,80,60,50,25,1,LWH,车型2_006
G4_车型2_006_0005,G4,oriented,320,40,0,80,60,50,25,1,LWH,车型2_006
G4_车型2_006_0006,G4,oriented,400,40,0,80,60,50,25,1,LWH,车型2_006
G4_车型2_006_0007,G4,oriented,480,40,0,80,60,50,25,1,LWH,车型2_006
G4_车型2_006_0008,G4,oriented,560,40,0,80,60,50,25,1,LWH,车型2_006
G1_车型2_006_0001,G1,standard,640,40,0,40,60,30,12,3,WLH,车型2_006
G4_车型2_006_0009,G4,oriented,0,100,0,80,60,50,25,1,LWH,车型2_006
G4_车型2_006_0010,G4,oriented,80,100,0,80,60,50,25,1,LWH,车型2_006
