item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id
G4_001_0001,G4,oriented,0,0,0,80,60,50,25,1,LWH,车型1_001
G4_001_0002,G4,oriented,80,0,0,80,60,50,25,1,LWH,车型1_001
G4_001_0003,G4,oriented,160,0,0,80,60,50,25,1,LWH,车型1_001
G4_001_0004,G4,oriented,240,0,0,80,60,50,25,1,LWH,车型1_001
G4_001_0005,G4,oriented,320,0,0,80,60,50,25,1,LWH,车型1_001
G4_001_0006,G4,oriented,0,60,0,80,60,50,25,1,LWH,车型1_001
G4_001_0007,G4,oriented,80,60,0,80,60,50,25,1,LWH,车型1_001
G4_001_0008,G4,oriented,160,60,0,80,60,50,25,1,LWH,车型1_001
G4_001_0009,G4,oriented,240,60,0,80,60,50,25,1,LWH,车型1_001
G4_001_0010,G4,oriented,320,60,0,80,60,50,25,1,LWH,车型1_001
G4_001_0011,G4,oriented,0,120,0,80,60,50,25,1,LWH,车型1_001
G4_001_0012,G4,oriented,80,120,0,80,60,50,25,1,LWH,车型1_001
G4_001_0013,G4,oriented,160,120,0,80,60,50,25,1,LWH,车型1_001
G4_001_0014,G4,oriented,240,120,0,80,60,50,25,1,LWH,车型1_001
G4_001_0015,G4,oriented,320,120,0,80,60,50,25,1,LWH,车型1_001
G2_001_0001,G2,standard,0,180,0,50,25,35,8,2,LHW,车型1_001
G2_001_0002,G2,standard,50,180,0,50,25,35,8,2,LHW,车型1_001
G2_001_0003,G2,standard,100,180,0,50,25,35,8,2,LHW,车型1_001
G2_001_0004,G2,standard,150,180,0,50,25,35,8,2,LHW,车型1_001
G2_001_0005,G2,standard,200,180,0,50,25,35,8,2,LHW,车型1_001
G2_001_0006,G2,standard,250,180,0,50,25,35,8,2,LHW,车型1_001
G2_001_0007,G2,standard,300,180,0,50,25,35,8,2,LHW,车型1_001
G2_001_0008,G2,standard,350,180,0,50,25,35,8,2,LHW,车型1_001
G4_001_0016,G4,oriented,0,0,50,80,60,50,25,1,LWH,车型1_001
G4_001_0017,G4,oriented,80,0,50,80,60,50,25,1,LWH,车型1_001
G4_001_0018,G4,oriented,160,0,50,80,60,50,25,1,LWH,车型1_001
G4_001_0019,G4,oriented,240,0,50,80,60,50,25,1,LWH,车型1_001
G4_001_0020,G4,oriented,320,0,50,80,60,50,25,1,LWH,车型1_001
G4_001_0021,G4,oriented,0,60,50,80,60,50,25,1,LWH,车型1_001
G4_001_0022,G4,oriented,80,60,50,80,60,50,25,1,LWH,车型1_001
G4_001_0023,G4,oriented,160,60,50,80,60,50,25,1,LWH,车型1_001
G4_001_0024,G4,oriented,240,60,50,80,60,50,25,1,LWH,车型1_001
G4_001_0025,G4,oriented,320,60,50,80,60,50,25,1,LWH,车型1_001
G4_001_0026,G4,oriented,0,120,50,80,60,50,25,1,LWH,车型1_001
G4_001_0027,G4,oriented,80,120,50,80,60,50,25,1,LWH,车型1_001
G4_001_0028,G4,oriented,160,120,50,80,60,50,25,1,LWH,车型1_001
G4_001_0029,G4,oriented,240,120,50,80,60,50,25,1,LWH,车型1_001
G4_001_0030,G4,oriented,320,120,50,80,60,50,25,1,LWH,车型1_001
G2_001_0009,G2,standard,0,180,50,50,25,35,8,2,LHW,车型1_001
G2_001_0010,G2,standard,50,180,50,50,25,35,8,2,LHW,车型1_001
G2_001_0011,G2,standard,100,180,50,50,25,35,8,2,LHW,车型1_001
G2_001_0012,G2,standard,150,180,50,50,25,35,8,2,LHW,车型1_001
G2_001_0013,G2,standard,200,180,50,50,25,35,8,2,LHW,车型1_001
G2_001_0014,G2,standard,250,180,50,50,25,35,8,2,LHW,车型1_001
G2_001_0015,G2,standard,300,180,50,50,25,35,8,2,LHW,车型1_001
G2_001_0016,G2,standard,350,180,50,50,25,35,8,2,LHW,车型1_001
G4_001_0031,G4,oriented,0,0,110,80,60,50,25,1,LWH,车型1_001
G5_001_0001,G5,oriented,80,0,110,40,40,60,18,1,LWH,车型1_001
G5_001_0002,G5,oriented,120,0,110,40,40,60,18,1,LWH,车型1_001
G5_001_0003,G5,oriented,160,0,110,40,40,60,18,1,LWH,车型1_001
G5_001_0004,G5,oriented,200,0,110,40,40,60,18,1,LWH,车型1_001
G5_001_0005,G5,oriented,240,0,110,40,40,60,18,1,LWH,车型1_001
G5_001_0006,G5,oriented,280,0,110,40,40,60,18,1,LWH,车型1_001
G5_001_0007,G5,oriented,320,0,110,40,40,60,18,1,LWH,车型1_001
G5_001_0008,G5,oriented,360,0,110,40,40,60,18,1,LWH,车型1_001
G5_001_0009,G5,oriented,0,60,110,40,40,60,18,1,LWH,车型1_001
G5_001_0010,G5,oriented,40,60,110,40,40,60,18,1,LWH,车型1_001
G5_001_0011,G5,oriented,80,60,110,40,40,60,18,1,LWH,车型1_001
G5_001_0012,G5,oriented,120,60,110,40,40,60,18,1,LWH,车型1_001
G5_001_0013,G5,oriented,160,60,110,40,40,60,18,1,LWH,车型1_001
G5_001_0014,G5,oriented,200,60,110,40,40,60,18,1,LWH,车型1_001
G5_001_0015,G5,oriented,240,60,110,40,40,60,18,1,LWH,车型1_001
G5_001_0016,G5,oriented,280,60,110,40,40,60,18,1,LWH,车型1_001
G5_001_0017,G5,oriented,320,60,110,40,40,60,18,1,LWH,车型1_001
G5_001_0018,G5,oriented,360,60,110,40,40,60,18,1,LWH,车型1_001
G5_001_0019,G5,oriented,0,100,110,40,40,60,18,1,LWH,车型1_001
G5_001_0020,G5,oriented,40,100,110,40,40,60,18,1,LWH,车型1_001
G5_001_0021,G5,oriented,80,100,110,40,40,60,18,1,LWH,车型1_001
G5_001_0022,G5,oriented,120,100,110,40,40,60,18,1,LWH,车型1_001
G5_001_0023,G5,oriented,160,100,110,40,40,60,18,1,LWH,车型1_001
G5_001_0024,G5,oriented,200,100,110,40,40,60,18,1,LWH,车型1_001
G5_001_0025,G5,oriented,240,100,110,40,40,60,18,1,LWH,车型1_001
G5_001_0026,G5,oriented,280,100,110,40,40,60,18,1,LWH,车型1_001
G5_001_0027,G5,oriented,320,100,110,40,40,60,18,1,LWH,车型1_001
G5_001_0028,G5,oriented,360,100,110,40,40,60,18,1,LWH,车型1_001
G5_001_0029,G5,oriented,0,140,110,40,40,60,18,1,LWH,车型1_001
G5_001_0030,G5,oriented,40,140,110,40,40,60,18,1,LWH,车型1_001
G5_001_0031,G5,oriented,80,140,110,40,40,60,18,1,LWH,车型1_001
G5_001_0032,G5,oriented,120,140,110,40,40,60,18,1,LWH,车型1_001
G5_001_0033,G5,oriented,160,140,110,40,40,60,18,1,LWH,车型1_001
G2_001_0017,G2,standard,200,140,110,50,35,25,8,1,LWH,车型1_001
G2_001_0018,G2,standard,250,140,110,50,35,25,8,1,LWH,车型1_001
G2_001_0019,G2,standard,300,140,110,50,35,25,8,1,LWH,车型1_001
G2_001_0020,G2,standard,350,140,110,50,35,25,8,1,LWH,车型1_001
G2_001_0021,G2,standard,0,180,110,50,25,35,8,2,LHW,车型1_001
G2_001_0022,G2,standard,50,180,110,50,25,35,8,2,LHW,车型1_001
G2_001_0023,G2,standard,100,180,110,50,25,35,8,2,LHW,车型1_001
G2_001_0024,G2,standard,150,180,110,50,25,35,8,2,LHW,车型1_001
G2_001_0025,G2,standard,200,180,110,50,25,35,8,2,LHW,车型1_001
G2_001_0026,G2,standard,250,180,110,50,25,35,8,2,LHW,车型1_001
