item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id
G3_012_0001,G3,fragile,0,0,0,50,40,70,15,4,WHL,车型2_012
G3_012_0002,G3,fragile,50,0,0,50,40,70,15,4,WHL,车型2_012
G3_012_0003,G3,fragile,100,0,0,50,40,70,15,4,WHL,车型2_012
G3_012_0004,G3,fragile,150,0,0,50,40,70,15,4,WHL,车型2_012
G3_012_0005,G3,fragile,200,0,0,50,40,70,15,4,WHL,车型2_012
G3_012_0006,G3,fragile,250,0,0,50,40,70,15,4,WHL,车型2_012
G3_012_0007,G3,fragile,300,0,0,50,40,70,15,4,WHL,车型2_012
G3_012_0008,G3,fragile,350,0,0,50,40,70,15,4,WHL,车型2_012
G3_012_0009,G3,fragile,400,0,0,50,40,70,15,4,WHL,车型2_012
G3_012_0010,G3,fragile,450,0,0,50,40,70,15,4,WHL,车型2_012
G3_012_0011,G3,fragile,500,0,0,50,40,70,15,4,WHL,车型2_012
G3_012_0012,G3,fragile,550,0,0,50,40,70,15,4,WHL,车型2_012
G3_012_0013,G3,fragile,600,0,0,50,40,70,15,4,WHL,车型2_012
G3_012_0014,G3,fragile,0,40,0,50,40,70,15,4,WHL,车型2_012
G3_012_0015,G3,fragile,50,40,0,50,40,70,15,4,WHL,车型2_012
G3_012_0016,G3,fragile,100,40,0,50,40,70,15,4,WHL,车型2_012
G3_012_0017,G3,fragile,150,40,0,50,40,70,15,4,WHL,车型2_012
G3_012_0018,G3,fragile,200,40,0,50,40,70,15,4,WHL,车型2_012
G3_012_0019,G3,fragile,250,40,0,50,40,70,15,4,WHL,车型2_012
G3_012_0020,G3,fragile,300,40,0,50,40,70,15,4,WHL,车型2_012
G3_012_0021,G3,fragile,350,40,0,50,40,70,15,4,WHL,车型2_012
G3_012_0022,G3,fragile,400,40,0,50,40,70,15,4,WHL,车型2_012
G3_012_0023,G3,fragile,450,40,0,50,40,70,15,4,WHL,车型2_012
G3_012_0024,G3,fragile,500,40,0,50,40,70,15,4,WHL,车型2_012
G3_012_0025,G3,fragile,550,40,0,50,40,70,15,4,WHL,车型2_012
G3_012_0026,G3,fragile,600,40,0,50,40,70,15,4,WHL,车型2_012
G3_012_0027,G3,fragile,0,80,0,50,40,70,15,4,WHL,车型2_012
G3_012_0028,G3,fragile,50,80,0,50,40,70,15,4,WHL,车型2_012
G3_012_0029,G3,fragile,100,80,0,50,40,70,15,4,WHL,车型2_012
G3_012_0030,G3,fragile,150,80,0,50,40,70,15,4,WHL,车型2_012
G3_012_0031,G3,fragile,200,80,0,50,40,70,15,4,WHL,车型2_012
G3_012_0032,G3,fragile,250,80,0,50,40,70,15,4,WHL,车型2_012
G3_012_0033,G3,fragile,300,80,0,50,40,70,15,4,WHL,车型2_012
G3_012_0034,G3,fragile,350,80,0,50,40,70,15,4,WHL,车型2_012
G3_012_0035,G3,fragile,400,80,0,50,40,70,15,4,WHL,车型2_012
G3_012_0036,G3,fragile,450,80,0,50,40,70,15,4,WHL,车型2_012
G3_012_0037,G3,fragile,500,80,0,50,40,70,15,4,WHL,车型2_012
G3_012_0038,G3,fragile,550,80,0,50,40,70,15,4,WHL,车型2_012
G4_012_0001,G4,oriented,0,120,0,80,60,50,25,1,LWH,车型2_012
G4_012_0002,G4,oriented,80,120,0,80,60,50,25,1,LWH,车型2_012
G4_012_0003,G4,oriented,160,120,0,80,60,50,25,1,LWH,车型2_012
G4_012_0004,G4,oriented,240,120,0,80,60,50,25,1,LWH,车型2_012
G4_012_0005,G4,oriented,320,120,0,80,60,50,25,1,LWH,车型2_012
G4_012_0006,G4,oriented,400,120,0,80,60,50,25,1,LWH,车型2_012
G4_012_0007,G4,oriented,480,120,0,80,60,50,25,1,LWH,车型2_012
G4_012_0008,G4,oriented,560,120,0,80,60,50,25,1,LWH,车型2_012
G1_012_0001,G1,standard,640,120,0,40,60,30,12,3,WLH,车型2_012
G4_012_0009,G4,oriented,0,180,0,80,60,50,25,1,LWH,车型2_012
G4_012_0010,G4,oriented,80,180,0,80,60,50,25,1,LWH,车型2_012
G4_012_0011,G4,oriented,160,180,0,80,60,50,25,1,LWH,车型2_012
G4_012_0012,G4,oriented,240,180,0,80,60,50,25,1,LWH,车型2_012
G4_012_0013,G4,oriented,320,180,0,80,60,50,25,1,LWH,车型2_012
G4_012_0014,G4,oriented,400,180,0,80,60,50,25,1,LWH,车型2_012
G4_012_0015,G4,oriented,480,180,0,80,60,50,25,1,LWH,车型2_012
G4_012_0016,G4,oriented,560,180,0,80,60,50,25,1,LWH,车型2_012
G1_012_0002,G1,standard,640,180,0,40,60,30,12,3,WLH,车型2_012
G4_012_0017,G4,oriented,0,120,50,80,60,50,25,1,LWH,车型2_012
G4_012_0018,G4,oriented,80,120,50,80,60,50,25,1,LWH,车型2_012
G4_012_0019,G4,oriented,160,120,50,80,60,50,25,1,LWH,车型2_012
G4_012_0020,G4,oriented,240,120,50,80,60,50,25,1,LWH,车型2_012
G4_012_0021,G4,oriented,320,120,50,80,60,50,25,1,LWH,车型2_012
G4_012_0022,G4,oriented,400,120,50,80,60,50,25,1,LWH,车型2_012
G4_012_0023,G4,oriented,480,120,50,80,60,50,25,1,LWH,车型2_012
G4_012_0024,G4,oriented,560,120,50,80,60,50,25,1,LWH,车型2_012
G5_012_0001,G5,oriented,640,120,50,40,40,60,18,1,LWH,车型2_012
G4_012_0025,G4,oriented,0,180,50,80,60,50,25,1,LWH,车型2_012
G4_012_0026,G4,oriented,80,180,50,80,60,50,25,1,LWH,车型2_012
G4_012_0027,G4,oriented,160,180,50,80,60,50,25,1,LWH,车型2_012
G4_012_0028,G4,oriented,240,180,50,80,60,50,25,1,LWH,车型2_012
G4_012_0029,G4,oriented,320,180,50,80,60,50,25,1,LWH,车型2_012
G4_012_0030,G4,oriented,400,180,50,80,60,50,25,1,LWH,车型2_012
G5_012_0002,G5,oriented,480,180,50,40,40,60,18,1,LWH,车型2_012
G5_012_0003,G5,oriented,520,180,50,40,40,60,18,1,LWH,车型2_012
G5_012_0004,G5,oriented,560,180,50,40,40,60,18,1,LWH,车型2_012
G5_012_0005,G5,oriented,600,180,50,40,40,60,18,1,LWH,车型2_012
G5_012_0006,G5,oriented,640,180,50,40,40,60,18,1,LWH,车型2_012
G1_012_0003,G1,standard,0,120,110,60,40,30,12,1,LWH,车型2_012
G1_012_0004,G1,standard,60,120,110,60,40,30,12,1,LWH,车型2_012
G1_012_0005,G1,standard,120,120,110,60,40,30,12,1,LWH,车型2_012
