vehicle_id,truck_name,space_utilization,weight_utilization,fullness_score,target_counts,actual_counts,loaded_weight_kg,loaded_volume_cm3,feasible_full_pack,policy_desc
车型1_001,车型1,0.613682,0.262833,0.515444,"{'G3': 0, 'G4': 31, 'G5': 33, 'G1': 0, 'G2': 26}","{'G4': 31, 'G2': 26, 'G5': 33}",1577.0,11745500,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_002,车型1,0.519635,0.232,0.439097,"{'G3': 6, 'G4': 20, 'G5': 33, 'G1': 0, 'G2': 26}","{'G3': 6, 'G4': 20, 'G5': 33, 'G2': 26}",1392.0,9945500,True,g3_ratio=0.93;order=G5-G2-G1-G4;wf=0.44;wr=0.19;wv=0.37;row=2;relax=0
车型2_003,车型2,0.530635,0.3205,0.471797,"{'G3': 28, 'G4': 21, 'G5': 34, 'G1': 94, 'G2': 65}","{'G3': 28, 'G4': 21, 'G5': 34, 'G1': 94, 'G2': 65}",3205.0,21835750,True,g3_ratio=0.59;order=G4-G1-G5-G2;wf=0.04;wr=0.48;wv=0.48;row=2;relax=0
车型2_004,车型2,0.528643,0.3232,0.471119,"{'G3': 4, 'G4': 32, 'G5': 34, 'G1': 98, 'G2': 73}","{'G3': 4, 'G2': 73, 'G1': 98, 'G4': 32, 'G5': 34}",3232.0,21753750,True,g3_ratio=0.83;order=G2-G5-G1-G4;wf=0.56;wr=0.38;wv=0.06;row=1;relax=0
车型2_005,车型2,0.509688,0.3152,0.455231,"{'G3': 7, 'G4': 27, 'G5': 34, 'G1': 98, 'G2': 73}","{'G3': 7, 'G2': 73, 'G1': 98, 'G4': 27, 'G5': 34}",3152.0,20973750,True,g3_ratio=0.88;order=G1-G4-G5-G2;wf=0.31;wr=0.53;wv=0.16;row=1;relax=0
车型2_006,车型2,0.501911,0.3117,0.448652,"{'G3': 3, 'G4': 28, 'G5': 34, 'G1': 98, 'G2': 73}","{'G3': 3, 'G2': 73, 'G1': 98, 'G4': 28, 'G5': 34}",3117.0,20653750,True,g3_ratio=0.75;order=G4-G5-G2-G1;wf=0.47;wr=0.48;wv=0.05;row=1;relax=0
车型2_007,车型2,0.519123,0.3191,0.463116,"{'G3': 1, 'G4': 32, 'G5': 34, 'G1': 99, 'G2': 72}","{'G3': 1, 'G2': 72, 'G1': 99, 'G4': 32, 'G5': 34}",3191.0,21362000,True,g3_ratio=0.36;order=G4-G5-G1-G2;wf=0.44;wr=0.25;wv=0.31;row=1;relax=0
车型2_008,车型2,0.510368,0.3158,0.455889,"{'G3': 12, 'G4': 24, 'G5': 33, 'G1': 100, 'G2': 73}","{'G3': 12, 'G2': 73, 'G1': 100, 'G5': 33, 'G4': 24}",3158.0,21001750,True,g3_ratio=1.00;order=G1-G4-G5-G2;wf=0.40;wr=0.29;wv=0.31;row=1;relax=0
车型2_009,车型2,0.510368,0.3158,0.455889,"{'G3': 12, 'G4': 24, 'G5': 33, 'G1': 100, 'G2': 73}","{'G3': 12, 'G2': 73, 'G1': 100, 'G5': 33, 'G4': 24}",3158.0,21001750,True,g3_ratio=1.00;order=G1-G4-G5-G2;wf=0.40;wr=0.29;wv=0.31;row=1;relax=0
车型2_010,车型2,0.478764,0.2737,0.421346,"{'G3': 40, 'G4': 21, 'G5': 30, 'G1': 50, 'G2': 59}","{'G3': 40, 'G4': 21, 'G1': 50, 'G5': 30, 'G2': 59}",2737.0,19701250,True,g3_ratio=0.27;order=G5-G1-G2-G4;wf=0.31;wr=0.28;wv=0.42;row=2;relax=0
车型2_011,车型2,0.471972,0.2598,0.412564,"{'G3': 35, 'G4': 31, 'G5': 33, 'G1': 10, 'G2': 73}","{'G3': 35, 'G4': 31, 'G1': 10, 'G2': 73, 'G5': 33}",2598.0,19421750,True,g3_ratio=0.95;order=G5-G2-G1-G4;wf=0.54;wr=0.06;wv=0.40;row=0;relax=0
车型2_012,车型2,0.493843,0.2744,0.432399,"{'G3': 38, 'G4': 30, 'G5': 36, 'G1': 16, 'G2': 73}","{'G3': 38, 'G4': 30, 'G1': 16, 'G5': 36, 'G2': 73}",2744.0,20321750,True,g3_ratio=0.97;order=G5-G4-G2-G1;wf=0.17;wr=0.51;wv=0.32;row=0;relax=0
车型2_013,车型2,0.474178,0.263,0.415048,"{'G3': 37, 'G4': 29, 'G5': 33, 'G1': 11, 'G2': 78}","{'G3': 37, 'G2': 78, 'G1': 11, 'G4': 29, 'G5': 33}",2630.0,19512500,True,g3_ratio=0.98;order=G1-G2-G4-G5;wf=0.42;wr=0.43;wv=0.15;row=1;relax=0
车型2_014,车型2,0.47634,0.269,0.418285,"{'G3': 38, 'G4': 26, 'G5': 33, 'G1': 13, 'G2': 90}","{'G3': 38, 'G4': 26, 'G1': 13, 'G2': 90, 'G5': 33}",2690.0,19601500,True,g3_ratio=0.64;order=G4-G5-G1-G2;wf=0.61;wr=0.11;wv=0.28;row=0;relax=0
车型2_015,车型2,0.450004,0.2519,0.394535,"{'G3': 39, 'G4': 24, 'G5': 33, 'G1': 13, 'G2': 73}","{'G3': 39, 'G4': 24, 'G1': 13, 'G2': 73, 'G5': 33}",2519.0,18517750,True,g3_ratio=0.65;order=G4-G1-G2-G5;wf=0.25;wr=0.51;wv=0.24;row=0;relax=0
