vehicle_id,truck_type,space_utilization,weight_utilization,fullness_score,target_counts,actual_counts,loaded_weight_kg,loaded_volume_cm3,feasible_full_pack,policy_desc
车型2_001,车型2,0.479256,0.2754,0.422177,"{'G3': 48, 'G4': 16, 'G5': 33, 'G1': 48, 'G2': 58}","{'G3': 48, 'G4': 16, 'G5': 33, 'G1': 48, 'G2': 58}",2754.0,19721500,True,g3_ratio=0.52;order=G5-G1-G4-G2;wf=0.21;wr=0.18;wv=0.61;row=2;relax=0
车型2_002,车型2,0.479943,0.2758,0.422783,"{'G3': 48, 'G4': 16, 'G5': 33, 'G1': 49, 'G2': 57}","{'G3': 48, 'G4': 16, 'G1': 49, 'G5': 33, 'G2': 57}",2758.0,19749750,True,g3_ratio=0.19;order=G5-G2-G4-G1;wf=0.36;wr=0.33;wv=0.31;row=0;relax=1
车型2_003,车型2,0.479943,0.2758,0.422783,"{'G3': 48, 'G4': 16, 'G5': 33, 'G1': 49, 'G2': 57}","{'G3': 48, 'G4': 16, 'G1': 49, 'G5': 33, 'G2': 57}",2758.0,19749750,True,g3_ratio=0.19;order=G5-G2-G4-G1;wf=0.36;wr=0.33;wv=0.31;row=0;relax=1
车型2_004,车型2,0.47984,0.276,0.422765,"{'G3': 48, 'G4': 16, 'G5': 34, 'G1': 47, 'G2': 58}","{'G3': 48, 'G4': 16, 'G1': 47, 'G5': 34, 'G2': 58}",2760.0,19745500,True,g3_ratio=0.26;order=G4-G2-G1-G5;wf=0.55;wr=0.35;wv=0.11;row=2;relax=0
车型2_005,车型2,0.47984,0.276,0.422765,"{'G3': 48, 'G4': 16, 'G5': 34, 'G1': 47, 'G2': 58}","{'G3': 48, 'G4': 16, 'G1': 47, 'G5': 34, 'G2': 58}",2760.0,19745500,True,g3_ratio=0.26;order=G4-G2-G1-G5;wf=0.55;wr=0.35;wv=0.11;row=2;relax=0
车型2_006,车型2,0.479973,0.2768,0.423085,"{'G3': 48, 'G4': 16, 'G5': 34, 'G1': 41, 'G2': 68}","{'G3': 48, 'G4': 16, 'G5': 34, 'G1': 41, 'G2': 68}",2768.0,19751000,True,g3_ratio=0.26;order=G4-G5-G2-G1;wf=0.17;wr=0.36;wv=0.47;row=0;relax=1
车型2_007,车型2,0.677008,0.314,0.575366,"{'G3': 12, 'G4': 96, 'G5': 0, 'G1': 12, 'G2': 52}","{'G3': 12, 'G4': 96, 'G1': 12, 'G2': 52}",3140.0,27859000,True,g3_ratio=1.00;order=G2-G4-G1-G5;wf=0.20;wr=0.39;wv=0.41;row=0;relax=0
车型2_008,车型2,0.774528,0.3392,0.652636,"{'G3': 0, 'G4': 128, 'G5': 0, 'G1': 16, 'G2': 0}","{'G4': 128, 'G1': 16}",3392.0,31872000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_009,车型2,0.750033,0.416,0.656504,"{'G3': 0, 'G4': 80, 'G5': 108, 'G1': 18, 'G2': 0}","{'G4': 80, 'G1': 18, 'G5': 108}",4160.0,30864000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_010,车型2,0.459141,0.328,0.422422,"{'G3': 0, 'G4': 0, 'G5': 0, 'G1': 150, 'G2': 185}","{'G1': 150, 'G2': 185}",3280.0,18893750,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_011,车型2,0.45693,0.3356,0.422957,"{'G3': 0, 'G4': 0, 'G5': 64, 'G1': 95, 'G2': 133}","{'G2': 133, 'G1': 95, 'G5': 64}",3356.0,18802750,True,g3_ratio=1.00;order=G1-G4-G2-G5;wf=0.38;wr=0.43;wv=0.20;row=1;relax=0
车型2_012,车型2,0.484615,0.3548,0.448267,"{'G3': 0, 'G4': 0, 'G5': 64, 'G1': 109, 'G2': 136}","{'G5': 64, 'G1': 109, 'G2': 136}",3548.0,19942000,True,g3_ratio=0.33;order=G1-G5-G4-G2;wf=0.39;wr=0.41;wv=0.20;row=2;relax=1
车型2_013,车型2,0.501905,0.3666,0.46402,"{'G3': 0, 'G4': 0, 'G5': 63, 'G1': 119, 'G2': 138}","{'G5': 63, 'G1': 119, 'G2': 138}",3666.0,20653500,True,g3_ratio=0.89;order=G5-G1-G2-G4;wf=0.51;wr=0.25;wv=0.24;row=2;relax=0
