item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id
G3_003_0001,G3,fragile,0,0,0,40,50,70,15,6,HWL,车型2_003
G3_003_0002,G3,fragile,40,0,0,40,50,70,15,6,HWL,车型2_003
G3_003_0003,G3,fragile,80,0,0,40,50,70,15,6,HWL,车型2_003
G3_003_0004,G3,fragile,120,0,0,40,50,70,15,6,HWL,车型2_003
G3_003_0005,G3,fragile,160,0,0,40,50,70,15,6,HWL,车型2_003
G3_003_0006,G3,fragile,200,0,0,40,50,70,15,6,HWL,车型2_003
G3_003_0007,G3,fragile,240,0,0,40,50,70,15,6,HWL,车型2_003
G3_003_0008,G3,fragile,280,0,0,40,50,70,15,6,HWL,车型2_003
G3_003_0009,G3,fragile,320,0,0,40,50,70,15,6,HWL,车型2_003
G3_003_0010,G3,fragile,360,0,0,40,50,70,15,6,HWL,车型2_003
G3_003_0011,G3,fragile,400,0,0,40,50,70,15,6,HWL,车型2_003
G3_003_0012,G3,fragile,440,0,0,40,50,70,15,6,HWL,车型2_003
G3_003_0013,G3,fragile,480,0,0,40,50,70,15,6,HWL,车型2_003
G3_003_0014,G3,fragile,520,0,0,40,50,70,15,6,HWL,车型2_003
G3_003_0015,G3,fragile,560,0,0,40,50,70,15,6,HWL,车型2_003
G3_003_0016,G3,fragile,600,0,0,40,50,70,15,6,HWL,车型2_003
G3_003_0017,G3,fragile,640,0,0,40,50,70,15,6,HWL,车型2_003
G3_003_0018,G3,fragile,0,50,0,40,50,70,15,6,HWL,车型2_003
G3_003_0019,G3,fragile,40,50,0,40,50,70,15,6,HWL,车型2_003
G3_003_0020,G3,fragile,80,50,0,40,50,70,15,6,HWL,车型2_003
G3_003_0021,G3,fragile,120,50,0,40,50,70,15,6,HWL,车型2_003
G3_003_0022,G3,fragile,160,50,0,40,50,70,15,6,HWL,车型2_003
G3_003_0023,G3,fragile,200,50,0,40,50,70,15,6,HWL,车型2_003
G3_003_0024,G3,fragile,240,50,0,40,50,70,15,6,HWL,车型2_003
G3_003_0025,G3,fragile,280,50,0,40,50,70,15,6,HWL,车型2_003
G3_003_0026,G3,fragile,320,50,0,40,50,70,15,6,HWL,车型2_003
G3_003_0027,G3,fragile,360,50,0,40,50,70,15,6,HWL,车型2_003
G3_003_0028,G3,fragile,400,50,0,40,50,70,15,6,HWL,车型2_003
G3_003_0029,G3,fragile,440,50,0,40,50,70,15,6,HWL,车型2_003
G3_003_0030,G3,fragile,480,50,0,40,50,70,15,6,HWL,车型2_003
G3_003_0031,G3,fragile,520,50,0,40,50,70,15,6,HWL,车型2_003
G3_003_0032,G3,fragile,560,50,0,40,50,70,15,6,HWL,车型2_003
G1_003_0001,G1,standard,0,100,0,60,40,30,12,1,LWH,车型2_003
G1_003_0002,G1,standard,60,100,0,60,40,30,12,1,LWH,车型2_003
G1_003_0003,G1,standard,120,100,0,60,40,30,12,1,LWH,车型2_003
G1_003_0004,G1,standard,180,100,0,60,40,30,12,1,LWH,车型2_003
G1_003_0005,G1,standard,240,100,0,60,40,30,12,1,LWH,车型2_003
G1_003_0006,G1,standard,300,100,0,60,40,30,12,1,LWH,车型2_003
G1_003_0007,G1,standard,360,100,0,60,40,30,12,1,LWH,车型2_003
G1_003_0008,G1,standard,420,100,0,60,40,30,12,1,LWH,车型2_003
G1_003_0009,G1,standard,480,100,0,60,40,30,12,1,LWH,车型2_003
G1_003_0010,G1,standard,540,100,0,60,40,30,12,1,LWH,车型2_003
G1_003_0011,G1,standard,600,100,0,60,40,30,12,1,LWH,车型2_003
G1_003_0012,G1,standard,0,140,0,60,40,30,12,1,LWH,车型2_003
G1_003_0013,G1,standard,60,140,0,60,40,30,12,1,LWH,车型2_003
G1_003_0014,G1,standard,120,140,0,60,40,30,12,1,LWH,车型2_003
G1_003_0015,G1,standard,180,140,0,60,40,30,12,1,LWH,车型2_003
G1_003_0016,G1,standard,240,140,0,60,40,30,12,1,LWH,车型2_003
G1_003_0017,G1,standard,300,140,0,60,40,30,12,1,LWH,车型2_003
G1_003_0018,G1,standard,360,140,0,60,40,30,12,1,LWH,车型2_003
G1_003_0019,G1,standard,420,140,0,60,40,30,12,1,LWH,车型2_003
G1_003_0020,G1,standard,480,140,0,60,40,30,12,1,LWH,车型2_003
G1_003_0021,G1,standard,540,140,0,60,40,30,12,1,LWH,车型2_003
G1_003_0022,G1,standard,600,140,0,60,40,30,12,1,LWH,车型2_003
G1_003_0023,G1,standard,0,180,0,60,40,30,12,1,LWH,车型2_003
G1_003_0024,G1,standard,60,180,0,60,40,30,12,1,LWH,车型2_003
G1_003_0025,G1,standard,120,180,0,60,40,30,12,1,LWH,车型2_003
G1_003_0026,G1,standard,180,180,0,60,40,30,12,1,LWH,车型2_003
G1_003_0027,G1,standard,240,180,0,60,40,30,12,1,LWH,车型2_003
G1_003_0028,G1,standard,300,180,0,60,40,30,12,1,LWH,车型2_003
G1_003_0029,G1,standard,360,180,0,60,40,30,12,1,LWH,车型2_003
G1_003_0030,G1,standard,420,180,0,60,40,30,12,1,LWH,车型2_003
G1_003_0031,G1,standard,480,180,0,60,40,30,12,1,LWH,车型2_003
G1_003_0032,G1,standard,540,180,0,60,40,30,12,1,LWH,车型2_003
G1_003_0033,G1,standard,600,180,0,60,40,30,12,1,LWH,车型2_003
G3_003_0033,G3,fragile,0,100,30,50,40,70,15,4,WHL,车型2_003
G3_003_0034,G3,fragile,60,100,30,50,40,70,15,4,WHL,车型2_003
G3_003_0035,G3,fragile,120,100,30,50,40,70,15,4,WHL,车型2_003
G3_003_0036,G3,fragile,180,100,30,50,40,70,15,4,WHL,车型2_003
G3_003_0037,G3,fragile,240,100,30,50,40,70,15,4,WHL,车型2_003
G3_003_0038,G3,fragile,300,100,30,50,40,70,15,4,WHL,车型2_003
G3_003_0039,G3,fragile,360,100,30,50,40,70,15,4,WHL,车型2_003
G3_003_0040,G3,fragile,420,100,30,50,40,70,15,4,WHL,车型2_003
G3_003_0041,G3,fragile,480,100,30,50,40,70,15,4,WHL,车型2_003
G3_003_0042,G3,fragile,540,100,30,50,40,70,15,4,WHL,车型2_003
G3_003_0043,G3,fragile,600,100,30,50,40,70,15,4,WHL,车型2_003
G3_003_0044,G3,fragile,0,140,30,50,40,70,15,4,WHL,车型2_003
G3_003_0045,G3,fragile,60,140,30,50,40,70,15,4,WHL,车型2_003
G3_003_0046,G3,fragile,120,140,30,50,40,70,15,4,WHL,车型2_003
G3_003_0047,G3,fragile,180,140,30,50,40,70,15,4,WHL,车型2_003
G3_003_0048,G3,fragile,240,140,30,50,40,70,15,4,WHL,车型2_003
G4_003_0001,G4,oriented,0,100,100,80,60,50,25,1,LWH,车型2_003
G4_003_0002,G4,oriented,80,100,100,80,60,50,25,1,LWH,车型2_003
G4_003_0003,G4,oriented,160,100,100,80,60,50,25,1,LWH,车型2_003
G4_003_0004,G4,oriented,240,100,100,80,60,50,25,1,LWH,车型2_003
G4_003_0005,G4,oriented,320,100,100,80,60,50,25,1,LWH,车型2_003
G4_003_0006,G4,oriented,400,100,100,80,60,50,25,1,LWH,车型2_003
G4_003_0007,G4,oriented,480,100,100,80,60,50,25,1,LWH,车型2_003
G4_003_0008,G4,oriented,560,100,100,80,60,50,25,1,LWH,车型2_003
G1_003_0034,G1,standard,640,100,100,40,60,30,12,3,WLH,车型2_003
G4_003_0009,G4,oriented,0,160,100,80,60,50,25,1,LWH,车型2_003
G4_003_0010,G4,oriented,80,160,100,80,60,50,25,1,LWH,车型2_003
G4_003_0011,G4,oriented,160,160,100,80,60,50,25,1,LWH,车型2_003
G4_003_0012,G4,oriented,240,160,100,80,60,50,25,1,LWH,车型2_003
G4_003_0013,G4,oriented,320,160,100,80,60,50,25,1,LWH,车型2_003
G4_003_0014,G4,oriented,400,160,100,80,60,50,25,1,LWH,车型2_003
G4_003_0015,G4,oriented,480,160,100,80,60,50,25,1,LWH,车型2_003
G4_003_0016,G4,oriented,560,160,100,80,60,50,25,1,LWH,车型2_003
G1_003_0035,G1,standard,640,160,100,40,60,30,12,3,WLH,车型2_003
G2_003_0001,G2,standard,0,220,100,50,25,35,8,2,LHW,车型2_003
G2_003_0002,G2,standard,50,220,100,50,25,35,8,2,LHW,车型2_003
G2_003_0003,G2,standard,100,220,100,50,25,35,8,2,LHW,车型2_003
G2_003_0004,G2,standard,150,220,100,50,25,35,8,2,LHW,车型2_003
G2_003_0005,G2,standard,200,220,100,50,25,35,8,2,LHW,车型2_003
G2_003_0006,G2,standard,250,220,100,50,25,35,8,2,LHW,车型2_003
G2_003_0007,G2,standard,300,220,100,50,25,35,8,2,LHW,车型2_003
G2_003_0008,G2,standard,350,220,100,50,25,35,8,2,LHW,车型2_003
G2_003_0009,G2,standard,400,220,100,50,25,35,8,2,LHW,车型2_003
G2_003_0010,G2,standard,450,220,100,50,25,35,8,2,LHW,车型2_003
G2_003_0011,G2,standard,500,220,100,50,25,35,8,2,LHW,车型2_003
G2_003_0012,G2,standard,550,220,100,50,25,35,8,2,LHW,车型2_003
G2_003_0013,G2,standard,600,220,100,50,25,35,8,2,LHW,车型2_003
G5_003_0001,G5,oriented,0,100,160,40,40,60,18,1,LWH,车型2_003
G5_003_0002,G5,oriented,40,100,160,40,40,60,18,1,LWH,车型2_003
G5_003_0003,G5,oriented,80,100,160,40,40,60,18,1,LWH,车型2_003
G5_003_0004,G5,oriented,120,100,160,40,40,60,18,1,LWH,车型2_003
G5_003_0005,G5,oriented,160,100,160,40,40,60,18,1,LWH,车型2_003
G5_003_0006,G5,oriented,200,100,160,40,40,60,18,1,LWH,车型2_003
G5_003_0007,G5,oriented,240,100,160,40,40,60,18,1,LWH,车型2_003
G5_003_0008,G5,oriented,280,100,160,40,40,60,18,1,LWH,车型2_003
G5_003_0009,G5,oriented,320,100,160,40,40,60,18,1,LWH,车型2_003
G5_003_0010,G5,oriented,360,100,160,40,40,60,18,1,LWH,车型2_003
G5_003_0011,G5,oriented,400,100,160,40,40,60,18,1,LWH,车型2_003
G5_003_0012,G5,oriented,440,100,160,40,40,60,18,1,LWH,车型2_003
G5_003_0013,G5,oriented,480,100,160,40,40,60,18,1,LWH,车型2_003
G5_003_0014,G5,oriented,520,100,160,40,40,60,18,1,LWH,车型2_003
G5_003_0015,G5,oriented,560,100,160,40,40,60,18,1,LWH,车型2_003
G5_003_0016,G5,oriented,600,100,160,40,40,60,18,1,LWH,车型2_003
G1_003_0036,G1,standard,640,100,160,40,60,30,12,3,WLH,车型2_003
G5_003_0017,G5,oriented,0,160,160,40,40,60,18,1,LWH,车型2_003
G5_003_0018,G5,oriented,40,160,160,40,40,60,18,1,LWH,车型2_003
G5_003_0019,G5,oriented,80,160,160,40,40,60,18,1,LWH,车型2_003
G5_003_0020,G5,oriented,120,160,160,40,40,60,18,1,LWH,车型2_003
G5_003_0021,G5,oriented,160,160,160,40,40,60,18,1,LWH,车型2_003
G5_003_0022,G5,oriented,200,160,160,40,40,60,18,1,LWH,车型2_003
G5_003_0023,G5,oriented,240,160,160,40,40,60,18,1,LWH,车型2_003
G5_003_0024,G5,oriented,280,160,160,40,40,60,18,1,LWH,车型2_003
G5_003_0025,G5,oriented,320,160,160,40,40,60,18,1,LWH,车型2_003
G5_003_0026,G5,oriented,360,160,160,40,40,60,18,1,LWH,车型2_003
G5_003_0027,G5,oriented,400,160,160,40,40,60,18,1,LWH,车型2_003
G5_003_0028,G5,oriented,440,160,160,40,40,60,18,1,LWH,车型2_003
G5_003_0029,G5,oriented,480,160,160,40,40,60,18,1,LWH,车型2_003
G5_003_0030,G5,oriented,520,160,160,40,40,60,18,1,LWH,车型2_003
G1_003_0037,G1,standard,560,160,160,60,40,30,12,1,LWH,车型2_003
G1_003_0038,G1,standard,620,160,160,60,40,30,12,1,LWH,车型2_003
G5_003_0031,G5,oriented,0,200,160,40,40,60,18,1,LWH,车型2_003
G5_003_0032,G5,oriented,40,200,160,40,40,60,18,1,LWH,车型2_003
G5_003_0033,G5,oriented,80,200,160,40,40,60,18,1,LWH,车型2_003
G5_003_0034,G5,oriented,120,200,160,40,40,60,18,1,LWH,车型2_003
G5_003_0035,G5,oriented,160,200,160,40,40,60,18,1,LWH,车型2_003
G5_003_0036,G5,oriented,200,200,160,40,40,60,18,1,LWH,车型2_003
G5_003_0037,G5,oriented,240,200,160,40,40,60,18,1,LWH,车型2_003
G1_003_0039,G1,standard,280,200,160,60,40,30,12,1,LWH,车型2_003
G1_003_0040,G1,standard,340,200,160,60,40,30,12,1,LWH,车型2_003
G1_003_0041,G1,standard,400,200,160,60,40,30,12,1,LWH,车型2_003
G1_003_0042,G1,standard,460,200,160,60,40,30,12,1,LWH,车型2_003
G1_003_0043,G1,standard,520,200,160,60,40,30,12,1,LWH,车型2_003
G1_003_0044,G1,standard,580,200,160,60,40,30,12,1,LWH,车型2_003
G1_003_0045,G1,standard,640,200,160,40,30,60,12,4,WHL,车型2_003
G2_003_0014,G2,standard,0,100,220,50,35,25,8,1,LWH,车型2_003
G2_003_0015,G2,standard,50,100,220,50,35,25,8,1,LWH,车型2_003
G2_003_0016,G2,standard,100,100,220,50,35,25,8,1,LWH,车型2_003
G2_003_0017,G2,standard,150,100,220,50,35,25,8,1,LWH,车型2_003
G2_003_0018,G2,standard,200,100,220,50,35,25,8,1,LWH,车型2_003
G2_003_0019,G2,standard,250,100,220,50,35,25,8,1,LWH,车型2_003
G2_003_0020,G2,standard,300,100,220,50,35,25,8,1,LWH,车型2_003
