item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id
G3_车型2_0121_0001,G3,fragile,0,0,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0002,G3,fragile,70,0,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0003,G3,fragile,140,0,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0004,G3,fragile,210,0,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0005,G3,fragile,280,0,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0006,G3,fragile,350,0,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0007,G3,fragile,420,0,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0008,G3,fragile,490,0,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0009,G3,fragile,560,0,0,70,50,40,15,1,LWH,车型2_0121
G2_车型2_0121_0001,G2,standard,630,0,0,50,35,25,8,1,LWH,车型2_0121
G3_车型2_0121_0010,G3,fragile,0,50,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0011,G3,fragile,70,50,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0012,G3,fragile,140,50,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0013,G3,fragile,210,50,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0014,G3,fragile,280,50,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0015,G3,fragile,350,50,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0016,G3,fragile,420,50,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0017,G3,fragile,490,50,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0018,G3,fragile,560,50,0,70,50,40,15,1,LWH,车型2_0121
G2_车型2_0121_0002,G2,standard,630,50,0,50,35,25,8,1,LWH,车型2_0121
G3_车型2_0121_0019,G3,fragile,0,100,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0020,G3,fragile,70,100,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0021,G3,fragile,140,100,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0022,G3,fragile,210,100,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0023,G3,fragile,280,100,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0024,G3,fragile,350,100,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0025,G3,fragile,420,100,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0026,G3,fragile,490,100,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0027,G3,fragile,560,100,0,70,50,40,15,1,LWH,车型2_0121
G2_车型2_0121_0003,G2,standard,630,100,0,50,35,25,8,1,LWH,车型2_0121
G3_车型2_0121_0028,G3,fragile,0,150,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0029,G3,fragile,70,150,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0030,G3,fragile,140,150,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0031,G3,fragile,210,150,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0032,G3,fragile,280,150,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0033,G3,fragile,350,150,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0034,G3,fragile,420,150,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0035,G3,fragile,490,150,0,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0036,G3,fragile,560,150,0,70,50,40,15,1,LWH,车型2_0121
G2_车型2_0121_0004,G2,standard,630,150,0,50,35,25,8,1,LWH,车型2_0121
G1_车型2_0121_0001,G1,standard,0,200,0,60,40,30,12,1,LWH,车型2_0121
G1_车型2_0121_0002,G1,standard,60,200,0,60,40,30,12,1,LWH,车型2_0121
G1_车型2_0121_0003,G1,standard,120,200,0,60,40,30,12,1,LWH,车型2_0121
G1_车型2_0121_0004,G1,standard,180,200,0,60,40,30,12,1,LWH,车型2_0121
G1_车型2_0121_0005,G1,standard,240,200,0,60,40,30,12,1,LWH,车型2_0121
G1_车型2_0121_0006,G1,standard,300,200,0,60,40,30,12,1,LWH,车型2_0121
G1_车型2_0121_0007,G1,standard,360,200,0,60,40,30,12,1,LWH,车型2_0121
G1_车型2_0121_0008,G1,standard,420,200,0,60,40,30,12,1,LWH,车型2_0121
G1_车型2_0121_0009,G1,standard,480,200,0,60,40,30,12,1,LWH,车型2_0121
G1_车型2_0121_0010,G1,standard,540,200,0,60,40,30,12,1,LWH,车型2_0121
G1_车型2_0121_0011,G1,standard,600,200,0,60,40,30,12,1,LWH,车型2_0121
G3_车型2_0121_0037,G3,fragile,0,0,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0038,G3,fragile,70,0,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0039,G3,fragile,140,0,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0040,G3,fragile,210,0,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0041,G3,fragile,280,0,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0042,G3,fragile,350,0,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0043,G3,fragile,420,0,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0044,G3,fragile,490,0,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0045,G3,fragile,560,0,40,70,50,40,15,1,LWH,车型2_0121
G2_车型2_0121_0005,G2,standard,630,0,40,50,35,25,8,1,LWH,车型2_0121
G3_车型2_0121_0046,G3,fragile,0,50,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0047,G3,fragile,70,50,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0048,G3,fragile,140,50,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0049,G3,fragile,210,50,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0050,G3,fragile,280,50,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0051,G3,fragile,350,50,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0052,G3,fragile,420,50,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0053,G3,fragile,490,50,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0054,G3,fragile,560,50,40,70,50,40,15,1,LWH,车型2_0121
G2_车型2_0121_0006,G2,standard,630,50,40,50,35,25,8,1,LWH,车型2_0121
G3_车型2_0121_0055,G3,fragile,0,100,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0056,G3,fragile,70,100,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0057,G3,fragile,140,100,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0058,G3,fragile,210,100,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0059,G3,fragile,280,100,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0060,G3,fragile,350,100,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0061,G3,fragile,420,100,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0062,G3,fragile,490,100,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0063,G3,fragile,560,100,40,70,50,40,15,1,LWH,车型2_0121
G2_车型2_0121_0007,G2,standard,630,100,40,50,35,25,8,1,LWH,车型2_0121
G3_车型2_0121_0064,G3,fragile,0,150,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0065,G3,fragile,70,150,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0066,G3,fragile,140,150,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0067,G3,fragile,210,150,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0068,G3,fragile,280,150,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0069,G3,fragile,350,150,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0070,G3,fragile,420,150,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0071,G3,fragile,490,150,40,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0072,G3,fragile,560,150,40,70,50,40,15,1,LWH,车型2_0121
G2_车型2_0121_0008,G2,standard,630,150,40,50,35,25,8,1,LWH,车型2_0121
G3_车型2_0121_0073,G3,fragile,0,0,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0074,G3,fragile,70,0,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0075,G3,fragile,140,0,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0076,G3,fragile,210,0,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0077,G3,fragile,280,0,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0078,G3,fragile,350,0,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0079,G3,fragile,420,0,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0080,G3,fragile,490,0,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0081,G3,fragile,560,0,80,70,50,40,15,1,LWH,车型2_0121
G2_车型2_0121_0009,G2,standard,630,0,80,50,35,25,8,1,LWH,车型2_0121
G3_车型2_0121_0082,G3,fragile,0,50,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0083,G3,fragile,70,50,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0084,G3,fragile,140,50,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0085,G3,fragile,210,50,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0086,G3,fragile,280,50,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0087,G3,fragile,350,50,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0088,G3,fragile,420,50,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0089,G3,fragile,490,50,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0090,G3,fragile,560,50,80,70,50,40,15,1,LWH,车型2_0121
G2_车型2_0121_0010,G2,standard,630,50,80,50,35,25,8,1,LWH,车型2_0121
G3_车型2_0121_0091,G3,fragile,0,100,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0092,G3,fragile,70,100,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0093,G3,fragile,140,100,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0094,G3,fragile,210,100,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0095,G3,fragile,280,100,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0096,G3,fragile,350,100,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0097,G3,fragile,420,100,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0098,G3,fragile,490,100,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0099,G3,fragile,560,100,80,70,50,40,15,1,LWH,车型2_0121
G2_车型2_0121_0011,G2,standard,630,100,80,50,35,25,8,1,LWH,车型2_0121
G3_车型2_0121_0100,G3,fragile,0,150,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0101,G3,fragile,70,150,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0102,G3,fragile,140,150,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0103,G3,fragile,210,150,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0104,G3,fragile,280,150,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0105,G3,fragile,350,150,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0106,G3,fragile,420,150,80,70,50,40,15,1,LWH,车型2_0121
G3_车型2_0121_0107,G3,fragile,490,150,80,70,50,40,15,1,LWH,车型2_0121
