problem,vehicle_id,truck_name,strategy,item_count,used_weight,max_weight,weight_util,used_volume,effective_volume,space_util,fullness_score,cost
2.1,车型1_001,车型1,std_first,49,945.00,6000.00,0.157500,8580000,19139400,0.448290,0.366869,450.00
2.1,车型2_002,车型2,dir_first,52,915.00,10000.00,0.091500,7588000,41150200,0.184398,0.158386,700.00
2.1,车型1_003,车型1,std_first,74,1470.00,6000.00,0.245000,12280000,19139400,0.641608,0.530558,450.00
2.1,车型2_004,车型2,dir_first,62,1082.00,10000.00,0.108200,7864000,41150200,0.191105,0.167891,700.00
2.1,车型1_005,车型1,std_first,74,1470.00,6000.00,0.245000,12280000,19139400,0.641608,0.530558,450.00
2.1,车型2_006,车型2,dir_first,74,1160.00,10000.00,0.116000,8126000,41150200,0.197472,0.174660,700.00
2.1,车型2_007,车型2,dir_first,69,1013.00,10000.00,0.101300,7549250,41150200,0.183456,0.160452,700.00
2.1,车型2_008,车型2,dir_first,64,1006.00,10000.00,0.100600,6885000,41150200,0.167314,0.148634,700.00
2.1,车型2_009,车型2,dir_first,68,1018.00,10000.00,0.101800,6357000,41150200,0.154483,0.139732,700.00
2.1,车型2_010,车型2,dir_first,63,841.00,10000.00,0.084100,5959500,41150200,0.144823,0.127821,700.00
2.1,车型2_011,车型2,dir_first,69,914.00,10000.00,0.091400,5830250,41150200,0.141682,0.127603,700.00
2.1,车型2_012,车型2,dir_first,63,886.00,10000.00,0.088600,6087250,41150200,0.147928,0.131316,700.00
2.1,车型2_013,车型2,dir_first,63,880.00,10000.00,0.088000,6063250,41150200,0.147344,0.130728,700.00
2.1,车型2_014,车型2,dir_first,62,852.00,10000.00,0.085200,6027000,41150200,0.146463,0.129310,700.00
2.1,车型2_015,车型2,dir_first,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.1,车型2_016,车型2,dir_first,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.1,车型2_017,车型2,dir_first,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.1,车型2_018,车型2,dir_first,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.1,车型2_019,车型2,dir_first,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.1,车型2_020,车型2,dir_first,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.1,车型2_021,车型2,dir_first,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.1,车型2_022,车型2,dir_first,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.1,车型2_023,车型2,dir_first,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.1,车型2_024,车型2,dir_first,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.1,车型2_025,车型2,dir_first,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.1,车型2_026,车型2,dir_first,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.1,车型2_027,车型2,dir_first,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.1,车型2_028,车型2,dir_first,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.1,车型2_029,车型2,dir_first,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.1,车型2_030,车型2,dir_first,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.1,车型2_031,车型2,dir_first,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.1,车型2_032,车型2,dir_first,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.1,车型2_033,车型2,dir_first,60,822.00,10000.00,0.082200,5523000,41150200,0.134216,0.119651,700.00
2.1,车型2_034,车型2,dir_first,59,804.00,10000.00,0.080400,5315000,41150200,0.129161,0.115508,700.00
2.1,车型2_035,车型2,dir_first,59,804.00,10000.00,0.080400,5315000,41150200,0.129161,0.115508,700.00
2.1,车型2_036,车型2,dir_first,60,808.00,10000.00,0.080800,5330500,41150200,0.129538,0.115891,700.00
2.1,车型2_037,车型2,dir_first,60,808.00,10000.00,0.080800,5330500,41150200,0.129538,0.115891,700.00
2.1,车型2_038,车型2,dir_first,60,808.00,10000.00,0.080800,5330500,41150200,0.129538,0.115891,700.00
2.1,车型2_039,车型2,dir_first,61,778.00,10000.00,0.077800,5197750,41150200,0.126312,0.112728,700.00
2.1,车型2_040,车型2,dir_first,59,696.00,10000.00,0.069600,4772750,41150200,0.115984,0.102996,700.00
2.1,车型2_041,车型2,dir_first,60,708.00,10000.00,0.070800,4844750,41150200,0.117733,0.104592,700.00
2.1,车型2_042,车型2,dir_first,61,720.00,10000.00,0.072000,4916750,41150200,0.119483,0.106188,700.00
2.1,车型2_043,车型2,dir_first,58,756.00,10000.00,0.075600,5514000,41150200,0.133997,0.117646,700.00
2.1,车型2_044,车型2,dir_first,69,676.00,10000.00,0.067600,3894500,41150200,0.094641,0.087070,700.00
2.1,车型2_045,车型2,dir_first,69,676.00,10000.00,0.067600,3894500,41150200,0.094641,0.087070,700.00
2.1,车型2_046,车型2,dir_first,69,672.00,10000.00,0.067200,3866250,41150200,0.093955,0.086463,700.00
2.1,车型2_047,车型2,dir_first,71,684.00,10000.00,0.068400,3925500,41150200,0.095394,0.087836,700.00
2.1,车型1_048,车型1,std_first,79,632.00,6000.00,0.105333,3456250,19139400,0.180583,0.159513,450.00
