problem,vehicle_id,truck_name,item_id,type_id,category,x,y,z,length,width,height,weight,rotation,orientation_id,support_by
2.2,车型1_001,车型1,G3_车型1_001_0001,G3,fragile,0,0,0,70,50,40,15.00,LWH,1,
2.2,车型1_001,车型1,G3_车型1_001_0002,G3,fragile,0,50,0,70,50,40,15.00,LWH,1,
2.2,车型1_001,车型1,G3_车型1_001_0003,G3,fragile,0,100,0,70,50,40,15.00,LWH,1,
2.2,车型1_001,车型1,G3_车型1_001_0004,G3,fragile,0,150,0,70,50,40,15.00,LWH,1,
2.2,车型1_001,车型1,G3_车型1_001_0005,G3,fragile,70,0,0,70,50,40,15.00,LWH,1,
2.2,车型1_001,车型1,G3_车型1_001_0006,G3,fragile,70,50,0,70,50,40,15.00,LWH,1,
2.2,车型1_001,车型1,G3_车型1_001_0007,G3,fragile,70,100,0,70,50,40,15.00,LWH,1,
2.2,车型1_001,车型1,G3_车型1_001_0008,G3,fragile,70,150,0,70,50,40,15.00,LWH,1,
2.2,车型1_001,车型1,G3_车型1_001_0009,G3,fragile,140,0,0,70,50,40,15.00,LWH,1,
2.2,车型1_001,车型1,G3_车型1_001_0010,G3,fragile,140,50,0,70,50,40,15.00,LWH,1,
2.2,车型1_001,车型1,G3_车型1_001_0011,G3,fragile,140,100,0,70,50,40,15.00,LWH,1,
2.2,车型1_001,车型1,G3_车型1_001_0012,G3,fragile,140,150,0,70,50,40,15.00,LWH,1,
2.2,车型1_001,车型1,G4_车型1_001_0001,G4,oriented,210,0,0,80,60,50,25.00,LWH,1,
2.2,车型1_001,车型1,G4_车型1_001_0002,G4,oriented,210,60,0,80,60,50,25.00,LWH,1,
2.2,车型1_001,车型1,G4_车型1_001_0003,G4,oriented,210,120,0,80,60,50,25.00,LWH,1,
2.2,车型1_001,车型1,G1_车型1_001_0001,G1,standard,210,180,0,60,30,40,12.00,LHW,2,
2.2,车型1_001,车型1,G4_车型1_001_0004,G4,oriented,290,0,0,80,60,50,25.00,LWH,1,
2.2,车型1_001,车型1,G4_车型1_001_0005,G4,oriented,290,60,0,80,60,50,25.00,LWH,1,
2.2,车型1_001,车型1,G4_车型1_001_0006,G4,oriented,290,120,0,80,60,50,25.00,LWH,1,
2.2,车型1_001,车型1,G1_车型1_001_0002,G1,standard,290,180,0,60,30,40,12.00,LHW,2,
2.2,车型1_001,车型1,G3_车型1_001_0013,G3,fragile,370,0,0,50,70,40,15.00,WLH,2,
2.2,车型1_001,车型1,G3_车型1_001_0014,G3,fragile,370,70,0,50,70,40,15.00,WLH,2,
2.2,车型1_001,车型1,G3_车型1_001_0015,G3,fragile,370,140,0,50,70,40,15.00,WLH,2,
2.2,车型1_001,车型1,G4_车型1_001_0007,G4,oriented,210,0,50,80,60,50,25.00,LWH,1,G4_车型1_001_0001
2.2,车型1_001,车型1,G4_车型1_001_0008,G4,oriented,290,0,50,80,60,50,25.00,LWH,1,G4_车型1_001_0004
2.2,车型1_001,车型1,G4_车型1_001_0009,G4,oriented,210,60,50,80,60,50,25.00,LWH,1,G4_车型1_001_0002
2.2,车型1_001,车型1,G4_车型1_001_0010,G4,oriented,290,60,50,80,60,50,25.00,LWH,1,G4_车型1_001_0005
2.2,车型1_001,车型1,G4_车型1_001_0011,G4,oriented,210,120,50,80,60,50,25.00,LWH,1,G4_车型1_001_0003
2.2,车型1_001,车型1,G4_车型1_001_0012,G4,oriented,290,120,50,80,60,50,25.00,LWH,1,G4_车型1_001_0006
2.2,车型1_001,车型1,G4_车型1_001_0013,G4,oriented,210,0,100,80,60,50,25.00,LWH,1,G4_车型1_001_0007
2.2,车型1_001,车型1,G4_车型1_001_0014,G4,oriented,290,0,100,80,60,50,25.00,LWH,1,G4_车型1_001_0008
2.2,车型1_001,车型1,G4_车型1_001_0015,G4,oriented,210,60,100,80,60,50,25.00,LWH,1,G4_车型1_001_0009
2.2,车型1_001,车型1,G4_车型1_001_0016,G4,oriented,290,60,100,80,60,50,25.00,LWH,1,G4_车型1_001_0010
2.2,车型1_001,车型1,G4_车型1_001_0017,G4,oriented,210,120,100,80,60,50,25.00,LWH,1,G4_车型1_001_0011
2.2,车型1_001,车型1,G4_车型1_001_0018,G4,oriented,290,120,100,80,60,50,25.00,LWH,1,G4_车型1_001_0012
2.2,车型1_001,车型1,G4_车型1_001_0019,G4,oriented,210,0,150,80,60,50,25.00,LWH,1,G4_车型1_001_0013
2.2,车型1_001,车型1,G4_车型1_001_0020,G4,oriented,290,0,150,80,60,50,25.00,LWH,1,G4_车型1_001_0014
2.2,车型1_001,车型1,G4_车型1_001_0021,G4,oriented,210,60,150,80,60,50,25.00,LWH,1,G4_车型1_001_0015
2.2,车型1_001,车型1,G4_车型1_001_0022,G4,oriented,290,60,150,80,60,50,25.00,LWH,1,G4_车型1_001_0016
2.2,车型1_001,车型1,G4_车型1_001_0023,G4,oriented,210,120,150,80,60,50,25.00,LWH,1,G4_车型1_001_0017
2.2,车型1_001,车型1,G4_车型1_001_0024,G4,oriented,290,120,150,80,60,50,25.00,LWH,1,G4_车型1_001_0018
2.2,车型1_001,车型1,G1_车型1_001_0003,G1,standard,210,180,40,60,30,40,12.00,LHW,2,G1_车型1_001_0001
2.2,车型1_001,车型1,G1_车型1_001_0004,G1,standard,210,180,80,60,30,40,12.00,LHW,2,G1_车型1_001_0003
2.2,车型1_001,车型1,G1_车型1_001_0005,G1,standard,210,180,120,60,30,40,12.00,LHW,2,G1_车型1_001_0004
2.2,车型1_001,车型1,G1_车型1_001_0006,G1,standard,210,180,160,60,30,40,12.00,LHW,2,G1_车型1_001_0005
2.2,车型1_001,车型1,G1_车型1_001_0007,G1,standard,290,180,40,60,30,40,12.00,LHW,2,G1_车型1_001_0002
2.2,车型1_001,车型1,G1_车型1_001_0008,G1,standard,290,180,80,60,30,40,12.00,LHW,2,G1_车型1_001_0007
2.2,车型1_001,车型1,G1_车型1_001_0009,G1,standard,290,180,120,60,30,40,12.00,LHW,2,G1_车型1_001_0008
2.2,车型1_001,车型1,G1_车型1_001_0010,G1,standard,290,180,160,60,30,40,12.00,LHW,2,G1_车型1_001_0009
2.2,车型1_002,车型1,G3_车型1_002_0001,G3,fragile,0,0,0,70,50,40,15.00,LWH,1,
2.2,车型1_002,车型1,G3_车型1_002_0002,G3,fragile,0,50,0,70,50,40,15.00,LWH,1,
2.2,车型1_002,车型1,G3_车型1_002_0003,G3,fragile,0,100,0,70,50,40,15.00,LWH,1,
2.2,车型1_002,车型1,G3_车型1_002_0004,G3,fragile,0,150,0,70,50,40,15.00,LWH,1,
2.2,车型1_002,车型1,G3_车型1_002_0005,G3,fragile,70,0,0,70,50,40,15.00,LWH,1,
2.2,车型1_002,车型1,G3_车型1_002_0006,G3,fragile,70,50,0,70,50,40,15.00,LWH,1,
2.2,车型1_002,车型1,G3_车型1_002_0007,G3,fragile,70,100,0,70,50,40,15.00,LWH,1,
2.2,车型1_002,车型1,G3_车型1_002_0008,G3,fragile,70,150,0,70,50,40,15.00,LWH,1,
2.2,车型1_002,车型1,G3_车型1_002_0009,G3,fragile,140,0,0,70,50,40,15.00,LWH,1,
2.2,车型1_002,车型1,G3_车型1_002_0010,G3,fragile,140,50,0,70,50,40,15.00,LWH,1,
2.2,车型1_002,车型1,G3_车型1_002_0011,G3,fragile,140,100,0,70,50,40,15.00,LWH,1,
2.2,车型1_002,车型1,G3_车型1_002_0012,G3,fragile,140,150,0,70,50,40,15.00,LWH,1,
2.2,车型1_002,车型1,G4_车型1_002_0001,G4,oriented,210,0,0,80,60,50,25.00,LWH,1,
2.2,车型1_002,车型1,G4_车型1_002_0002,G4,oriented,210,60,0,80,60,50,25.00,LWH,1,
2.2,车型1_002,车型1,G4_车型1_002_0003,G4,oriented,210,120,0,80,60,50,25.00,LWH,1,
2.2,车型1_002,车型1,G1_车型1_002_0001,G1,standard,210,180,0,60,30,40,12.00,LHW,2,
2.2,车型1_002,车型1,G4_车型1_002_0004,G4,oriented,290,0,0,80,60,50,25.00,LWH,1,
2.2,车型1_002,车型1,G4_车型1_002_0005,G4,oriented,290,60,0,80,60,50,25.00,LWH,1,
2.2,车型1_002,车型1,G4_车型1_002_0006,G4,oriented,290,120,0,80,60,50,25.00,LWH,1,
2.2,车型1_002,车型1,G1_车型1_002_0002,G1,standard,290,180,0,60,30,40,12.00,LHW,2,
2.2,车型1_002,车型1,G3_车型1_002_0013,G3,fragile,370,0,0,50,70,40,15.00,WLH,2,
2.2,车型1_002,车型1,G3_车型1_002_0014,G3,fragile,370,70,0,50,70,40,15.00,WLH,2,
2.2,车型1_002,车型1,G3_车型1_002_0015,G3,fragile,370,140,0,50,70,40,15.00,WLH,2,
2.2,车型1_002,车型1,G4_车型1_002_0007,G4,oriented,210,0,50,80,60,50,25.00,LWH,1,G4_车型1_002_0001
2.2,车型1_002,车型1,G4_车型1_002_0008,G4,oriented,290,0,50,80,60,50,25.00,LWH,1,G4_车型1_002_0004
2.2,车型1_002,车型1,G4_车型1_002_0009,G4,oriented,210,60,50,80,60,50,25.00,LWH,1,G4_车型1_002_0002
2.2,车型1_002,车型1,G4_车型1_002_0010,G4,oriented,290,60,50,80,60,50,25.00,LWH,1,G4_车型1_002_0005
2.2,车型1_002,车型1,G4_车型1_002_0011,G4,oriented,210,120,50,80,60,50,25.00,LWH,1,G4_车型1_002_0003
2.2,车型1_002,车型1,G4_车型1_002_0012,G4,oriented,290,120,50,80,60,50,25.00,LWH,1,G4_车型1_002_0006
2.2,车型1_002,车型1,G4_车型1_002_0013,G4,oriented,210,0,100,80,60,50,25.00,LWH,1,G4_车型1_002_0007
2.2,车型1_002,车型1,G4_车型1_002_0014,G4,oriented,290,0,100,80,60,50,25.00,LWH,1,G4_车型1_002_0008
2.2,车型1_002,车型1,G4_车型1_002_0015,G4,oriented,210,60,100,80,60,50,25.00,LWH,1,G4_车型1_002_0009
2.2,车型1_002,车型1,G4_车型1_002_0016,G4,oriented,290,60,100,80,60,50,25.00,LWH,1,G4_车型1_002_0010
2.2,车型1_002,车型1,G4_车型1_002_0017,G4,oriented,210,120,100,80,60,50,25.00,LWH,1,G4_车型1_002_0011
2.2,车型1_002,车型1,G4_车型1_002_0018,G4,oriented,290,120,100,80,60,50,25.00,LWH,1,G4_车型1_002_0012
2.2,车型1_002,车型1,G4_车型1_002_0019,G4,oriented,210,0,150,80,60,50,25.00,LWH,1,G4_车型1_002_0013
2.2,车型1_002,车型1,G4_车型1_002_0020,G4,oriented,290,0,150,80,60,50,25.00,LWH,1,G4_车型1_002_0014
2.2,车型1_002,车型1,G4_车型1_002_0021,G4,oriented,210,60,150,80,60,50,25.00,LWH,1,G4_车型1_002_0015
2.2,车型1_002,车型1,G4_车型1_002_0022,G4,oriented,290,60,150,80,60,50,25.00,LWH,1,G4_车型1_002_0016
2.2,车型1_002,车型1,G4_车型1_002_0023,G4,oriented,210,120,150,80,60,50,25.00,LWH,1,G4_车型1_002_0017
2.2,车型1_002,车型1,G4_车型1_002_0024,G4,oriented,290,120,150,80,60,50,25.00,LWH,1,G4_车型1_002_0018
2.2,车型1_002,车型1,G1_车型1_002_0003,G1,standard,210,180,40,60,30,40,12.00,LHW,2,G1_车型1_002_0001
2.2,车型1_002,车型1,G1_车型1_002_0004,G1,standard,210,180,80,60,30,40,12.00,LHW,2,G1_车型1_002_0003
2.2,车型1_002,车型1,G1_车型1_002_0005,G1,standard,210,180,120,60,30,40,12.00,LHW,2,G1_车型1_002_0004
2.2,车型1_002,车型1,G1_车型1_002_0006,G1,standard,210,180,160,60,30,40,12.00,LHW,2,G1_车型1_002_0005
2.2,车型1_002,车型1,G1_车型1_002_0007,G1,standard,290,180,40,60,30,40,12.00,LHW,2,G1_车型1_002_0002
2.2,车型1_002,车型1,G1_车型1_002_0008,G1,standard,290,180,80,60,30,40,12.00,LHW,2,G1_车型1_002_0007
2.2,车型1_002,车型1,G1_车型1_002_0009,G1,standard,290,180,120,60,30,40,12.00,LHW,2,G1_车型1_002_0008
2.2,车型1_002,车型1,G1_车型1_002_0010,G1,standard,290,180,160,60,30,40,12.00,LHW,2,G1_车型1_002_0009
2.2,车型1_003,车型1,G3_车型1_003_0001,G3,fragile,0,0,0,70,50,40,15.00,LWH,1,
2.2,车型1_003,车型1,G3_车型1_003_0002,G3,fragile,0,50,0,70,50,40,15.00,LWH,1,
2.2,车型1_003,车型1,G3_车型1_003_0003,G3,fragile,0,100,0,70,50,40,15.00,LWH,1,
2.2,车型1_003,车型1,G3_车型1_003_0004,G3,fragile,0,150,0,70,50,40,15.00,LWH,1,
2.2,车型1_003,车型1,G5_车型1_003_0001,G5,oriented,70,0,0,40,40,60,18.00,LWH,1,
2.2,车型1_003,车型1,G5_车型1_003_0002,G5,oriented,70,40,0,40,40,60,18.00,LWH,1,
2.2,车型1_003,车型1,G5_车型1_003_0003,G5,oriented,70,80,0,40,40,60,18.00,LWH,1,
2.2,车型1_003,车型1,G5_车型1_003_0004,G5,oriented,70,120,0,40,40,60,18.00,LWH,1,
2.2,车型1_003,车型1,G5_车型1_003_0005,G5,oriented,70,160,0,40,40,60,18.00,LWH,1,
2.2,车型1_003,车型1,G5_车型1_003_0006,G5,oriented,70,0,60,40,40,60,18.00,LWH,1,G5_车型1_003_0001
2.2,车型1_003,车型1,G5_车型1_003_0007,G5,oriented,70,0,120,40,40,60,18.00,LWH,1,G5_车型1_003_0006
2.2,车型1_003,车型1,G5_车型1_003_0008,G5,oriented,70,40,60,40,40,60,18.00,LWH,1,G5_车型1_003_0002
2.2,车型1_003,车型1,G5_车型1_003_0009,G5,oriented,70,40,120,40,40,60,18.00,LWH,1,G5_车型1_003_0008
2.2,车型1_003,车型1,G5_车型1_003_0010,G5,oriented,70,80,60,40,40,60,18.00,LWH,1,G5_车型1_003_0003
2.2,车型1_003,车型1,G5_车型1_003_0011,G5,oriented,70,80,120,40,40,60,18.00,LWH,1,G5_车型1_003_0010
2.2,车型1_003,车型1,G5_车型1_003_0012,G5,oriented,70,120,60,40,40,60,18.00,LWH,1,G5_车型1_003_0004
2.2,车型1_003,车型1,G5_车型1_003_0013,G5,oriented,70,120,120,40,40,60,18.00,LWH,1,G5_车型1_003_0012
2.2,车型1_003,车型1,G5_车型1_003_0014,G5,oriented,70,160,60,40,40,60,18.00,LWH,1,G5_车型1_003_0005
2.2,车型1_003,车型1,G5_车型1_003_0015,G5,oriented,70,160,120,40,40,60,18.00,LWH,1,G5_车型1_003_0014
