cargo_type,scale,original_quantity,new_quantity,x_truck1,y_truck2,vehicle_count,total_cost,feasible,construction_mode
G1,0.5,800,400,1,12,13,8850.0,True,"直接复用p12边界解(0,13)+低载车型2->车型1转换"
G1,0.75,800,600,1,12,13,8850.0,True,"直接复用p12边界解(0,13)+低载车型2->车型1转换"
G1,1.0,800,800,1,12,13,8850.0,True,"直接复用p12边界解(0,13)+低载车型2->车型1转换"
G1,1.25,800,1000,0,13,13,9100.0,True,"直接复用p12边界解(0,13)"
G1,1.5,800,1200,1,13,14,9550.0,True,"直接复用p12边界解(0,13)+低载车型2->车型1转换"
G1,2.0,800,1600,1,15,16,10950.0,True,"直接复用p12边界解(0,13)+低载车型2->车型1转换"
G2,0.5,1000,500,1,12,13,8850.0,True,"直接复用p12边界解(0,13)+低载车型2->车型1转换"
G2,0.75,1000,750,1,12,13,8850.0,True,"直接复用p12边界解(0,13)+低载车型2->车型1转换"
G2,1.0,1000,1000,1,12,13,8850.0,True,"直接复用p12边界解(0,13)+低载车型2->车型1转换"
G2,1.25,1000,1250,0,13,13,9100.0,True,"直接复用p12边界解(0,13)"
G2,1.5,1000,1500,1,13,14,9550.0,True,"直接复用p12边界解(0,13)+低载车型2->车型1转换"
G2,2.0,1000,2000,1,13,14,9550.0,True,"直接复用p12边界解(0,13)+低载车型2->车型1转换"
G3,0.5,300,150,4,8,12,7400.0,True,"强验证固定点(3,9)-车型1优先-r1+低载车型2->车型1转换"
G3,0.75,300,225,1,11,12,8150.0,True,"直接复用p12边界解(0,13)+低载车型2->车型1转换"
G3,1.0,300,300,1,12,13,8850.0,True,"直接复用p12边界解(0,13)+低载车型2->车型1转换"
G3,1.25,300,375,1,14,15,10250.0,True,"直接复用p12边界解(0,13)+低载车型2->车型1转换"
G3,1.5,300,450,0,16,16,11200.0,True,"直接复用p12边界解(0,13)"
G3,2.0,300,600,0,20,20,14000.0,True,"直接复用p12边界解(0,13)"
G4,0.5,400,200,0,11,11,7700.0,True,"直接复用p12边界解(0,13)"
G4,0.75,400,300,1,11,12,8150.0,True,"直接复用p12边界解(0,13)+低载车型2->车型1转换"
G4,1.0,400,400,0,13,13,9100.0,True,"直接复用p12边界解(0,13)"
G4,1.25,400,500,1,13,14,9550.0,True,"直接复用p12边界解(0,13)+低载车型2->车型1转换"
G4,1.5,400,600,0,14,14,9800.0,True,"直接复用p12边界解(0,13)"
G4,2.0,400,800,1,15,16,10950.0,True,"直接复用p12边界解(0,13)+低载车型2->车型1转换"
G5,0.5,500,250,0,12,12,8400.0,True,"直接复用p12边界解(0,13)"
G5,0.75,500,375,1,12,13,8850.0,True,"直接复用p12边界解(0,13)+低载车型2->车型1转换"
G5,1.0,500,500,1,12,13,8850.0,True,"直接复用p12边界解(0,13)+低载车型2->车型1转换"
G5,1.25,500,625,0,13,13,9100.0,True,"直接复用p12边界解(0,13)"
G5,1.5,500,750,1,13,14,9550.0,True,"直接复用p12边界解(0,13)+低载车型2->车型1转换"
G5,2.0,500,1000,0,14,14,9800.0,True,"直接复用p12边界解(0,13)"
