truck_name,param_name,param_value,vehicle_count,total_cost,avg_space_utilization,avg_weight_utilization,avg_fullness_score,success,error
车型2,MAX_TEMPLATES_PER_TRUCK,20,14,9800.0,0.50651,0.293571,0.446887,1,
车型2,MAX_TEMPLATES_PER_TRUCK,25,13,9100.0,0.545398,0.316154,0.48121,1,
车型2,MAX_TEMPLATES_PER_TRUCK,30,14,9800.0,0.506476,0.293571,0.446863,1,
车型2,MAX_TEMPLATES_PER_TRUCK,35,14,9800.0,0.506476,0.293571,0.446863,1,
车型2,MAX_TEMPLATES_PER_TRUCK,40,14,9800.0,0.50842,0.293571,0.448262,1,
车型2,MAX_SPACES_TO_CHECK,40,14,9800.0,0.507698,0.293571,0.447742,1,
车型2,MAX_SPACES_TO_CHECK,60,14,9800.0,0.507434,0.293571,0.447552,1,
车型2,MAX_SPACES_TO_CHECK,80,14,9800.0,0.50842,0.293571,0.448262,1,
车型2,MAX_SPACES_TO_CHECK,100,14,9800.0,0.50842,0.293571,0.448262,1,
车型2,MAX_SPACES_TO_CHECK,120,14,9800.0,0.50842,0.293571,0.448262,1,
车型2,MIN_SPACE_VOLUME,10000,14,9800.0,0.50842,0.293571,0.448262,1,
车型2,MIN_SPACE_VOLUME,15000,14,9800.0,0.50842,0.293571,0.448262,1,
车型2,MIN_SPACE_VOLUME,20000,14,9800.0,0.50842,0.293571,0.448262,1,
车型2,MIN_SPACE_VOLUME,25000,14,9800.0,0.50842,0.293571,0.448262,1,
车型2,MIN_SPACE_VOLUME,30000,14,9800.0,0.50842,0.293571,0.448262,1,
