truck_name,cargo_type,scale,original_quantity,new_quantity,vehicle_count,total_cost,avg_space_utilization,avg_weight_utilization,all_loaded
车型1,G1,0.5,800,400,24,10800.0,0.562866,0.252083,True
车型1,G1,0.75,800,600,25,11250.0,0.570446,0.258,True
车型1,G1,1.0,800,800,25,11250.0,0.600541,0.274,True
车型1,G1,1.25,800,1000,25,11250.0,0.630636,0.29,True
车型1,G1,1.5,800,1200,26,11700.0,0.635319,0.294231,True
车型1,G1,2.0,800,1600,29,13050.0,0.621484,0.291379,True
车型1,G2,0.5,1000,500,25,11250.0,0.554824,0.247333,True
车型1,G2,0.75,1000,750,25,11250.0,0.577683,0.260667,True
车型1,G2,1.0,1000,1000,25,11250.0,0.600541,0.274,True
车型1,G2,1.25,1000,1250,25,11250.0,0.6234,0.287333,True
车型1,G2,1.5,1000,1500,25,11250.0,0.646259,0.300667,True
车型1,G2,2.0,1000,2000,25,11250.0,0.691976,0.327333,True
车型1,G3,0.5,300,150,19,8550.0,0.732438,0.340789,True
车型1,G3,0.75,300,225,22,9900.0,0.657497,0.302841,True
车型1,G3,1.0,300,300,25,11250.0,0.600541,0.274,True
车型1,G3,1.25,300,375,28,12600.0,0.555791,0.251339,True
车型1,G3,1.5,300,450,32,14400.0,0.503461,0.225781,True
车型1,G3,2.0,300,600,38,17100.0,0.452841,0.2,True
车型1,G4,0.5,400,200,22,9900.0,0.568437,0.273485,True
车型1,G4,0.75,400,300,24,10800.0,0.573316,0.268056,True
车型1,G4,1.0,400,400,25,11250.0,0.600541,0.274,True
车型1,G4,1.25,400,500,27,12150.0,0.6025,0.269136,True
车型1,G4,1.5,400,600,28,12600.0,0.625766,0.274405,True
车型1,G4,2.0,400,800,31,13950.0,0.646109,0.274731,True
车型1,G5,0.5,500,250,24,10800.0,0.573316,0.254167,True
车型1,G5,0.75,500,375,24,10800.0,0.59944,0.269792,True
车型1,G5,1.0,500,500,25,11250.0,0.600541,0.274,True
车型1,G5,1.25,500,625,26,11700.0,0.601558,0.277885,True
车型1,G5,1.5,500,750,27,12150.0,0.6025,0.281481,True
车型1,G5,2.0,500,1000,29,13050.0,0.604188,0.287931,True
车型2,G1,0.5,800,400,13,9100.0,0.483314,0.279231,True
车型2,G1,0.75,800,600,14,9800.0,0.473787,0.276429,True
车型2,G1,1.0,800,800,13,9100.0,0.53715,0.316154,True
车型2,G1,1.25,800,1000,13,9100.0,0.564069,0.334615,True
车型2,G1,1.5,800,1200,14,9800.0,0.548774,0.327857,True
车型2,G1,2.0,800,1600,16,11200.0,0.523919,0.316875,True
车型2,G2,0.5,1000,500,13,9100.0,0.496259,0.285385,True
车型2,G2,0.75,1000,750,13,9100.0,0.516705,0.300769,True
车型2,G2,1.0,1000,1000,13,9100.0,0.53715,0.316154,True
车型2,G2,1.25,1000,1250,13,9100.0,0.557596,0.331538,True
车型2,G2,1.5,1000,1500,14,9800.0,0.536753,0.322143,True
车型2,G2,2.0,1000,2000,14,9800.0,0.574724,0.350714,True
车型2,G3,0.5,300,150,12,8400.0,0.539386,0.32375,True
车型2,G3,0.75,300,225,12,8400.0,0.560649,0.333125,True
车型2,G3,1.0,300,300,13,9100.0,0.53715,0.316154,True
车型2,G3,1.25,300,375,15,10500.0,0.482541,0.2815,True
车型2,G3,1.5,300,450,17,11900.0,0.440781,0.255,True
车型2,G3,2.0,300,600,20,14000.0,0.40018,0.228,True
车型2,G4,0.5,400,200,11,7700.0,0.528772,0.328182,True
车型2,G4,0.75,400,300,12,8400.0,0.53331,0.321667,True
车型2,G4,1.0,400,400,13,9100.0,0.53715,0.316154,True
车型2,G4,1.25,400,500,14,9800.0,0.540442,0.311429,True
车型2,G4,1.5,400,600,15,10500.0,0.543294,0.307333,True
车型2,G4,2.0,400,800,16,11200.0,0.582242,0.319375,True
车型2,G5,0.5,500,250,13,9100.0,0.492287,0.281538,True
车型2,G5,0.75,500,375,13,9100.0,0.514719,0.298846,True
车型2,G5,1.0,500,500,13,9100.0,0.53715,0.316154,True
车型2,G5,1.25,500,625,13,9100.0,0.559582,0.333462,True
车型2,G5,1.5,500,750,14,9800.0,0.540442,0.325714,True
车型2,G5,2.0,500,1000,14,9800.0,0.582101,0.357857,True
