item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id,support_by,direct_supported_weight
G4_车型1_022_0001,G4,oriented,0,0,0,80,60,50,25,1,LWH,车型1_022,,25.0
G4_车型1_022_0002,G4,oriented,0,60,0,80,60,50,25,1,LWH,车型1_022,,25.0
G4_车型1_022_0003,G4,oriented,0,120,0,80,60,50,25,1,LWH,车型1_022,,36.0
G4_车型1_022_0004,G4,oriented,80,0,0,80,60,50,25,1,LWH,车型1_022,,25.0
G4_车型1_022_0005,G4,oriented,80,60,0,80,60,50,25,1,LWH,车型1_022,,36.0
G4_车型1_022_0006,G4,oriented,80,120,0,80,60,50,25,1,LWH,车型1_022,,36.0
G4_车型1_022_0007,G4,oriented,160,0,0,80,60,50,25,1,LWH,车型1_022,,25.0
G4_车型1_022_0008,G4,oriented,160,60,0,80,60,50,25,1,LWH,车型1_022,,36.0
G4_车型1_022_0009,G4,oriented,160,120,0,80,60,50,25,1,LWH,车型1_022,,36.0
G4_车型1_022_0010,G4,oriented,240,0,0,80,60,50,25,1,LWH,车型1_022,,25.0
G4_车型1_022_0011,G4,oriented,240,60,0,80,60,50,25,1,LWH,车型1_022,,36.0
G4_车型1_022_0012,G4,oriented,240,120,0,80,60,50,25,1,LWH,车型1_022,,36.0
G4_车型1_022_0013,G4,oriented,320,0,0,80,60,50,25,1,LWH,车型1_022,,25.0
G4_车型1_022_0014,G4,oriented,320,60,0,80,60,50,25,1,LWH,车型1_022,,36.0
G4_车型1_022_0015,G4,oriented,320,120,0,80,60,50,25,1,LWH,车型1_022,,36.0
G4_车型1_022_0016,G4,oriented,0,0,50,80,60,50,25,1,LWH,车型1_022,G4_车型1_022_0001,25.0
G4_车型1_022_0017,G4,oriented,0,0,100,80,60,50,25,1,LWH,车型1_022,G4_车型1_022_0016,25.0
G4_车型1_022_0018,G4,oriented,0,0,150,80,60,50,25,1,LWH,车型1_022,G4_车型1_022_0017,0.0
G4_车型1_022_0019,G4,oriented,80,0,50,80,60,50,25,1,LWH,车型1_022,G4_车型1_022_0004,25.0
G4_车型1_022_0020,G4,oriented,80,0,100,80,60,50,25,1,LWH,车型1_022,G4_车型1_022_0019,25.0
G4_车型1_022_0021,G4,oriented,80,0,150,80,60,50,25,1,LWH,车型1_022,G4_车型1_022_0020,0.0
G4_车型1_022_0022,G4,oriented,160,0,50,80,60,50,25,1,LWH,车型1_022,G4_车型1_022_0007,25.0
G4_车型1_022_0023,G4,oriented,160,0,100,80,60,50,25,1,LWH,车型1_022,G4_车型1_022_0022,25.0
G4_车型1_022_0024,G4,oriented,160,0,150,80,60,50,25,1,LWH,车型1_022,G4_车型1_022_0023,0.0
G4_车型1_022_0025,G4,oriented,240,0,50,80,60,50,25,1,LWH,车型1_022,G4_车型1_022_0010,25.0
G4_车型1_022_0026,G4,oriented,240,0,100,80,60,50,25,1,LWH,车型1_022,G4_车型1_022_0025,25.0
G4_车型1_022_0027,G4,oriented,240,0,150,80,60,50,25,1,LWH,车型1_022,G4_车型1_022_0026,0.0
G4_车型1_022_0028,G4,oriented,320,0,50,80,60,50,25,1,LWH,车型1_022,G4_车型1_022_0013,25.0
G4_车型1_022_0029,G4,oriented,320,0,100,80,60,50,25,1,LWH,车型1_022,G4_车型1_022_0028,25.0
G4_车型1_022_0030,G4,oriented,320,0,150,80,60,50,25,1,LWH,车型1_022,G4_车型1_022_0029,0.0
G4_车型1_022_0031,G4,oriented,0,60,50,80,60,50,25,1,LWH,车型1_022,G4_车型1_022_0002,25.0
G4_车型1_022_0032,G4,oriented,0,60,100,80,60,50,25,1,LWH,车型1_022,G4_车型1_022_0031,36.0
G5_车型1_022_0001,G5,oriented,0,60,150,40,40,60,18,1,LWH,车型1_022,G4_车型1_022_0032,0.0
G5_车型1_022_0002,G5,oriented,40,60,150,40,40,60,18,1,LWH,车型1_022,G4_车型1_022_0032,0.0
G5_车型1_022_0003,G5,oriented,80,60,50,40,40,60,18,1,LWH,车型1_022,G4_车型1_022_0005,18.0
