vehicle_id,space_utilization,weight_utilization,fullness_score,target_counts,actual_counts,loaded_weight_kg,loaded_volume_cm3,feasible_full_pack,policy_desc
车型1_001,0.265721,0.123,0.225759,"{'G3': 18, 'G4': 0, 'G5': 0, 'G1': 1, 'G2': 57}","{'G3': 18, 'G1': 1, 'G2': 57}",738.0,5085750,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_002,0.17622,0.068833,0.146152,"{'G3': 19, 'G4': 0, 'G5': 0, 'G1': 2, 'G2': 13}","{'G3': 19, 'G1': 2, 'G2': 13}",413.0,3372750,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_003,0.197002,0.0745,0.162701,"{'G3': 23, 'G4': 0, 'G5': 3, 'G1': 0, 'G2': 6}","{'G3': 23, 'G5': 3, 'G2': 6}",447.0,3770500,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_004,0.176011,0.067333,0.145581,"{'G3': 20, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 13}","{'G3': 20, 'G2': 13}",404.0,3368750,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_005,0.176011,0.067333,0.145581,"{'G3': 20, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 13}","{'G3': 20, 'G2': 13}",404.0,3368750,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_006,0.176011,0.067333,0.145581,"{'G3': 20, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 13}","{'G3': 20, 'G2': 13}",404.0,3368750,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_007,0.178297,0.068667,0.147601,"{'G3': 20, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 14}","{'G3': 20, 'G2': 14}",412.0,3412500,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_008,0.176011,0.067333,0.145581,"{'G3': 20, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 13}","{'G3': 20, 'G2': 13}",404.0,3368750,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_009,0.176011,0.067333,0.145581,"{'G3': 20, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 13}","{'G3': 20, 'G2': 13}",404.0,3368750,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_010,0.173712,0.067833,0.144066,"{'G3': 19, 'G4': 0, 'G5': 1, 'G1': 0, 'G2': 13}","{'G3': 19, 'G5': 1, 'G2': 13}",407.0,3324750,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_011,0.206315,0.077333,0.1702,"{'G3': 19, 'G4': 3, 'G5': 0, 'G1': 0, 'G2': 13}","{'G3': 19, 'G4': 3, 'G2': 13}",464.0,3948750,True,g3_ratio=0.90;order=G4-G5-G1-G2;wf=0.37;wr=0.52;wv=0.11;row=2;relax=1
车型1_012,0.175554,0.068833,0.145672,"{'G3': 19, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 16}","{'G3': 19, 'G2': 16}",413.0,3360000,True,g3_ratio=0.91;order=G5-G1-G4-G2;wf=0.28;wr=0.39;wv=0.33;row=0;relax=1
车型1_013,0.238252,0.08,0.193941,"{'G3': 12, 'G4': 12, 'G5': 0, 'G1': 0, 'G2': 0}","{'G3': 12, 'G4': 12}",480.0,4560000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_014,0.471488,0.162,0.384831,"{'G3': 0, 'G4': 36, 'G5': 4, 'G1': 0, 'G2': 0}","{'G4': 36, 'G5': 4}",972.0,9024000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_015,0.489044,0.1625,0.397611,"{'G3': 0, 'G4': 39, 'G5': 0, 'G1': 0, 'G2': 0}",{'G4': 39},975.0,9360000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_016,0.489044,0.1625,0.397611,"{'G3': 0, 'G4': 39, 'G5': 0, 'G1': 0, 'G2': 0}",{'G4': 39},975.0,9360000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_017,0.489044,0.1625,0.397611,"{'G3': 0, 'G4': 39, 'G5': 0, 'G1': 0, 'G2': 0}",{'G4': 39},975.0,9360000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_018,0.489044,0.1625,0.397611,"{'G3': 0, 'G4': 39, 'G5': 0, 'G1': 0, 'G2': 0}",{'G4': 39},975.0,9360000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_019,0.489044,0.1625,0.397611,"{'G3': 0, 'G4': 39, 'G5': 0, 'G1': 0, 'G2': 0}",{'G4': 39},975.0,9360000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_020,0.509107,0.179167,0.416724,"{'G3': 0, 'G4': 37, 'G5': 3, 'G1': 8, 'G2': 0}","{'G4': 37, 'G5': 3, 'G1': 8}",1075.0,9744000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_021,0.489044,0.1625,0.397611,"{'G3': 0, 'G4': 39, 'G5': 0, 'G1': 0, 'G2': 0}",{'G4': 39},975.0,9360000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_022,0.493223,0.164167,0.401088,"{'G3': 4, 'G4': 37, 'G5': 0, 'G1': 0, 'G2': 0}","{'G3': 4, 'G4': 37}",985.0,9440000,True,g3_ratio=0.30;order=G5-G1-G4-G2;wf=0.12;wr=0.54;wv=0.34;row=1;relax=0
车型1_023,0.480684,0.16,0.390892,"{'G3': 4, 'G4': 36, 'G5': 0, 'G1': 0, 'G2': 0}","{'G3': 4, 'G4': 36}",960.0,9200000,True,g3_ratio=0.30;order=G5-G1-G4-G2;wf=0.12;wr=0.54;wv=0.34;row=1;relax=0
车型1_024,0.366156,0.219,0.324952,"{'G3': 0, 'G4': 0, 'G5': 73, 'G1': 0, 'G2': 0}",{'G5': 73},1314.0,7008000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_025,0.366156,0.219,0.324952,"{'G3': 0, 'G4': 0, 'G5': 73, 'G1': 0, 'G2': 0}",{'G5': 73},1314.0,7008000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_026,0.366156,0.219,0.324952,"{'G3': 0, 'G4': 0, 'G5': 73, 'G1': 0, 'G2': 0}",{'G5': 73},1314.0,7008000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_027,0.332299,0.198,0.294695,"{'G3': 0, 'G4': 0, 'G5': 64, 'G1': 3, 'G2': 0}","{'G5': 64, 'G1': 3}",1188.0,6360000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_028,0.366156,0.219,0.324952,"{'G3': 0, 'G4': 0, 'G5': 73, 'G1': 0, 'G2': 0}",{'G5': 73},1314.0,7008000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_029,0.377807,0.215833,0.332454,"{'G3': 0, 'G4': 3, 'G5': 66, 'G1': 0, 'G2': 4}","{'G5': 66, 'G4': 3, 'G2': 4}",1295.0,7231000,True,g3_ratio=0.81;order=G5-G4-G1-G2;wf=0.74;wr=0.10;wv=0.16;row=1;relax=1
车型1_030,0.373679,0.22,0.330649,"{'G3': 0, 'G4': 0, 'G5': 64, 'G1': 14, 'G2': 0}","{'G5': 64, 'G1': 14}",1320.0,7152000,True,g3_ratio=0.78;order=G5-G1-G2-G4;wf=0.65;wr=0.18;wv=0.17;row=0;relax=1
车型1_031,0.451425,0.24,0.392226,"{'G3': 0, 'G4': 0, 'G5': 0, 'G1': 120, 'G2': 0}",{'G1': 120},1440.0,8640000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_032,0.450171,0.24,0.391323,"{'G3': 0, 'G4': 0, 'G5': 2, 'G1': 117, 'G2': 0}","{'G5': 2, 'G1': 117}",1440.0,8616000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_033,0.465636,0.242,0.403018,"{'G3': 4, 'G4': 0, 'G5': 0, 'G1': 116, 'G2': 0}","{'G3': 4, 'G1': 116}",1452.0,8912000,True,g3_ratio=0.90;order=G2-G4-G5-G1;wf=0.58;wr=0.16;wv=0.26;row=1;relax=0
车型1_034,0.447663,0.238,0.388957,"{'G3': 0, 'G4': 0, 'G5': 0, 'G1': 119, 'G2': 0}",{'G1': 119},1428.0,8568000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_035,0.46898,0.244333,0.406079,"{'G3': 0, 'G4': 2, 'G5': 0, 'G1': 118, 'G2': 0}","{'G4': 2, 'G1': 118}",1466.0,8976000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_036,0.42133,0.224,0.366077,"{'G3': 0, 'G4': 0, 'G5': 0, 'G1': 112, 'G2': 0}",{'G1': 112},1344.0,8064000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_037,0.260823,0.139,0.226713,"{'G3': 0, 'G4': 0, 'G5': 1, 'G1': 68, 'G2': 0}","{'G1': 68, 'G5': 1}",834.0,4992000,True,g3_ratio=0.36;order=G1-G2-G4-G5;wf=0.32;wr=0.36;wv=0.32;row=2;relax=0
车型1_038,0.275779,0.160667,0.243548,"{'G3': 0, 'G4': 0, 'G5': 0, 'G1': 1, 'G2': 119}","{'G2': 119, 'G1': 1}",964.0,5278250,True,g3_ratio=0.84;order=G5-G1-G2-G4;wf=0.20;wr=0.40;wv=0.41;row=2;relax=0
车型1_039,0.28939,0.1635,0.254141,"{'G3': 3, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 117}","{'G2': 117, 'G3': 3}",981.0,5538750,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_040,0.294419,0.164667,0.258088,"{'G3': 4, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 116}","{'G3': 4, 'G2': 116}",988.0,5635000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_041,0.28939,0.1635,0.254141,"{'G3': 3, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 117}","{'G2': 117, 'G3': 3}",981.0,5538750,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_042,0.346184,0.177,0.298812,"{'G3': 14, 'G4': 0, 'G5': 0, 'G1': 1, 'G2': 105}","{'G3': 14, 'G1': 1, 'G2': 105}",1062.0,6625750,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_043,0.33465,0.174,0.289668,"{'G3': 12, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 108}","{'G3': 12, 'G2': 108}",1044.0,6405000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_044,0.28939,0.1635,0.254141,"{'G3': 3, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 117}","{'G2': 117, 'G3': 3}",981.0,5538750,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
