vehicle_id,space_utilization,weight_utilization,fullness_score,target_counts,actual_counts,loaded_weight_kg,loaded_volume_cm3,feasible_full_pack,policy_desc
车型2_001,0.166706,0.0841,0.143577,"{'G3': 39, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 32}","{'G3': 39, 'G2': 32}",841.0,6860000,True,g3_ratio=0.72;order=G4-G5-G1-G2;wf=0.61;wr=0.13;wv=0.25;row=2;relax=0
车型2_002,0.151822,0.0729,0.129724,"{'G3': 39, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 18}","{'G3': 39, 'G2': 18}",729.0,6247500,True,g3_ratio=0.93;order=G5-G4-G1-G2;wf=0.23;wr=0.42;wv=0.35;row=1;relax=1
车型2_003,0.151822,0.0729,0.129724,"{'G3': 39, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 18}","{'G3': 39, 'G2': 18}",729.0,6247500,True,g3_ratio=0.93;order=G5-G4-G1-G2;wf=0.23;wr=0.42;wv=0.35;row=1;relax=1
车型2_004,0.151822,0.0729,0.129724,"{'G3': 39, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 18}","{'G3': 39, 'G2': 18}",729.0,6247500,True,g3_ratio=0.93;order=G5-G4-G1-G2;wf=0.23;wr=0.42;wv=0.35;row=1;relax=1
车型2_005,0.152885,0.0737,0.130713,"{'G3': 39, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 19}","{'G3': 39, 'G2': 19}",737.0,6291250,True,g3_ratio=0.83;order=G1-G5-G4-G2;wf=0.73;wr=0.08;wv=0.19;row=2;relax=1
车型2_006,0.152885,0.0737,0.130713,"{'G3': 39, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 19}","{'G3': 39, 'G2': 19}",737.0,6291250,True,g3_ratio=0.83;order=G1-G5-G4-G2;wf=0.73;wr=0.08;wv=0.19;row=2;relax=1
车型2_007,0.152885,0.0737,0.130713,"{'G3': 39, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 19}","{'G3': 39, 'G2': 19}",737.0,6291250,True,g3_ratio=0.83;order=G1-G5-G4-G2;wf=0.73;wr=0.08;wv=0.19;row=2;relax=1
车型2_008,0.169136,0.0735,0.142358,"{'G3': 24, 'G4': 15, 'G5': 0, 'G1': 0, 'G2': 0}","{'G3': 24, 'G4': 15}",735.0,6960000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_009,0.198298,0.085,0.166575,"{'G3': 0, 'G4': 34, 'G5': 0, 'G1': 0, 'G2': 0}",{'G4': 34},850.0,8160000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_010,0.198298,0.085,0.166575,"{'G3': 0, 'G4': 34, 'G5': 0, 'G1': 0, 'G2': 0}",{'G4': 34},850.0,8160000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_011,0.198298,0.085,0.166575,"{'G3': 0, 'G4': 34, 'G5': 0, 'G1': 0, 'G2': 0}",{'G4': 34},850.0,8160000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
