item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id,support_by,direct_supported_weight
G4_车型2_014_0001,G4,oriented,0,0,0,80,60,50,25,1,LWH,车型2_014,,24.0
G4_车型2_014_0002,G4,oriented,0,60,0,80,60,50,25,1,LWH,车型2_014,,24.0
G4_车型2_014_0003,G4,oriented,0,120,0,80,60,50,25,1,LWH,车型2_014,,24.0
G4_车型2_014_0004,G4,oriented,0,180,0,80,60,50,25,1,LWH,车型2_014,,24.0
G4_车型2_014_0005,G4,oriented,80,0,0,80,60,50,25,1,LWH,车型2_014,,24.0
G4_车型2_014_0006,G4,oriented,80,60,0,80,60,50,25,1,LWH,车型2_014,,24.0
G4_车型2_014_0007,G4,oriented,80,120,0,80,60,50,25,1,LWH,车型2_014,,24.0
G4_车型2_014_0008,G4,oriented,80,180,0,80,60,50,25,1,LWH,车型2_014,,24.0
G4_车型2_014_0009,G4,oriented,160,0,0,80,60,50,25,1,LWH,车型2_014,,24.0
G4_车型2_014_0010,G4,oriented,160,60,0,80,60,50,25,1,LWH,车型2_014,,24.0
G4_车型2_014_0011,G4,oriented,160,120,0,80,60,50,25,1,LWH,车型2_014,,24.0
G4_车型2_014_0012,G4,oriented,160,180,0,80,60,50,25,1,LWH,车型2_014,,24.0
G4_车型2_014_0013,G4,oriented,240,0,0,80,60,50,25,1,LWH,车型2_014,,24.0
G4_车型2_014_0014,G4,oriented,240,60,0,80,60,50,25,1,LWH,车型2_014,,24.0
G4_车型2_014_0015,G4,oriented,240,120,0,80,60,50,25,1,LWH,车型2_014,,24.0
G4_车型2_014_0016,G4,oriented,240,180,0,80,60,50,25,1,LWH,车型2_014,,24.0
G2_车型2_014_0001,G2,standard,320,0,0,50,35,25,8,1,LWH,车型2_014,,8.0
G3_车型2_014_0001,G3,fragile,320,35,0,50,70,40,15,2,WLH,车型2_014,,0.0
G3_车型2_014_0002,G3,fragile,320,105,0,50,70,40,15,2,WLH,车型2_014,,0.0
G3_车型2_014_0003,G3,fragile,320,175,0,50,70,40,15,2,WLH,车型2_014,,0.0
G2_车型2_014_0002,G2,standard,370,0,0,50,35,25,8,1,LWH,车型2_014,,8.0
G3_车型2_014_0004,G3,fragile,370,35,0,50,70,40,15,2,WLH,车型2_014,,0.0
G3_车型2_014_0005,G3,fragile,370,105,0,50,70,40,15,2,WLH,车型2_014,,0.0
G3_车型2_014_0006,G3,fragile,370,175,0,50,70,40,15,2,WLH,车型2_014,,0.0
G2_车型2_014_0003,G2,standard,420,0,0,50,35,25,8,1,LWH,车型2_014,,8.0
