vehicle_id,space_utilization,weight_utilization,fullness_score,target_counts,actual_counts,loaded_weight_kg,loaded_volume_cm3,feasible_full_pack,policy_desc
车型2_001,0.858513,0.4016,0.730578,"{'G3': 0, 'G4': 128, 'G5': 24, 'G1': 32, 'G2': 0}","{'G3': 0, 'G4': 128, 'G5': 24, 'G1': 32, 'G2': 0}",4016.0,35328000,True,baseline_seed
车型2_002,0.452197,0.2444,0.394014,"{'G3': 28, 'G4': 32, 'G5': 28, 'G1': 60, 'G2': 0}","{'G3': 28, 'G4': 32, 'G5': 28, 'G1': 60, 'G2': 0}",2444.0,18608000,True,baseline_seed
车型2_003,0.480581,0.2424,0.41389,"{'G3': 24, 'G4': 48, 'G5': 24, 'G1': 36, 'G2': 0}","{'G3': 24, 'G4': 48, 'G5': 24, 'G1': 36, 'G2': 0}",2424.0,19776000,True,baseline_seed
车型2_004,0.361754,0.2043,0.317667,"{'G3': 33, 'G4': 16, 'G5': 36, 'G1': 37, 'G2': 7}","{'G3': 33, 'G4': 16, 'G5': 36, 'G1': 37, 'G2': 7}",2043.0,14886250,True,baseline_seed
车型2_005,0.299227,0.152,0.258003,"{'G3': 36, 'G4': 16, 'G5': 0, 'G1': 41, 'G2': 11}","{'G3': 36, 'G4': 16, 'G5': 0, 'G1': 41, 'G2': 11}",1520.0,12313250,True,baseline_seed
车型2_006,0.447367,0.2804,0.400616,"{'G3': 24, 'G4': 16, 'G5': 84, 'G1': 37, 'G2': 11}","{'G3': 24, 'G4': 16, 'G5': 84, 'G1': 37, 'G2': 11}",2804.0,18409250,True,baseline_seed
车型2_007,0.328267,0.1747,0.285268,"{'G3': 33, 'G4': 16, 'G5': 0, 'G1': 61, 'G2': 15}","{'G3': 33, 'G4': 16, 'G5': 0, 'G1': 61, 'G2': 15}",1747.0,13508250,True,baseline_seed
车型2_008,0.464493,0.286,0.414515,"{'G3': 20, 'G4': 16, 'G5': 32, 'G1': 116, 'G2': 24}","{'G3': 20, 'G4': 16, 'G5': 32, 'G1': 116, 'G2': 24}",2860.0,19114000,True,baseline_seed
车型2_009,0.411954,0.2408,0.364031,"{'G3': 24, 'G4': 16, 'G5': 0, 'G1': 116, 'G2': 32}","{'G3': 24, 'G4': 16, 'G5': 0, 'G1': 116, 'G2': 32}",2408.0,16952000,True,baseline_seed
车型2_010,0.503029,0.322,0.452341,"{'G3': 16, 'G4': 16, 'G5': 60, 'G1': 103, 'G2': 33}","{'G3': 16, 'G4': 16, 'G5': 60, 'G1': 103, 'G2': 33}",3220.0,20699750,True,baseline_seed
车型2_011,0.409208,0.2392,0.361606,"{'G3': 24, 'G4': 16, 'G5': 0, 'G1': 112, 'G2': 36}","{'G3': 24, 'G4': 16, 'G5': 0, 'G1': 112, 'G2': 36}",2392.0,16839000,True,baseline_seed
车型2_012,0.586735,0.3934,0.532601,"{'G3': 14, 'G4': 16, 'G5': 60, 'G1': 49, 'G2': 207}","{'G3': 14, 'G4': 16, 'G5': 60, 'G1': 49, 'G2': 207}",3934.0,24144250,True,baseline_seed
车型2_013,0.608685,0.3824,0.545325,"{'G3': 16, 'G4': 32, 'G5': 40, 'G1': 0, 'G2': 258}","{'G3': 16, 'G4': 32, 'G5': 40, 'G1': 0, 'G2': 258}",3824.0,25047500,True,baseline_seed
车型2_014,0.716722,0.5056,0.657608,"{'G3': 8, 'G4': 16, 'G5': 112, 'G1': 0, 'G2': 315}","{'G3': 8, 'G4': 16, 'G5': 112, 'G1': 0, 'G2': 315}",5056.0,29493250,True,baseline_seed
车型2_015,0.054222,0.0408,0.050464,"{'G3': 0, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 51}","{'G3': 0, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 51}",408.0,2231250,True,baseline_seed
