item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id,support_by,direct_supported_weight
G2_车型1_004_0001,G2,standard,0,0,0,50,35,25,8,1,LWH,车型1_004,,12.0
G3_车型1_004_0001,G3,fragile,0,35,0,50,70,40,15,2,WLH,车型1_004,,0.0
G3_车型1_004_0002,G3,fragile,0,105,0,50,70,40,15,2,WLH,车型1_004,,0.0
G1_车型1_004_0001,G1,standard,0,175,0,40,30,60,12,4,WHL,车型1_004,,12.0
G2_车型1_004_0002,G2,standard,50,0,0,50,35,25,8,1,LWH,车型1_004,,12.0
G3_车型1_004_0003,G3,fragile,50,35,0,50,70,40,15,2,WLH,车型1_004,,0.0
G3_车型1_004_0004,G3,fragile,50,105,0,50,70,40,15,2,WLH,车型1_004,,0.0
G1_车型1_004_0002,G1,standard,50,175,0,40,30,60,12,4,WHL,车型1_004,,12.0
G2_车型1_004_0003,G2,standard,100,0,0,50,35,25,8,1,LWH,车型1_004,,12.0
G3_车型1_004_0005,G3,fragile,100,35,0,50,70,40,15,2,WLH,车型1_004,,0.0
G3_车型1_004_0006,G3,fragile,100,105,0,50,70,40,15,2,WLH,车型1_004,,0.0
G1_车型1_004_0003,G1,standard,100,175,0,40,30,60,12,4,WHL,车型1_004,,12.0
G2_车型1_004_0004,G2,standard,150,0,0,50,35,25,8,1,LWH,车型1_004,,12.0
G3_车型1_004_0007,G3,fragile,150,35,0,50,70,40,15,2,WLH,车型1_004,,0.0
G3_车型1_004_0008,G3,fragile,150,105,0,50,70,40,15,2,WLH,车型1_004,,0.0
G1_车型1_004_0004,G1,standard,150,175,0,40,30,60,12,4,WHL,车型1_004,,12.0
G2_车型1_004_0005,G2,standard,200,0,0,50,35,25,8,1,LWH,车型1_004,,12.0
G3_车型1_004_0009,G3,fragile,200,35,0,50,70,40,15,2,WLH,车型1_004,,0.0
G3_车型1_004_0010,G3,fragile,200,105,0,50,70,40,15,2,WLH,车型1_004,,0.0
G1_车型1_004_0005,G1,standard,200,175,0,40,30,60,12,4,WHL,车型1_004,,12.0
G2_车型1_004_0006,G2,standard,250,0,0,50,35,25,8,1,LWH,车型1_004,,12.0
G3_车型1_004_0011,G3,fragile,250,35,0,50,70,40,15,2,WLH,车型1_004,,0.0
G3_车型1_004_0012,G3,fragile,250,105,0,50,70,40,15,2,WLH,车型1_004,,0.0
G1_车型1_004_0006,G1,standard,250,175,0,40,30,60,12,4,WHL,车型1_004,,12.0
G2_车型1_004_0007,G2,standard,300,0,0,50,35,25,8,1,LWH,车型1_004,,12.0
G3_车型1_004_0013,G3,fragile,300,35,0,50,70,40,15,2,WLH,车型1_004,,0.0
G3_车型1_004_0014,G3,fragile,300,105,0,50,70,40,15,2,WLH,车型1_004,,0.0
G1_车型1_004_0007,G1,standard,300,175,0,40,30,60,12,4,WHL,车型1_004,,12.0
G2_车型1_004_0008,G2,standard,350,0,0,50,35,25,8,1,LWH,车型1_004,,12.0
G3_车型1_004_0015,G3,fragile,350,35,0,50,70,40,15,2,WLH,车型1_004,,0.0
G3_车型1_004_0016,G3,fragile,350,105,0,50,70,40,15,2,WLH,车型1_004,,0.0
G1_车型1_004_0008,G1,standard,350,175,0,40,30,60,12,4,WHL,车型1_004,,12.0
G1_车型1_004_0009,G1,standard,0,175,60,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0001,12.0
G1_车型1_004_0010,G1,standard,0,175,120,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0009,0.0
G1_车型1_004_0011,G1,standard,50,175,60,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0002,12.0
G1_车型1_004_0012,G1,standard,50,175,120,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0011,0.0
G1_车型1_004_0013,G1,standard,100,175,60,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0003,12.0
G1_车型1_004_0014,G1,standard,100,175,120,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0013,0.0
G1_车型1_004_0015,G1,standard,150,175,60,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0004,12.0
G1_车型1_004_0016,G1,standard,150,175,120,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0015,0.0
G1_车型1_004_0017,G1,standard,200,175,60,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0005,12.0
G1_车型1_004_0018,G1,standard,200,175,120,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0017,0.0
G1_车型1_004_0019,G1,standard,250,175,60,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0006,12.0
G1_车型1_004_0020,G1,standard,250,175,120,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0019,0.0
G1_车型1_004_0021,G1,standard,300,175,60,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0007,12.0
G1_车型1_004_0022,G1,standard,300,175,120,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0021,0.0
G1_车型1_004_0023,G1,standard,350,175,60,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0008,12.0
G1_车型1_004_0024,G1,standard,350,175,120,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0023,0.0
G1_车型1_004_0025,G1,standard,0,0,25,40,30,60,12,4,WHL,车型1_004,G2_车型1_004_0001,12.0
G1_车型1_004_0026,G1,standard,0,0,85,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0025,12.0
G1_车型1_004_0027,G1,standard,0,0,145,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0026,0.0
G1_车型1_004_0028,G1,standard,50,0,25,40,30,60,12,4,WHL,车型1_004,G2_车型1_004_0002,12.0
G1_车型1_004_0029,G1,standard,50,0,85,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0028,12.0
G1_车型1_004_0030,G1,standard,50,0,145,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0029,0.0
G1_车型1_004_0031,G1,standard,100,0,25,40,30,60,12,4,WHL,车型1_004,G2_车型1_004_0003,12.0
G1_车型1_004_0032,G1,standard,100,0,85,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0031,12.0
G1_车型1_004_0033,G1,standard,100,0,145,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0032,0.0
G1_车型1_004_0034,G1,standard,150,0,25,40,30,60,12,4,WHL,车型1_004,G2_车型1_004_0004,12.0
G1_车型1_004_0035,G1,standard,150,0,85,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0034,12.0
G1_车型1_004_0036,G1,standard,150,0,145,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0035,0.0
G1_车型1_004_0037,G1,standard,200,0,25,40,30,60,12,4,WHL,车型1_004,G2_车型1_004_0005,12.0
G1_车型1_004_0038,G1,standard,200,0,85,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0037,12.0
G1_车型1_004_0039,G1,standard,200,0,145,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0038,0.0
G1_车型1_004_0040,G1,standard,250,0,25,40,30,60,12,4,WHL,车型1_004,G2_车型1_004_0006,12.0
G1_车型1_004_0041,G1,standard,250,0,85,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0040,12.0
G1_车型1_004_0042,G1,standard,250,0,145,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0041,0.0
G1_车型1_004_0043,G1,standard,300,0,25,40,30,60,12,4,WHL,车型1_004,G2_车型1_004_0007,12.0
G1_车型1_004_0044,G1,standard,300,0,85,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0043,12.0
G1_车型1_004_0045,G1,standard,300,0,145,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0044,0.0
G1_车型1_004_0046,G1,standard,350,0,25,40,30,60,12,4,WHL,车型1_004,G2_车型1_004_0008,12.0
G1_车型1_004_0047,G1,standard,350,0,85,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0046,12.0
G1_车型1_004_0048,G1,standard,350,0,145,40,30,60,12,4,WHL,车型1_004,G1_车型1_004_0047,0.0
