vehicle_id,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3
车型1_001,0.846422,0.3,0.693423,"{'G4': 60, 'G1': 25}",1800.0,16200000
车型1_002,0.289455,0.1375,0.246908,"{'G3': 19, 'G5': 30}",825.0,5540000
车型1_003,0.481441,0.215,0.406838,"{'G2': 6, 'G3': 12, 'G1': 41, 'G4': 12, 'G5': 15}",1290.0,9214500
车型1_004,0.315893,0.146667,0.26851,"{'G2': 8, 'G3': 16, 'G1': 48}",880.0,6046000
车型1_005,0.384443,0.196667,0.331865,"{'G2': 8, 'G3': 12, 'G1': 42, 'G5': 24}",1180.0,7358000
车型1_006,0.350168,0.171667,0.300187,"{'G2': 8, 'G3': 14, 'G1': 45, 'G5': 12}",1030.0,6702000
车型1_007,0.479443,0.21,0.403999,"{'G2': 15, 'G3': 12, 'G4': 12, 'G1': 55}",1260.0,9176250
车型1_008,0.456232,0.245333,0.39718,"{'G2': 16, 'G5': 36, 'G3': 8, 'G1': 48}",1472.0,8732000
车型1_009,0.499101,0.225,0.422353,"{'G2': 30, 'G3': 10, 'G1': 55, 'G4': 12}",1350.0,9552500
车型1_010,0.512425,0.241333,0.436519,"{'G2': 34, 'G3': 8, 'G5': 18, 'G4': 12, 'G1': 36}",1448.0,9807500
车型1_011,0.507997,0.239333,0.432771,"{'G2': 37, 'G3': 8, 'G5': 18, 'G4': 12, 'G1': 33}",1436.0,9722750
车型1_012,0.476008,0.216667,0.403392,"{'G2': 38, 'G3': 10, 'G5': 9, 'G4': 12, 'G1': 32}",1300.0,9110500
车型1_013,0.506521,0.238667,0.431521,"{'G2': 38, 'G3': 8, 'G5': 18, 'G4': 12, 'G1': 32}",1432.0,9694500
车型1_014,0.505815,0.237333,0.43064,"{'G2': 28, 'G3': 10, 'G5': 27, 'G4': 12, 'G1': 22}",1424.0,9681000
车型1_015,0.445495,0.194667,0.375263,"{'G2': 38, 'G3': 12, 'G4': 12, 'G1': 32}",1168.0,8526500
车型1_016,0.542938,0.265333,0.465208,"{'G2': 34, 'G5': 33, 'G3': 6, 'G4': 12, 'G1': 28}",1592.0,10391500
车型1_017,0.522482,0.207667,0.434334,"{'G2': 32, 'G3': 10, 'G4': 24, 'G1': 20}",1246.0,10000000
车型1_018,0.53928,0.261667,0.461548,"{'G2': 26, 'G5': 39, 'G3': 8, 'G4': 12, 'G1': 20}",1570.0,10321500
车型1_019,0.445495,0.194667,0.375263,"{'G2': 38, 'G3': 12, 'G4': 12, 'G1': 32}",1168.0,8526500
车型1_020,0.47896,0.219,0.406171,"{'G2': 36, 'G3': 10, 'G5': 12, 'G4': 12, 'G1': 30}",1314.0,9167000
车型1_021,0.53928,0.261667,0.461548,"{'G2': 26, 'G5': 39, 'G3': 8, 'G4': 12, 'G1': 20}",1570.0,10321500
车型1_022,0.445495,0.194667,0.375263,"{'G2': 38, 'G3': 12, 'G4': 12, 'G1': 32}",1168.0,8526500
车型1_023,0.476008,0.216667,0.403392,"{'G2': 38, 'G3': 10, 'G5': 9, 'G4': 12, 'G1': 32}",1300.0,9110500
车型1_024,0.54589,0.267667,0.467987,"{'G2': 32, 'G5': 36, 'G3': 6, 'G4': 12, 'G1': 26}",1606.0,10448000
车型1_025,0.501217,0.230667,0.425463,"{'G2': 92, 'G3': 12, 'G4': 12, 'G1': 14}",1384.0,9593000
车型1_026,0.786441,0.305,0.651637,"{'G2': 48, 'G3': 2, 'G5': 12, 'G4': 48}",1830.0,15052000
车型1_027,0.573921,0.281333,0.491996,"{'G2': 94, 'G3': 10, 'G5': 27, 'G4': 12}",1688.0,10984500
车型1_028,0.769486,0.335333,0.647923,"{'G5': 45, 'G2': 34, 'G3': 2, 'G4': 36}",2012.0,14727500
车型1_029,0.381935,0.182667,0.32614,"{'G3': 16, 'G2': 72, 'G4': 4, 'G5': 10}",1096.0,7310000
车型1_030,0.307272,0.1515,0.263656,"{'G3': 17, 'G5': 31, 'G2': 12}",909.0,5881000
车型1_031,0.100578,0.058667,0.088843,{'G2': 44},352.0,1925000
