item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id,support_by,direct_supported_weight
G2_车型1_020_0001,G2,standard,0,0,0,50,25,35,8,2,LHW,车型1_020,,8.0
G2_车型1_020_0002,G2,standard,0,25,0,50,25,35,8,2,LHW,车型1_020,,8.0
G2_车型1_020_0003,G2,standard,0,50,0,50,35,25,8,1,LWH,车型1_020,,12.0
G2_车型1_020_0004,G2,standard,0,85,0,50,25,35,8,2,LHW,车型1_020,,8.0
G2_车型1_020_0005,G2,standard,0,110,0,50,25,35,8,2,LHW,车型1_020,,8.0
G3_车型1_020_0001,G3,fragile,0,135,0,50,70,40,15,2,WLH,车型1_020,,0.0
G2_车型1_020_0006,G2,standard,50,0,0,50,25,35,8,2,LHW,车型1_020,,8.0
G3_车型1_020_0002,G3,fragile,50,25,0,50,70,40,15,2,WLH,车型1_020,,0.0
G3_车型1_020_0003,G3,fragile,50,95,0,50,70,40,15,2,WLH,车型1_020,,0.0
G1_车型1_020_0001,G1,standard,50,165,0,30,40,60,12,6,HWL,车型1_020,,12.0
G2_车型1_020_0007,G2,standard,100,0,0,35,50,25,8,3,WLH,车型1_020,,12.0
G2_车型1_020_0008,G2,standard,100,50,0,35,25,50,8,4,WHL,车型1_020,,8.0
G2_车型1_020_0009,G2,standard,100,75,0,25,50,35,8,5,HLW,车型1_020,,8.0
G2_车型1_020_0010,G2,standard,100,125,0,25,35,50,8,6,HWL,车型1_020,,8.0
G2_车型1_020_0011,G2,standard,100,160,0,25,35,50,8,6,HWL,车型1_020,,8.0
G2_车型1_020_0012,G2,standard,135,0,0,50,35,25,8,1,LWH,车型1_020,,12.0
G3_车型1_020_0004,G3,fragile,135,35,0,50,70,40,15,2,WLH,车型1_020,,0.0
G2_车型1_020_0013,G2,standard,135,105,0,50,25,35,8,2,LHW,车型1_020,,8.0
G2_车型1_020_0014,G2,standard,135,130,0,50,35,25,8,1,LWH,车型1_020,,12.0
G1_车型1_020_0002,G1,standard,135,165,0,30,40,60,12,6,HWL,车型1_020,,12.0
G3_车型1_020_0005,G3,fragile,185,0,0,50,70,40,15,2,WLH,车型1_020,,0.0
G2_车型1_020_0015,G2,standard,185,70,0,50,35,25,8,1,LWH,车型1_020,,12.0
G3_车型1_020_0006,G3,fragile,185,105,0,50,70,40,15,2,WLH,车型1_020,,0.0
G2_车型1_020_0016,G2,standard,185,175,0,50,25,35,8,2,LHW,车型1_020,,8.0
G3_车型1_020_0007,G3,fragile,235,0,0,50,70,40,15,2,WLH,车型1_020,,0.0
G2_车型1_020_0017,G2,standard,235,70,0,50,25,35,8,2,LHW,车型1_020,,8.0
G3_车型1_020_0008,G3,fragile,235,95,0,50,70,40,15,2,WLH,车型1_020,,0.0
G5_车型1_020_0001,G5,oriented,235,165,0,40,40,60,18,1,LWH,车型1_020,,18.0
G3_车型1_020_0009,G3,fragile,285,0,0,50,70,40,15,2,WLH,车型1_020,,0.0
G2_车型1_020_0018,G2,standard,285,70,0,50,25,35,8,2,LHW,车型1_020,,8.0
G2_车型1_020_0019,G2,standard,285,95,0,50,35,25,8,1,LWH,车型1_020,,12.0
G5_车型1_020_0002,G5,oriented,285,130,0,40,40,60,18,1,LWH,车型1_020,,18.0
