vehicle_id,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3
车型2_001,0.417908,0.2882,0.38159,"{'G1': 128, 'G2': 76, 'G3': 12, 'G5': 31}",2882.0,17197000
车型2_002,0.687463,0.3617,0.59625,"{'G2': 59, 'G1': 66, 'G5': 21, 'G4': 76, 'G3': 5}",3617.0,28289250
车型2_003,0.392453,0.2627,0.356122,"{'G5': 43, 'G1': 87, 'G3': 23, 'G2': 58}",2627.0,16149500
车型2_004,0.470715,0.3102,0.425771,"{'G5': 52, 'G1': 104, 'G3': 18, 'G2': 56, 'G4': 8}",3102.0,19370000
车型2_005,0.537282,0.3161,0.475351,"{'G2': 139, 'G3': 13, 'G5': 13, 'G4': 36, 'G1': 60}",3161.0,22109250
车型2_006,0.682639,0.4189,0.608792,"{'G3': 9, 'G5': 91, 'G1': 53, 'G2': 85, 'G4': 44}",4189.0,28090750
车型2_007,0.544572,0.2763,0.469456,"{'G4': 60, 'G3': 15, 'G5': 17, 'G1': 43, 'G2': 27}",2763.0,22409250
车型2_008,0.537835,0.292,0.469001,"{'G3': 16, 'G5': 14, 'G4': 48, 'G2': 80, 'G1': 49}",2920.0,22132000
车型2_009,0.366778,0.2181,0.325148,"{'G5': 47, 'G3': 25, 'G1': 28, 'G2': 28, 'G4': 16}",2181.0,15093000
车型2_010,0.35371,0.2398,0.321815,"{'G3': 20, 'G2': 131, 'G5': 23, 'G1': 53}",2398.0,14555250
车型2_011,0.564791,0.3158,0.495073,"{'G4': 48, 'G3': 12, 'G5': 37, 'G2': 43, 'G1': 64}",3158.0,23241250
车型2_012,0.274689,0.1552,0.241232,"{'G3': 30, 'G5': 7, 'G2': 34, 'G1': 42, 'G4': 8}",1552.0,11303500
车型2_013,0.551225,0.3281,0.48875,"{'G5': 72, 'G4': 40, 'G3': 11, 'G1': 23, 'G2': 68}",3281.0,22683000
车型2_014,0.28509,0.1708,0.253089,"{'G3': 28, 'G2': 82, 'G4': 8, 'G5': 24}",1708.0,11731500
车型2_015,0.167083,0.0911,0.145808,"{'G3': 33, 'G2': 34, 'G5': 8}",911.0,6875500
车型2_016,0.148723,0.065,0.125281,"{'G3': 30, 'G4': 8}",650.0,6120000
