record_type,item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id,support_by,direct_supported_weight,template_name
item,G3_车型1_017_0001,G3,fragile,0,0,0,70,50,40,15,1,LWH,车型1_017,,0.0,
item,G3_车型1_017_0002,G3,fragile,0,50,0,70,50,40,15,1,LWH,车型1_017,,0.0,
item,G5_车型1_017_0001,G5,oriented,0,170,0,40,40,60,18,1,LWH,车型1_017,,18.0,
item,G3_车型1_017_0003,G3,fragile,70,0,0,70,50,40,15,1,LWH,车型1_017,,0.0,
item,G3_车型1_017_0004,G3,fragile,70,50,0,70,50,40,15,1,LWH,车型1_017,,0.0,
item,G5_车型1_017_0002,G5,oriented,70,170,0,40,40,60,18,1,LWH,车型1_017,,18.0,
item,G3_车型1_017_0005,G3,fragile,140,0,0,70,50,40,15,1,LWH,车型1_017,,0.0,
item,G3_车型1_017_0006,G3,fragile,140,50,0,70,50,40,15,1,LWH,车型1_017,,0.0,
item,G5_车型1_017_0003,G5,oriented,140,170,0,40,40,60,18,1,LWH,车型1_017,,18.0,
item,G4_车型1_017_0001,G4,oriented,210,0,0,80,60,50,25,1,LWH,车型1_017,,25.0,
item,G4_车型1_017_0002,G4,oriented,210,60,0,80,60,50,25,1,LWH,车型1_017,,25.0,
item,G5_车型1_017_0004,G5,oriented,210,170,0,40,40,60,18,1,LWH,车型1_017,,18.0,
item,G2_车型1_017_0001,G2,standard,250,170,0,25,35,50,8,6,HWL,车型1_017,,8.0,
item,G2_车型1_017_0002,G2,standard,390,0,0,25,50,35,8,5,HLW,车型1_017,,8.0,
item,G2_车型1_017_0003,G2,standard,390,50,0,25,50,35,8,5,HLW,车型1_017,,8.0,
item,G2_车型1_017_0004,G2,standard,390,100,0,25,50,35,8,5,HLW,车型1_017,,8.0,
item,G2_车型1_017_0005,G2,standard,390,150,0,25,50,35,8,5,HLW,车型1_017,,8.0,
item,G5_车型1_017_0005,G5,oriented,0,170,60,40,40,60,18,1,LWH,车型1_017,G5_车型1_017_0001,18.0,
item,G5_车型1_017_0006,G5,oriented,0,170,120,40,40,60,18,1,LWH,车型1_017,G5_车型1_017_0005,0.0,
item,G5_车型1_017_0007,G5,oriented,70,170,60,40,40,60,18,1,LWH,车型1_017,G5_车型1_017_0002,18.0,
item,G5_车型1_017_0008,G5,oriented,70,170,120,40,40,60,18,1,LWH,车型1_017,G5_车型1_017_0007,0.0,
item,G5_车型1_017_0009,G5,oriented,140,170,60,40,40,60,18,1,LWH,车型1_017,G5_车型1_017_0003,18.0,
item,G5_车型1_017_0010,G5,oriented,140,170,120,40,40,60,18,1,LWH,车型1_017,G5_车型1_017_0009,0.0,
item,G5_车型1_017_0011,G5,oriented,210,170,60,40,40,60,18,1,LWH,车型1_017,G5_车型1_017_0004,18.0,
item,G5_车型1_017_0012,G5,oriented,210,170,120,40,40,60,18,1,LWH,车型1_017,G5_车型1_017_0011,0.0,
item,G4_车型1_017_0003,G4,oriented,210,0,50,80,60,50,25,1,LWH,车型1_017,G4_车型1_017_0001,25.0,
item,G4_车型1_017_0004,G4,oriented,210,0,100,80,60,50,25,1,LWH,车型1_017,G4_车型1_017_0003,25.0,
item,G4_车型1_017_0005,G4,oriented,210,0,150,80,60,50,25,1,LWH,车型1_017,G4_车型1_017_0004,0.0,
item,G4_车型1_017_0006,G4,oriented,210,60,50,80,60,50,25,1,LWH,车型1_017,G4_车型1_017_0002,25.0,
item,G4_车型1_017_0007,G4,oriented,210,60,100,80,60,50,25,1,LWH,车型1_017,G4_车型1_017_0006,25.0,
item,G4_车型1_017_0008,G4,oriented,210,60,150,80,60,50,25,1,LWH,车型1_017,G4_车型1_017_0007,0.0,
item,G2_车型1_017_0006,G2,standard,250,170,50,25,35,50,8,6,HWL,车型1_017,G2_车型1_017_0001,8.0,
item,G2_车型1_017_0007,G2,standard,250,170,100,25,35,50,8,6,HWL,车型1_017,G2_车型1_017_0006,8.0,
