template_name,support_type,support_orientation_id,g3_orientation_id,pattern_nx,pattern_ny,layers,support_count,length,width,height,weight,support_length,support_width,support_height,g3_length,g3_width,g3_height,volume_bbox,score
MP_G2_2x2_L3_S4_G31,G2,4,1,2,2,3,12,70,50,190,111,35,25,50,70,50,40,665000,0.947455
MP_G2_2x2_L3_S6_G32,G2,6,2,2,2,3,12,50,70,190,111,25,35,50,50,70,40,665000,0.947455
MP_G2_1x2_L4_S1_G32,G2,1,2,1,2,4,8,50,70,140,79,50,35,25,50,70,40,490000,0.85609
MP_G2_2x1_L4_S3_G31,G2,3,1,2,1,4,8,70,50,140,79,35,50,25,70,50,40,490000,0.85609
MP_G2_2x2_L2_S4_G31,G2,4,1,2,2,2,8,70,50,140,79,35,25,50,70,50,40,490000,0.85609
MP_G2_2x2_L2_S6_G32,G2,6,2,2,2,2,8,50,70,140,79,25,35,50,50,70,40,490000,0.85609
MP_G2_1x2_L3_S1_G32,G2,1,2,1,2,3,6,50,70,115,63,50,35,25,50,70,40,402500,0.810407
MP_G2_2x1_L3_S3_G31,G2,3,1,2,1,3,6,70,50,115,63,35,50,25,70,50,40,402500,0.810407
MP_G2_2x2_L4_S2_G31,G2,2,1,2,2,4,16,100,50,180,143,50,25,35,70,50,40,900000,0.793222
MP_G2_2x2_L4_S5_G32,G2,5,2,2,2,4,16,50,100,180,143,25,50,35,50,70,40,900000,0.793222
MP_G1_1x2_L4_S1_G32,G1,1,2,1,2,4,8,60,80,160,111,60,40,30,50,70,40,768000,0.770281
MP_G1_2x1_L4_S3_G31,G1,3,1,2,1,4,8,80,60,160,111,40,60,30,70,50,40,768000,0.770281
MP_G1_2x2_L2_S4_G31,G1,4,1,2,2,2,8,80,60,160,111,40,30,60,70,50,40,768000,0.770281
MP_G1_2x2_L2_S6_G32,G1,6,2,2,2,2,8,60,80,160,111,30,40,60,50,70,40,768000,0.770281
MP_G2_1x2_L2_S1_G32,G2,1,2,1,2,2,4,50,70,90,47,50,35,25,50,70,40,315000,0.764724
MP_G2_2x1_L2_S3_G31,G2,3,1,2,1,2,4,70,50,90,47,35,50,25,70,50,40,315000,0.764724
MP_G2_2x2_L1_S4_G31,G2,4,1,2,2,1,4,70,50,90,47,35,25,50,70,50,40,315000,0.764724
MP_G2_2x2_L1_S6_G32,G2,6,2,2,2,1,4,50,70,90,47,25,35,50,50,70,40,315000,0.764724
MP_G1_2x2_L4_S2_G31,G1,2,1,2,2,4,16,120,60,200,207,60,30,40,70,50,40,1440000,0.732239
MP_G1_2x2_L4_S5_G32,G1,5,2,2,2,4,16,60,120,200,207,30,60,40,50,70,40,1440000,0.732239
