vehicle_id,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3,module_count
车型2_001,0.834941,0.5066,0.743006,"{'G1': 233, 'G3': 24, 'G5': 21, 'G4': 28, 'G2': 104}",5066.0,34358000,24
车型2_002,0.727743,0.4615,0.653195,"{'G3': 25, 'G1': 84, 'G2': 293, 'G5': 16, 'G4': 24}",4615.0,29946750,19
车型2_003,0.853161,0.4848,0.75002,"{'G4': 68, 'G2': 161, 'G3': 8, 'G1': 109, 'G5': 24}",4848.0,35107750,8
车型2_004,0.86143,0.5259,0.767481,"{'G5': 168, 'G4': 60, 'G1': 55, 'G3': 5}",5259.0,35448000,5
车型2_005,0.427902,0.2566,0.379937,"{'G3': 34, 'G1': 66, 'G2': 79, 'G4': 8, 'G5': 24}",2566.0,17608250,14
车型2_006,0.661066,0.3883,0.584692,"{'G3': 21, 'G2': 132, 'G1': 90, 'G5': 24, 'G4': 40}",3883.0,27203000,13
车型2_007,0.539414,0.28,0.466778,"{'G3': 24, 'G2': 44, 'G5': 12, 'G1': 56, 'G4': 48}",2800.0,22197000,8
车型2_008,0.417884,0.2346,0.366564,"{'G3': 30, 'G5': 28, 'G1': 34, 'G4': 24, 'G2': 48}",2346.0,17196000,2
车型2_009,0.565945,0.338,0.50212,"{'G5': 64, 'G3': 20, 'G2': 109, 'G1': 13, 'G4': 36}",3380.0,23288750,7
车型2_010,0.463485,0.2304,0.398221,"{'G3': 24, 'G2': 30, 'G5': 12, 'G1': 24, 'G4': 48}",2304.0,19072500,3
车型2_011,0.407872,0.2778,0.371452,"{'G5': 107, 'G3': 28, 'G1': 36}",2778.0,16784000,0
车型2_012,0.132685,0.0585,0.111913,{'G3': 39},585.0,5460000,0
车型2_013,0.154556,0.067,0.13004,"{'G4': 16, 'G3': 18}",670.0,6360000,0
