record_type,item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id,support_by,direct_supported_weight,template_name
item,G4_车型2_006_0001,G4,oriented,0,0,0,80,60,50,25,1,LWH,车型2_006,,25.0,
item,G4_车型2_006_0002,G4,oriented,0,60,0,80,60,50,25,1,LWH,车型2_006,,25.0,
item,G4_车型2_006_0003,G4,oriented,0,120,0,80,60,50,25,1,LWH,车型2_006,,25.0,
item,G4_车型2_006_0004,G4,oriented,80,0,0,80,60,50,25,1,LWH,车型2_006,,25.0,
item,G4_车型2_006_0005,G4,oriented,80,60,0,80,60,50,25,1,LWH,车型2_006,,25.0,
item,G4_车型2_006_0006,G4,oriented,80,120,0,80,60,50,25,1,LWH,车型2_006,,25.0,
item,G4_车型2_006_0007,G4,oriented,160,0,0,80,60,50,25,1,LWH,车型2_006,,25.0,
item,G4_车型2_006_0008,G4,oriented,160,60,0,80,60,50,25,1,LWH,车型2_006,,25.0,
item,G4_车型2_006_0009,G4,oriented,160,120,0,80,60,50,25,1,LWH,车型2_006,,25.0,
item,G4_车型2_006_0010,G4,oriented,240,0,0,80,60,50,25,1,LWH,车型2_006,,25.0,
item,G4_车型2_006_0011,G4,oriented,240,60,0,80,60,50,25,1,LWH,车型2_006,,25.0,
item,G4_车型2_006_0012,G4,oriented,240,120,0,80,60,50,25,1,LWH,车型2_006,,25.0,
item,G4_车型2_006_0013,G4,oriented,320,0,0,80,60,50,25,1,LWH,车型2_006,,25.0,
item,G4_车型2_006_0014,G4,oriented,320,60,0,80,60,50,25,1,LWH,车型2_006,,25.0,
item,G4_车型2_006_0015,G4,oriented,400,0,0,80,60,50,25,1,LWH,车型2_006,,25.0,
item,G4_车型2_006_0016,G4,oriented,400,60,0,80,60,50,25,1,LWH,车型2_006,,25.0,
item,G4_车型2_006_0017,G4,oriented,480,0,0,80,60,50,25,1,LWH,车型2_006,,25.0,
item,G4_车型2_006_0018,G4,oriented,480,60,0,80,60,50,25,1,LWH,车型2_006,,25.0,
item,G5_车型2_006_0001,G5,oriented,480,190,0,40,40,60,18,1,LWH,车型2_006,,18.0,
item,G4_车型2_006_0019,G4,oriented,560,0,0,80,60,50,25,1,LWH,车型2_006,,25.0,
item,G4_车型2_006_0020,G4,oriented,560,60,0,80,60,50,25,1,LWH,车型2_006,,25.0,
item,G5_车型2_006_0002,G5,oriented,560,190,0,40,40,60,18,1,LWH,车型2_006,,18.0,
item,G5_车型2_006_0003,G5,oriented,640,0,0,40,40,60,18,1,LWH,车型2_006,,18.0,
item,G5_车型2_006_0004,G5,oriented,640,40,0,40,40,60,18,1,LWH,车型2_006,,18.0,
item,G5_车型2_006_0005,G5,oriented,640,80,0,40,40,60,18,1,LWH,车型2_006,,18.0,
item,G5_车型2_006_0006,G5,oriented,640,120,0,40,40,60,18,1,LWH,车型2_006,,18.0,
item,G5_车型2_006_0007,G5,oriented,640,160,0,40,40,60,18,1,LWH,车型2_006,,18.0,
item,G5_车型2_006_0008,G5,oriented,640,200,0,40,40,60,18,1,LWH,车型2_006,,18.0,
item,G1_车型2_006_0001,G1,standard,530,120,0,30,60,40,12,5,HLW,车型2_006,,12.0,
item,G1_车型2_006_0002,G1,standard,530,180,0,30,60,40,12,5,HLW,车型2_006,,12.0,
item,G1_车型2_006_0003,G1,standard,610,120,0,30,60,40,12,5,HLW,车型2_006,,12.0,
item,G1_车型2_006_0004,G1,standard,610,180,0,30,60,40,12,5,HLW,车型2_006,,12.0,
item,G2_车型2_006_0001,G2,standard,320,220,0,50,25,35,8,2,LHW,车型2_006,,8.0,
item,G2_车型2_006_0002,G2,standard,400,220,0,50,25,35,8,2,LHW,车型2_006,,8.0,
item,G5_车型2_006_0009,G5,oriented,640,0,60,40,40,60,18,1,LWH,车型2_006,G5_车型2_006_0003,18.0,
item,G5_车型2_006_0010,G5,oriented,640,0,120,40,40,60,18,1,LWH,车型2_006,G5_车型2_006_0009,18.0,
item,G5_车型2_006_0011,G5,oriented,640,0,180,40,40,60,18,1,LWH,车型2_006,G5_车型2_006_0010,0.0,
item,G5_车型2_006_0012,G5,oriented,640,40,60,40,40,60,18,1,LWH,车型2_006,G5_车型2_006_0004,18.0,
item,G5_车型2_006_0013,G5,oriented,640,40,120,40,40,60,18,1,LWH,车型2_006,G5_车型2_006_0012,18.0,
item,G5_车型2_006_0014,G5,oriented,640,40,180,40,40,60,18,1,LWH,车型2_006,G5_车型2_006_0013,0.0,
item,G5_车型2_006_0015,G5,oriented,640,80,60,40,40,60,18,1,LWH,车型2_006,G5_车型2_006_0005,18.0,
item,G5_车型2_006_0016,G5,oriented,640,80,120,40,40,60,18,1,LWH,车型2_006,G5_车型2_006_0015,18.0,
item,G5_车型2_006_0017,G5,oriented,640,80,180,40,40,60,18,1,LWH,车型2_006,G5_车型2_006_0016,0.0,
item,G5_车型2_006_0018,G5,oriented,640,120,60,40,40,60,18,1,LWH,车型2_006,G5_车型2_006_0006,18.0,
item,G5_车型2_006_0019,G5,oriented,640,120,120,40,40,60,18,1,LWH,车型2_006,G5_车型2_006_0018,18.0,
item,G5_车型2_006_0020,G5,oriented,640,120,180,40,40,60,18,1,LWH,车型2_006,G5_车型2_006_0019,0.0,
item,G5_车型2_006_0021,G5,oriented,640,160,60,40,40,60,18,1,LWH,车型2_006,G5_车型2_006_0007,18.0,
item,G5_车型2_006_0022,G5,oriented,640,160,120,40,40,60,18,1,LWH,车型2_006,G5_车型2_006_0021,18.0,
item,G5_车型2_006_0023,G5,oriented,640,160,180,40,40,60,18,1,LWH,车型2_006,G5_车型2_006_0022,0.0,
item,G5_车型2_006_0024,G5,oriented,480,190,60,40,40,60,18,1,LWH,车型2_006,G5_车型2_006_0001,18.0,
item,G5_车型2_006_0025,G5,oriented,480,190,120,40,40,60,18,1,LWH,车型2_006,G5_车型2_006_0024,18.0,
item,G5_车型2_006_0026,G5,oriented,480,190,180,40,40,60,18,1,LWH,车型2_006,G5_车型2_006_0025,0.0,
item,G5_车型2_006_0027,G5,oriented,560,190,60,40,40,60,18,1,LWH,车型2_006,G5_车型2_006_0002,18.0,
item,G5_车型2_006_0028,G5,oriented,560,190,120,40,40,60,18,1,LWH,车型2_006,G5_车型2_006_0027,18.0,
item,G5_车型2_006_0029,G5,oriented,560,190,180,40,40,60,18,1,LWH,车型2_006,G5_车型2_006_0028,0.0,
item,G5_车型2_006_0030,G5,oriented,640,200,60,40,40,60,18,1,LWH,车型2_006,G5_车型2_006_0008,18.0,
item,G5_车型2_006_0031,G5,oriented,640,200,120,40,40,60,18,1,LWH,车型2_006,G5_车型2_006_0030,18.0,
item,G5_车型2_006_0032,G5,oriented,640,200,180,40,40,60,18,1,LWH,车型2_006,G5_车型2_006_0031,0.0,
item,G4_车型2_006_0021,G4,oriented,0,0,50,80,60,50,25,1,LWH,车型2_006,G4_车型2_006_0001,25.0,
item,G4_车型2_006_0022,G4,oriented,0,0,100,80,60,50,25,1,LWH,车型2_006,G4_车型2_006_0021,25.0,
item,G4_车型2_006_0023,G4,oriented,0,0,150,80,60,50,25,1,LWH,车型2_006,G4_车型2_006_0022,12.0,
item,G4_车型2_006_0024,G4,oriented,80,0,50,80,60,50,25,1,LWH,车型2_006,G4_车型2_006_0004,25.0,
item,G4_车型2_006_0025,G4,oriented,80,0,100,80,60,50,25,1,LWH,车型2_006,G4_车型2_006_0024,25.0,
item,G4_车型2_006_0026,G4,oriented,80,0,150,80,60,50,25,1,LWH,车型2_006,G4_车型2_006_0025,12.0,
item,G4_车型2_006_0027,G4,oriented,160,0,50,80,60,50,25,1,LWH,车型2_006,G4_车型2_006_0007,25.0,
item,G4_车型2_006_0028,G4,oriented,160,0,100,80,60,50,25,1,LWH,车型2_006,G4_车型2_006_0027,25.0,
item,G4_车型2_006_0029,G4,oriented,160,0,150,80,60,50,25,1,LWH,车型2_006,G4_车型2_006_0028,12.0,
item,G4_车型2_006_0030,G4,oriented,240,0,50,80,60,50,25,1,LWH,车型2_006,G4_车型2_006_0010,25.0,
item,G4_车型2_006_0031,G4,oriented,240,0,100,80,60,50,25,1,LWH,车型2_006,G4_车型2_006_0030,25.0,
