vehicle_id,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3,module_count
车型2_001,0.834941,0.5066,0.743006,"{'G1': 233, 'G3': 24, 'G5': 21, 'G4': 28, 'G2': 104}",5066.0,34358000,24
车型2_002,0.834437,0.506,0.742475,"{'G2': 299, 'G3': 16, 'G4': 52, 'G1': 52, 'G5': 28}",5060.0,34337250,16
车型2_003,0.859729,0.4968,0.758109,"{'G4': 64, 'G2': 184, 'G3': 8, 'G1': 112, 'G5': 24}",4968.0,35378000,8
车型2_004,0.675574,0.4705,0.618153,"{'G5': 200, 'G3': 15, 'G2': 32, 'G1': 27, 'G4': 12}",4705.0,27800000,5
车型2_005,0.380168,0.2289,0.337813,"{'G3': 39, 'G1': 72, 'G2': 96, 'G5': 4}",2289.0,15644000,16
车型2_006,0.804723,0.4326,0.700528,"{'G4': 80, 'G1': 76, 'G3': 10, 'G2': 86, 'G5': 32}",4326.0,33114500,10
车型2_007,0.454093,0.2656,0.401315,"{'G3': 32, 'G2': 72, 'G5': 16, 'G1': 76, 'G4': 16}",2656.0,18686000,10
车型2_008,0.549062,0.2794,0.473556,"{'G3': 22, 'G5': 16, 'G1': 38, 'G4': 56, 'G2': 40}",2794.0,22594000,6
车型2_009,0.452641,0.2613,0.399065,"{'G3': 27, 'G2': 87, 'G5': 16, 'G1': 52, 'G4': 24}",2613.0,18626250,8
车型2_010,0.562622,0.3108,0.492112,"{'G5': 68, 'G3': 20, 'G1': 32, 'G4': 48}",3108.0,23152000,0
车型2_011,0.416037,0.253,0.370387,"{'G3': 28, 'G5': 75, 'G1': 30, 'G4': 16}",2530.0,17120000,0
车型2_012,0.132685,0.0585,0.111913,{'G3': 39},585.0,5460000,0
车型2_013,0.091373,0.04,0.076988,"{'G4': 4, 'G3': 20}",400.0,3760000,0
