record_type,item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id,support_by,direct_supported_weight,template_name
item,G4_车型1_006_0001,G4,oriented,0,0,0,80,60,50,25,1,LWH,车型1_006,,25.0,
item,G2_车型1_006_0001,G2,standard,0,180,0,50,25,35,8,2,LHW,车型1_006,,8.0,
item,G4_车型1_006_0002,G4,oriented,80,120,0,80,60,50,25,1,LWH,车型1_006,,25.0,
item,G4_车型1_006_0003,G4,oriented,170,120,0,80,60,50,25,1,LWH,车型1_006,,25.0,
item,G4_车型1_006_0004,G4,oriented,260,120,0,80,60,50,25,1,LWH,车型1_006,,25.0,
item,G2_车型1_006_0002,G2,standard,350,180,0,50,25,35,8,2,LHW,车型1_006,,8.0,
item,G2_车型1_006_0003,G2,standard,80,180,0,50,25,35,8,2,LHW,车型1_006,,8.0,
item,G2_车型1_006_0004,G2,standard,170,180,0,50,25,35,8,2,LHW,车型1_006,,8.0,
item,G2_车型1_006_0005,G2,standard,260,180,0,50,25,35,8,2,LHW,车型1_006,,8.0,
item,G4_车型1_006_0005,G4,oriented,0,0,50,80,60,50,25,1,LWH,车型1_006,G4_车型1_006_0001,25.0,
item,G4_车型1_006_0006,G4,oriented,0,0,100,80,60,50,25,1,LWH,车型1_006,G4_车型1_006_0005,25.0,
item,G4_车型1_006_0007,G4,oriented,0,0,150,80,60,50,25,1,LWH,车型1_006,G4_车型1_006_0006,0.0,
item,G4_车型1_006_0008,G4,oriented,80,120,50,80,60,50,25,1,LWH,车型1_006,G4_车型1_006_0002,25.0,
item,G4_车型1_006_0009,G4,oriented,80,120,100,80,60,50,25,1,LWH,车型1_006,G4_车型1_006_0008,25.0,
item,G4_车型1_006_0010,G4,oriented,80,120,150,80,60,50,25,1,LWH,车型1_006,G4_车型1_006_0009,0.0,
item,G4_车型1_006_0011,G4,oriented,170,120,50,80,60,50,25,1,LWH,车型1_006,G4_车型1_006_0003,25.0,
item,G4_车型1_006_0012,G4,oriented,170,120,100,80,60,50,25,1,LWH,车型1_006,G4_车型1_006_0011,25.0,
item,G4_车型1_006_0013,G4,oriented,170,120,150,80,60,50,25,1,LWH,车型1_006,G4_车型1_006_0012,0.0,
item,G4_车型1_006_0014,G4,oriented,260,120,50,80,60,50,25,1,LWH,车型1_006,G4_车型1_006_0004,25.0,
item,G4_车型1_006_0015,G4,oriented,260,120,100,80,60,50,25,1,LWH,车型1_006,G4_车型1_006_0014,25.0,
item,G4_车型1_006_0016,G4,oriented,260,120,150,80,60,50,25,1,LWH,车型1_006,G4_车型1_006_0015,0.0,
item,G2_车型1_006_0006,G2,standard,0,180,35,50,25,35,8,2,LHW,车型1_006,G2_车型1_006_0001,8.0,
item,G2_车型1_006_0007,G2,standard,0,180,70,50,25,35,8,2,LHW,车型1_006,G2_车型1_006_0006,8.0,
item,G2_车型1_006_0008,G2,standard,0,180,105,50,25,35,8,2,LHW,车型1_006,G2_车型1_006_0007,8.0,
item,G2_车型1_006_0009,G2,standard,0,180,140,50,25,35,8,2,LHW,车型1_006,G2_车型1_006_0008,8.0,
item,G2_车型1_006_0010,G2,standard,0,180,175,50,25,35,8,2,LHW,车型1_006,G2_车型1_006_0009,0.0,
item,G2_车型1_006_0011,G2,standard,80,180,35,50,25,35,8,2,LHW,车型1_006,G2_车型1_006_0003,8.0,
item,G2_车型1_006_0012,G2,standard,80,180,70,50,25,35,8,2,LHW,车型1_006,G2_车型1_006_0011,8.0,
item,G2_车型1_006_0013,G2,standard,80,180,105,50,25,35,8,2,LHW,车型1_006,G2_车型1_006_0012,8.0,
item,G2_车型1_006_0014,G2,standard,80,180,140,50,25,35,8,2,LHW,车型1_006,G2_车型1_006_0013,8.0,
item,G2_车型1_006_0015,G2,standard,80,180,175,50,25,35,8,2,LHW,车型1_006,G2_车型1_006_0014,0.0,
item,G2_车型1_006_0016,G2,standard,170,180,35,50,25,35,8,2,LHW,车型1_006,G2_车型1_006_0004,8.0,
item,G2_车型1_006_0017,G2,standard,170,180,70,50,25,35,8,2,LHW,车型1_006,G2_车型1_006_0016,8.0,
item,G2_车型1_006_0018,G2,standard,170,180,105,50,25,35,8,2,LHW,车型1_006,G2_车型1_006_0017,8.0,
item,G2_车型1_006_0019,G2,standard,170,180,140,50,25,35,8,2,LHW,车型1_006,G2_车型1_006_0018,8.0,
item,G2_车型1_006_0020,G2,standard,170,180,175,50,25,35,8,2,LHW,车型1_006,G2_车型1_006_0019,0.0,
item,G2_车型1_006_0021,G2,standard,260,180,35,50,25,35,8,2,LHW,车型1_006,G2_车型1_006_0005,8.0,
item,G2_车型1_006_0022,G2,standard,260,180,70,50,25,35,8,2,LHW,车型1_006,G2_车型1_006_0021,8.0,
item,G2_车型1_006_0023,G2,standard,260,180,105,50,25,35,8,2,LHW,车型1_006,G2_车型1_006_0022,8.0,
item,G2_车型1_006_0024,G2,standard,260,180,140,50,25,35,8,2,LHW,车型1_006,G2_车型1_006_0023,8.0,
item,G2_车型1_006_0025,G2,standard,260,180,175,50,25,35,8,2,LHW,车型1_006,G2_车型1_006_0024,0.0,
item,G2_车型1_006_0026,G2,standard,350,180,35,50,25,35,8,2,LHW,车型1_006,G2_车型1_006_0002,8.0,
item,G2_车型1_006_0027,G2,standard,350,180,70,50,25,35,8,2,LHW,车型1_006,G2_车型1_006_0026,8.0,
item,G2_车型1_006_0028,G2,standard,350,180,105,50,25,35,8,2,LHW,车型1_006,G2_车型1_006_0027,8.0,
