template_name,support_type,support_orientation_id,g3_orientation_id,pattern_nx,pattern_ny,layers,support_count,g3_count,length,width,height,weight,support_length,support_width,support_height,g3_length,g3_width,g3_height,volume_bbox,score
MPX_G2_2x3_L4_S2_G32_K2,G2,2,2,2,3,4,24,2,100,75,180,222,50,25,35,50,70,40,1350000,0.908848
MPX_G2_3x2_L4_S2_G31_K2,G2,2,1,3,2,4,24,2,150,50,180,222,50,25,35,70,50,40,1350000,0.908848
MPX_G2_2x3_L4_S5_G32_K2,G2,5,2,2,3,4,24,2,50,150,180,222,25,50,35,50,70,40,1350000,0.908848
MPX_G2_3x2_L4_S5_G31_K2,G2,5,1,3,2,4,24,2,75,100,180,222,25,50,35,70,50,40,1350000,0.908848
MPX_G2_2x2_L4_S1_G32_K2,G2,1,2,2,2,4,16,2,100,70,140,158,50,35,25,50,70,40,980000,0.875668
MPX_G2_2x2_L4_S3_G31_K2,G2,3,1,2,2,4,16,2,70,100,140,158,35,50,25,70,50,40,980000,0.875668
MPX_G2_2x3_L3_S2_G32_K2,G2,2,2,2,3,3,18,2,100,75,145,174,50,25,35,50,70,40,1087500,0.855129
MPX_G2_3x2_L3_S2_G31_K2,G2,2,1,3,2,3,18,2,150,50,145,174,50,25,35,70,50,40,1087500,0.855129
MPX_G2_2x3_L3_S5_G32_K2,G2,5,2,2,3,3,18,2,50,150,145,174,25,50,35,50,70,40,1087500,0.855129
MPX_G2_3x2_L3_S5_G31_K2,G2,5,1,3,2,3,18,2,75,100,145,174,25,50,35,70,50,40,1087500,0.855129
MPX_G2_2x2_L3_S4_G31_K1,G2,4,1,2,2,3,12,1,70,50,190,111,35,25,50,70,50,40,665000,0.855106
MPX_G2_2x2_L3_S6_G32_K1,G2,6,2,2,2,3,12,1,50,70,190,111,25,35,50,50,70,40,665000,0.855106
MPX_G2_2x2_L3_S1_G32_K2,G2,1,2,2,2,3,12,2,100,70,115,126,50,35,25,50,70,40,805000,0.837244
MPX_G2_2x2_L3_S3_G31_K2,G2,3,1,2,2,3,12,2,70,100,115,126,35,50,25,70,50,40,805000,0.837244
MPX_G1_2x3_L4_S2_G32_K2,G1,2,2,2,3,4,24,2,120,90,200,318,60,30,40,50,70,40,2160000,0.818166
MPX_G1_3x2_L4_S2_G31_K2,G1,2,1,3,2,4,24,2,180,60,200,318,60,30,40,70,50,40,2160000,0.818166
MPX_G1_2x3_L4_S5_G32_K2,G1,5,2,2,3,4,24,2,60,180,200,318,30,60,40,50,70,40,2160000,0.818166
MPX_G1_3x2_L4_S5_G31_K2,G1,5,1,3,2,4,24,2,90,120,200,318,30,60,40,70,50,40,2160000,0.818166
MPX_G2_1x3_L4_S2_G32_K1,G2,2,2,1,3,4,12,1,50,75,180,111,50,25,35,50,70,40,675000,0.811438
MPX_G2_3x1_L4_S5_G31_K1,G2,5,1,3,1,4,12,1,75,50,180,111,25,50,35,70,50,40,675000,0.811438
MPX_G2_2x3_L2_S2_G32_K2,G2,2,2,2,3,2,12,2,100,75,110,126,50,25,35,50,70,40,825000,0.80141
MPX_G2_3x2_L2_S2_G31_K2,G2,2,1,3,2,2,12,2,150,50,110,126,50,25,35,70,50,40,825000,0.80141
MPX_G2_2x3_L2_S5_G32_K2,G2,5,2,2,3,2,12,2,50,150,110,126,25,50,35,50,70,40,825000,0.80141
MPX_G2_3x2_L2_S5_G31_K2,G2,5,1,3,2,2,12,2,75,100,110,126,25,50,35,70,50,40,825000,0.80141
MPX_G2_2x2_L2_S1_G32_K2,G2,1,2,2,2,2,8,2,100,70,90,94,50,35,25,50,70,40,630000,0.79882
MPX_G2_2x2_L2_S3_G31_K2,G2,3,1,2,2,2,8,2,70,100,90,94,35,50,25,70,50,40,630000,0.79882
MPX_G1_2x2_L4_S1_G32_K2,G1,1,2,2,2,4,16,2,120,80,160,222,60,40,30,50,70,40,1536000,0.791761
MPX_G1_2x2_L4_S3_G31_K2,G1,3,1,2,2,4,16,2,80,120,160,222,40,60,30,70,50,40,1536000,0.791761
MPX_G2_1x2_L4_S1_G32_K1,G2,1,2,1,2,4,8,1,50,70,140,79,50,35,25,50,70,40,490000,0.777512
MPX_G2_2x1_L4_S3_G31_K1,G2,3,1,2,1,4,8,1,70,50,140,79,35,50,25,70,50,40,490000,0.777512
MPX_G2_2x2_L2_S4_G31_K1,G2,4,1,2,2,2,8,1,70,50,140,79,35,25,50,70,50,40,490000,0.777512
MPX_G2_2x2_L2_S6_G32_K1,G2,6,2,2,2,2,8,1,50,70,140,79,25,35,50,50,70,40,490000,0.777512
MPX_G2_2x2_L1_S1_G32_K2,G2,1,2,2,2,1,4,2,100,70,65,62,50,35,25,50,70,40,455000,0.760397
MPX_G2_2x2_L1_S3_G31_K2,G2,3,1,2,2,1,4,2,70,100,65,62,35,50,25,70,50,40,455000,0.760397
MPX_G1_2x3_L3_S2_G32_K2,G1,2,2,2,3,3,18,2,120,90,160,246,60,30,40,50,70,40,1728000,0.757173
MPX_G1_3x2_L3_S2_G31_K2,G1,2,1,3,2,3,18,2,180,60,160,246,60,30,40,70,50,40,1728000,0.757173
MPX_G1_2x3_L3_S5_G32_K2,G1,5,2,2,3,3,18,2,60,180,160,246,30,60,40,50,70,40,1728000,0.757173
MPX_G1_3x2_L3_S5_G31_K2,G1,5,1,3,2,3,18,2,90,120,160,246,30,60,40,70,50,40,1728000,0.757173
MPX_G2_1x3_L3_S2_G32_K1,G2,2,2,1,3,3,9,1,50,75,145,87,50,25,35,50,70,40,543750,0.757159
MPX_G2_3x1_L3_S5_G31_K1,G2,5,1,3,1,3,9,1,75,50,145,87,25,50,35,70,50,40,543750,0.757159
