vehicle_id,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3,module_count
车型1_001,0.837017,0.411,0.717732,"{'G1': 147, 'G2': 48, 'G3': 14, 'G5': 6}",2466.0,16020000,7
车型1_002,0.859288,0.414,0.734607,"{'G2': 55, 'G3': 14, 'G4': 4, 'G1': 140, 'G5': 3}",2484.0,16446250,7
车型1_003,0.800887,0.395667,0.687425,"{'G5': 30, 'G4': 4, 'G1': 112, 'G3': 10, 'G2': 30}",2374.0,15328500,5
车型1_004,0.794539,0.367333,0.674921,"{'G4': 8, 'G1': 128, 'G3': 12, 'G2': 36}",2204.0,15207000,6
车型1_005,0.803395,0.372,0.682604,"{'G5': 15, 'G4': 12, 'G1': 106, 'G3': 10, 'G2': 30}",2232.0,15376500,5
车型1_006,0.778316,0.343667,0.656614,"{'G4': 16, 'G1': 106, 'G3': 10, 'G2': 30}",2062.0,14896500,5
车型1_007,0.780275,0.369,0.665118,"{'G4': 12, 'G2': 120, 'G3': 12, 'G1': 60, 'G5': 3}",2214.0,14934000,6
车型1_008,0.81233,0.389167,0.693844,"{'G4': 16, 'G2': 210, 'G3': 17}",2335.0,15547500,11
车型1_009,0.771145,0.370667,0.659011,"{'G4': 16, 'G2': 195, 'G3': 14, 'G5': 3}",2224.0,14759250,8
车型1_010,0.74924,0.357667,0.639599,"{'G4': 16, 'G2': 192, 'G3': 14}",2146.0,14340000,7
车型1_011,0.72032,0.406667,0.632497,"{'G5': 102, 'G2': 54, 'G3': 4, 'G4': 4, 'G1': 1}",2440.0,13786500,2
车型1_012,0.752375,0.25,0.61171,{'G4': 60},1500.0,14400000,0
车型1_013,0.752375,0.41,0.65651,"{'G5': 120, 'G4': 12}",2460.0,14400000,0
车型1_014,0.752375,0.25,0.61171,{'G4': 60},1500.0,14400000,0
车型1_015,0.410671,0.1375,0.334183,"{'G3': 15, 'G4': 24}",825.0,7860000,0
车型1_016,0.342748,0.175,0.295779,"{'G5': 45, 'G3': 16}",1050.0,6560000,0
车型1_017,0.631159,0.21,0.513234,"{'G4': 48, 'G3': 4}",1260.0,12080000,0
车型1_018,0.289455,0.1375,0.246908,"{'G3': 19, 'G5': 30}",825.0,5540000,0
车型1_019,0.289455,0.1375,0.246908,"{'G3': 19, 'G5': 30}",825.0,5540000,0
车型1_020,0.752375,0.25,0.61171,{'G4': 60},1500.0,14400000,0
车型1_021,0.289455,0.1375,0.246908,"{'G3': 19, 'G5': 30}",825.0,5540000,0
车型1_022,0.289455,0.0975,0.235708,"{'G3': 19, 'G4': 12}",585.0,5540000,0
车型1_023,0.437004,0.191167,0.36817,"{'G3': 9, 'G5': 34, 'G4': 16}",1147.0,8364000,0
车型1_024,0.355497,0.1845,0.307618,"{'G5': 49, 'G3': 15}",1107.0,6804000,0
车型1_025,0.175554,0.06,0.143199,{'G3': 24},360.0,3360000,0
车型1_026,0.073148,0.025,0.059666,{'G3': 10},150.0,1400000,0
