vehicle_id,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3,module_count
车型1_001,0.943603,0.488,0.816034,"{'G2': 336, 'G3': 16}",2928.0,18060000,8
车型1_002,0.943603,0.488,0.816034,"{'G2': 336, 'G3': 16}",2928.0,18060000,8
车型1_003,0.93446,0.4935,0.810991,"{'G2': 300, 'G3': 15, 'G5': 18, 'G1': 1}",2961.0,17885000,8
车型1_004,0.921659,0.441,0.787074,"{'G1': 203, 'G3': 14}",2646.0,17640000,7
车型1_005,0.889801,0.4255,0.759796,"{'G1': 184, 'G3': 15, 'G2': 15}",2553.0,17030250,8
车型1_006,0.833882,0.393333,0.710528,"{'G1': 145, 'G3': 10, 'G4': 8, 'G5': 15}",2360.0,15960000,5
车型1_007,0.839786,0.393833,0.714919,"{'G1': 138, 'G3': 13, 'G4': 8, 'G2': 12, 'G5': 12}",2363.0,16073000,7
车型1_008,0.821342,0.358333,0.6917,"{'G1': 125, 'G3': 10, 'G4': 20}",2150.0,15720000,5
车型1_009,0.769708,0.379333,0.660403,"{'G5': 90, 'G4': 24, 'G1': 4, 'G2': 1}",2276.0,14731750,0
车型1_010,0.752375,0.25,0.61171,{'G4': 60},1500.0,14400000,0
车型1_011,0.752375,0.37,0.64531,"{'G5': 90, 'G4': 24}",2220.0,14400000,0
车型1_012,0.752375,0.25,0.61171,{'G4': 60},1500.0,14400000,0
车型1_013,0.463964,0.215,0.394254,"{'G5': 45, 'G3': 12, 'G4': 12}",1290.0,8880000,0
车型1_014,0.631159,0.21,0.513234,"{'G3': 4, 'G4': 48}",1260.0,12080000,0
车型1_015,0.175554,0.06,0.143199,{'G3': 24},360.0,3360000,0
车型1_016,0.463964,0.255,0.405454,"{'G5': 75, 'G3': 12}",1530.0,8880000,0
车型1_017,0.631159,0.21,0.513234,"{'G3': 4, 'G4': 48}",1260.0,12080000,0
车型1_018,0.175554,0.06,0.143199,{'G3': 24},360.0,3360000,0
车型1_019,0.410671,0.2175,0.356583,"{'G5': 60, 'G3': 15}",1305.0,7860000,0
车型1_020,0.752375,0.25,0.61171,{'G4': 60},1500.0,14400000,0
车型1_021,0.175554,0.06,0.143199,{'G3': 24},360.0,3360000,0
车型1_022,0.448917,0.166,0.3697,"{'G3': 12, 'G5': 12, 'G4': 24}",996.0,8592000,0
车型1_023,0.398759,0.202667,0.343853,"{'G5': 52, 'G3': 12, 'G4': 4}",1216.0,7632000,0
车型1_024,0.289455,0.1375,0.246908,"{'G3': 19, 'G5': 30}",825.0,5540000,0
车型1_025,0.175554,0.06,0.143199,{'G3': 24},360.0,3360000,0
车型1_026,0.04159,0.0155,0.034285,"{'G5': 1, 'G3': 5}",93.0,796000,0
